S03S02 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
023-03-01-G-DC\SM_EXBX\7.7DFO_Jet   1.27e-10   3600.0   8.57e-07
023-03-01-G-DB\LM_EXBX\14.5DFX_Jet  2.29e-09   3600.0   8.59e-07
023-03-01-G-DB\LM_EXBX\14.5DFO_Jet  4.36e-12   3600.0   8.59e-07
023-03-01-G-DB\LM_EXBX\7.7DFX_Jet   2.45e-08   3600.0   8.84e-07
023-03-01-G-DB\LM_EXBX\7.7DFO_Jet   4.66e-11   3600.0   8.84e-07
023-03-01-G-DB\LM_EXBX\2.9FFX_Jet   2.53e-08   3600.0   9.09e-07
023-03-01-G-DB\LM_EXBX\2.9FFO_Jet   4.81e-11   3600.0   9.09e-07
023-03-01-G-DB\SM_EXBX\14.5DFX_Jet  1.32e-08   3600.0   9.22e-07
023-03-01-G-DB\SM_EXBX\14.5DFO_Jet  1.19e-11   3600.0   9.22e-07
023-03-01-G-DB\SM_EXBX\7.7DFX_Jet   1.41e-07   3600.0   1.06e-06
023-03-01-G-DB\SM_EXBX\7.7DFO_Jet   1.27e-10   3600.0   1.06e-06
023-03-01-G-DA\LM_EXBX\14.5DFX_Jet  6.88e-09   3600.0   1.07e-06
023-03-01-G-DA\LM_EXBX\14.5DFO_Jet  1.31e-11   3600.0   1.07e-06
023-03-01-G-DA\LM_EXBX\7.7DFX_Jet   7.36e-08   3600.0   1.14e-06
023-03-01-G-DA\LM_EXBX\7.7DFO_Jet   1.40e-10   3600.0   1.14e-06
023-03-01-G-DA\LM_EXBX\2.9FFX_Jet   7.60e-08   3600.0   1.22e-06
023-03-01-G-DA\LM_EXBX\2.9FFO_Jet   1.44e-10   3600.0   1.22e-06
023-03-01-G-DA\SM_EXBX\14.5DFX_Jet  3.96e-08   3600.0   1.26e-06
023-03-01-G-DA\SM_EXBX\14.5DFO_Jet  3.56e-11   3600.0   1.26e-06
023-03-01-G-DA\SM_EXBX\7.7DFX_Jet   4.24e-07   3600.0   1.68e-06
023-03-01-G-DA\SM_EXBX\7.7DFO_Jet   3.81e-10   3600.0   1.68e-06
024-01-01-G\SM_EXBX\2.9FFX_Jet      2.95e-07   3577.6   1.98e-06
024-01-01-G\SM_EXBX\2.9FFO_Jet      5.31e-10   3577.6   1.98e-06
023-03-01-G-DC\SM_EOBX\14.5DFO_Jet  5.82e-10   3448.2   1.98e-06
023-03-01-G-DB\SM_EOBX\14.5DFO_Jet  5.82e-10   3448.2   1.98e-06
023-03-01-G-DA\SM_EOBX\14.5DFO_Jet  1.75e-09   3448.2   1.98e-06
024-01-01-G\ME_EXBO\2.9FFO_Jet      2.43e-07   3276.5   2.23e-06
023-03-01-G-DC\SM_EOBX\7.7DFO_Jet   6.23e-09   2746.6   2.23e-06
023-03-01-G-DB\SM_EOBX\7.7DFO_Jet   6.23e-09   2746.6   2.24e-06
023-03-01-G-DA\SM_EOBX\7.7DFO_Jet   1.87e-08   2746.6   2.26e-06
023-03-02-L\SM_EXBN\2.9FFX_Jet      1.26e-08   2530.2   2.27e-06
023-03-02-L\SM_EXBN\2.9FFO_Jet      2.40e-09   2530.2   2.27e-06
023-03-01-G-DC\LM_EXBO\14.5DFO_Jet  8.67e-10   2410.5   2.27e-06
023-03-01-G-DB\LM_EXBO\14.5DFO_Jet  8.67e-10   2410.5   2.27e-06
023-03-01-G-DA\LM_EXBO\14.5DFO_Jet  2.60e-09   2410.5   2.28e-06
023-03-01-G-DC\LM_EOBX\14.5DFO_Jet  2.14e-10   2394.6   2.28e-06
023-03-01-G-DB\LM_EOBX\14.5DFO_Jet  2.14e-10   2394.6   2.28e-06
023-03-01-G-DA\LM_EOBX\14.5DFO_Jet  6.41e-10   2394.6   2.28e-06
023-03-01-G-DC\LM_EXBO\7.7DFO_Jet   9.28e-09   2236.9   2.29e-06
023-03-01-G-DB\LM_EXBO\7.7DFO_Jet   9.28e-09   2236.9   2.30e-06
023-03-01-G-DA\LM_EXBO\7.7DFO_Jet   2.78e-08   2236.9   2.32e-06
023-03-01-G-DC\LM_EOBX\7.7DFO_Jet   2.29e-09   2221.3   2.33e-06
023-03-01-G-DB\LM_EOBX\7.7DFO_Jet   2.29e-09   2221.3   2.33e-06
023-03-01-G-DA\LM_EOBX\7.7DFO_Jet   6.86e-09   2221.3   2.33e-06
024-01-01-G\ME_EOBX\14.5DFO_Jet     2.65e-09   2000.2   2.34e-06
023-03-01-G-DC\LM_EXBO\2.9FFO_Jet   9.58e-09   1940.2   2.35e-06
023-03-01-G-DB\LM_EXBO\2.9FFO_Jet   9.58e-09   1940.2   2.36e-06
023-03-01-G-DA\LM_EXBO\2.9FFO_Jet   2.87e-08   1940.2   2.39e-06
023-03-01-G-DC\LM_EOBX\2.9FFO_Jet   2.36e-09   1925.1   2.39e-06
023-03-01-G-DB\LM_EOBX\2.9FFO_Jet   2.36e-09   1925.1   2.39e-06
023-03-01-G-DA\LM_EOBX\2.9FFO_Jet   7.07e-09   1925.1   2.40e-06
024-01-01-G\ME_EOBX\7.7DFO_Jet      2.84e-08   1818.8   2.43e-06
024-01-01-G\ME_EOBX\2.9FFO_Jet      2.93e-08   1639.0   2.46e-06
023-03-01-G-DC\SM_EXBX\2.9FFX_Jet   1.46e-07   1533.8   2.60e-06
023-03-01-G-DC\SM_EXBX\2.9FFO_Jet   1.31e-10   1533.8   2.60e-06
023-03-01-G-DB\SM_EXBX\2.9FFX_Jet   1.46e-07   1533.8   2.75e-06
023-03-01-G-DB\SM_EXBX\2.9FFO_Jet   1.31e-10   1533.8   2.75e-06
023-03-01-G-DA\SM_EXBX\2.9FFX_Jet   4.37e-07   1533.8   3.18e-06
023-03-01-G-DA\SM_EXBX\2.9FFO_Jet   3.93e-10   1533.8   3.18e-06
024-01-01-G\ME_EOBO\14.5DFO_Jet     5.28e-07   1488.0   3.71e-06
024-01-01-G\SM_EXBO\14.5DFO_Jet     9.57e-09   1428.8   3.72e-06
024-01-01-G\ME_EOBO\7.7DFO_Jet      5.65e-06   1356.7   9.37e-06
023-04-G\ME_EXBX\14.5DFX_Jet        7.62e-10   1347.3   9.37e-06
023-04-G\ME_EXBX\14.5DFO_Jet        2.90e-12   1347.3   9.37e-06
024-01-01-G\SM_EOBX\2.9FFO_Jet      1.27e-08   1328.6   9.39e-06
023-04-G\ME_EXBX\7.7DFX_Jet         8.16e-09   1289.7   9.40e-06
023-04-G\ME_EXBX\7.7DFO_Jet         3.10e-11   1289.7   9.40e-06
023-03-02-L\LM_EXBN\14.5DFX_Jet     3.78e-10   1267.3   9.40e-06
023-03-02-L\LM_EXBN\14.5DFO_Jet     7.19e-11   1267.3   9.40e-06
023-03-02-L\LM_EXBN\7.7DFX_Jet      4.05e-09   1267.3   9.40e-06
023-03-02-L\LM_EXBN\7.7DFO_Jet      7.70e-10   1267.3   9.40e-06
023-03-02-L\LM_EXBN\2.9FFX_Jet      4.18e-09   1267.3   9.41e-06
023-03-02-L\LM_EXBN\2.9FFO_Jet      7.94e-10   1267.3   9.41e-06
024-01-01-G\SM_EXBO\7.7DFO_Jet      1.02e-07   1229.7   9.51e-06
024-01-01-G\ME_EOBO\2.9FFO_Jet      5.83e-06   1227.0   1.53e-05
023-04-G\ME_EXBO\14.5DFO_Jet        5.77e-10   1176.2   1.53e-05
024-01-01-G\LM_EXBX\14.5DFX_Jet     1.71e-09   1134.3   1.53e-05
024-01-01-G\LM_EXBX\14.5DFO_Jet     6.80e-11   1134.3   1.53e-05
023-04-G\ME_EXBO\7.7DFO_Jet         6.17e-09   1126.8   1.53e-05
024-01-01-G\LM_EXBX\7.7DFX_Jet      1.83e-08   1118.2   1.54e-05
024-01-01-G\LM_EXBX\7.7DFO_Jet      7.28e-10   1118.2   1.54e-05
023-04-G\ME_EXBX\2.9FFX_Jet         8.42e-09   1105.4   1.54e-05
023-04-G\ME_EXBX\2.9FFO_Jet         3.20e-11   1105.4   1.54e-05
024-01-01-G\LM_EXBX\2.9FFX_Jet      1.89e-08   1103.5   1.54e-05
024-01-01-G\LM_EXBX\2.9FFO_Jet      7.51e-10   1103.5   1.54e-05
023-03-01-G-DC\LM_EOBO\14.5DFO_Jet  4.25e-08   1083.4   1.54e-05
023-03-01-G-DB\LM_EOBO\14.5DFO_Jet  4.25e-08   1083.4   1.55e-05
023-03-01-G-DA\LM_EOBO\14.5DFO_Jet  1.27e-07   1083.4   1.56e-05
024-01-01-G\LM_EXBO\14.5DFO_Jet     1.35e-08   1078.0   1.56e-05
024-01-01-G\LM_EXBO\7.7DFO_Jet      1.45e-07   1063.2   1.58e-05
024-01-01-G\LM_EXBO\2.9FFO_Jet      1.49e-07   1049.8   1.59e-05
023-03-01-G-DC\LM_EOBO\7.7DFO_Jet   4.55e-07   1011.5   1.64e-05
023-03-01-G-DB\LM_EOBO\7.7DFO_Jet   4.55e-07   1011.5   1.68e-05
023-03-01-G-DA\LM_EOBO\7.7DFO_Jet   1.36e-06   1011.5   1.82e-05
023-03-02-L\SM_EOBN\2.9FFO_Jet      2.37e-07    974.3   1.84e-05
023-04-G\ME_EXBO\2.9FFO_Jet         6.37e-09    968.9   1.84e-05
023-03-01-G-DC\LM_EOBO\2.9FFO_Jet   4.69e-07    888.6   1.89e-05
023-03-01-G-DB\LM_EOBO\2.9FFO_Jet   4.69e-07    888.6   1.94e-05
023-03-01-G-DA\LM_EOBO\2.9FFO_Jet   1.41e-06    888.6   2.08e-05
023-03-01-G-DC\SM_EOBX\2.9FFO_Jet   6.43e-09    713.6   2.08e-05
023-03-01-G-DB\SM_EOBX\2.9FFO_Jet   6.43e-09    713.6   2.08e-05
023-03-01-G-DA\SM_EOBX\2.9FFO_Jet   1.93e-08    713.6   2.08e-05
023-04-G\LM_EXBX\14.5DFX_Jet        4.43e-10    704.9   2.08e-05
023-04-G\LM_EXBX\14.5DFO_Jet        1.76e-11    704.9   2.08e-05
023-04-G\LM_EXBX\7.7DFX_Jet         4.74e-09    681.6   2.08e-05
023-04-G\LM_EXBX\7.7DFO_Jet         1.89e-10    681.6   2.08e-05
023-04-G\LM_EXBO\14.5DFO_Jet        3.51e-09    673.2   2.08e-05
023-03-01-G-DC\SM_EXBO\14.5DFO_Jet  2.36e-09    654.4   2.08e-05
023-03-01-G-DB\SM_EXBO\14.5DFO_Jet  2.36e-09    654.4   2.08e-05
023-03-01-G-DA\SM_EXBO\14.5DFO_Jet  7.09e-09    654.4   2.08e-05
023-04-G\LM_EXBO\7.7DFO_Jet         3.75e-08    651.0   2.09e-05
023-03-03-L\LM_EXBN\2.9FFX_Jet      3.27e-08    646.5   2.09e-05
023-03-03-L\LM_EXBN\2.9FFO_Jet      6.22e-09    646.5   2.09e-05
023-04-G\LM_EXBX\2.9FFX_Jet         4.89e-09    641.9   2.09e-05
023-04-G\LM_EXBX\2.9FFO_Jet         1.95e-10    641.9   2.09e-05
023-04-G\LM_EXBO\2.9FFO_Jet         3.87e-08    613.9   2.10e-05
024-01-01-G\SM_EOBO\14.5DFO_Jet     2.30e-07    593.9   2.12e-05
023-03-01-G-DC\SM_EXBO\7.7DFO_Jet   2.53e-08    548.2   2.12e-05
023-03-01-G-DB\SM_EXBO\7.7DFO_Jet   2.53e-08    548.2   2.12e-05
023-03-01-G-DA\SM_EXBO\7.7DFO_Jet   7.59e-08    548.2   2.13e-05
023-03-02-L\LM_EOBN\14.5DFO_Jet     7.12e-09    528.0   2.13e-05
023-03-02-L\LM_EOBN\7.7DFO_Jet      7.62e-08    528.0   2.14e-05
023-03-02-L\LM_EOBN\2.9FFO_Jet      7.86e-08    528.0   2.15e-05
024-01-01-G\SM_EOBO\7.7DFO_Jet      2.46e-06    525.1   2.39e-05
024-01-01-G\LM_EOBX\14.5DFO_Jet     1.63e-09    483.7   2.39e-05
024-01-01-G\LM_EOBX\7.7DFO_Jet      1.75e-08    477.9   2.39e-05
024-01-01-G\LM_EOBX\2.9FFO_Jet      1.80e-08    473.2   2.40e-05
024-01-01-G\SM_EXBO\2.9FFO_Jet      1.06e-07    467.3   2.41e-05
024-01-01-G\LM_EOBO\14.5DFO_Jet     3.25e-07    465.3   2.44e-05
024-01-01-G\LM_EOBO\7.7DFO_Jet      3.48e-06    459.6   2.79e-05
024-01-01-G\LM_EOBO\2.9FFO_Jet      3.59e-06    455.0   3.15e-05
023-03-01-G-DC\SM_EOBO\14.5DFO_Jet  1.16e-07    360.4   3.16e-05
023-03-01-G-DB\SM_EOBO\14.5DFO_Jet  1.16e-07    360.4   3.17e-05
023-03-01-G-DA\SM_EOBO\14.5DFO_Jet  3.47e-07    360.4   3.20e-05
023-04-G\ME_EOBX\14.5DFO_Jet        6.95e-11    327.6   3.20e-05
023-04-G\ME_EOBX\7.7DFO_Jet         7.44e-10    318.5   3.20e-05
023-03-01-G-DC\SM_EOBO\7.7DFO_Jet   1.24e-06    316.5   3.33e-05
023-03-01-G-DB\SM_EOBO\7.7DFO_Jet   1.24e-06    316.5   3.45e-05
023-03-01-G-DA\SM_EOBO\7.7DFO_Jet   3.72e-06    316.5   3.82e-05
023-04-G\ME_EOBO\14.5DFO_Jet        1.38e-08    302.4   3.83e-05
023-04-G\ME_EOBO\7.7DFO_Jet         1.48e-07    294.6   3.84e-05
023-04-G\ME_EOBX\2.9FFO_Jet         7.68e-10    289.3   3.84e-05
023-04-G\ME_EOBO\2.9FFO_Jet         1.53e-07    269.7   3.86e-05
023-03-03-L\LM_EOBN\2.9FFO_Jet      6.16e-07    262.3   3.92e-05
024-01-01-G\SM_EOBO\2.9FFO_Jet      2.54e-06    261.5   4.17e-05
023-03-01-G-DC\SM_EXBO\2.9FFO_Jet   2.61e-08    240.5   4.17e-05
023-03-01-G-DB\SM_EXBO\2.9FFO_Jet   2.61e-08    240.5   4.18e-05
023-03-01-G-DA\SM_EXBO\2.9FFO_Jet   7.83e-08    240.5   4.18e-05
023-04-G\LM_EOBX\14.5DFO_Jet        4.23e-10    225.9   4.18e-05
023-04-G\LM_EOBX\7.7DFO_Jet         4.53e-09    222.2   4.18e-05
023-04-G\LM_EOBO\14.5DFO_Jet        8.42e-08    221.7   4.19e-05
023-04-G\LM_EOBO\7.7DFO_Jet         9.01e-07    218.2   4.28e-05
023-04-G\LM_EOBX\2.9FFO_Jet         4.67e-09    216.0   4.28e-05
023-04-G\LM_EOBO\2.9FFO_Jet         9.30e-07    212.4   4.38e-05
023-03-01-G-DC\SM_EOBO\2.9FFO_Jet   1.28e-06    189.1   4.50e-05
023-03-01-G-DB\SM_EOBO\2.9FFO_Jet   1.28e-06    189.1   4.63e-05
023-03-01-G-DA\SM_EOBO\2.9FFO_Jet   3.84e-06    189.1   5.02e-05
023-04-G\SM_EXBX\14.5DFX_Jet        0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBX\14.5DFO_Jet        0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBX\7.7DFX_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBX\7.7DFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBX\2.9FFX_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBX\2.9FFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBO\14.5DFO_Jet        0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBO\7.7DFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBO\2.9FFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBX\14.5DFO_Jet        0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBX\7.7DFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBX\2.9FFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBO\14.5DFO_Jet        0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBO\7.7DFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBO\2.9FFO_Jet         0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   5.02e-05
