S03P04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
024-01-01-G\ME_EXBX\14.5DFX_Jet     2.78e-09   3117.9   2.78e-09
024-01-01-G\ME_EXBX\14.5DFO_Jet     1.11e-10   3117.9   2.89e-09
024-01-01-G\ME_EXBX\7.7DFX_Jet      2.97e-08   2560.0   3.26e-08
024-01-01-G\ME_EXBX\7.7DFO_Jet      1.18e-09   2560.0   3.38e-08
023-03-01-G-DC\LM_EXBX\14.5DFX_Jet  2.29e-09   2493.1   3.61e-08
023-03-01-G-DC\LM_EXBX\14.5DFO_Jet  4.36e-12   2493.1   3.61e-08
023-03-01-G-DB\LM_EXBX\14.5DFX_Jet  2.29e-09   2493.1   3.84e-08
023-03-01-G-DB\LM_EXBX\14.5DFO_Jet  4.36e-12   2493.1   3.84e-08
023-03-01-G-DA\LM_EXBX\14.5DFX_Jet  6.88e-09   2493.1   4.53e-08
023-03-01-G-DA\LM_EXBX\14.5DFO_Jet  1.31e-11   2493.1   4.53e-08
024-01-01-G\ME_EXBO\14.5DFO_Jet     2.20e-08   2295.1   6.73e-08
023-03-01-G-DC\LM_EXBX\7.7DFX_Jet   2.45e-08   2113.0   9.18e-08
023-03-01-G-DC\LM_EXBX\7.7DFO_Jet   4.66e-11   2113.0   9.19e-08
023-03-01-G-DB\LM_EXBX\7.7DFX_Jet   2.45e-08   2113.0   1.16e-07
023-03-01-G-DB\LM_EXBX\7.7DFO_Jet   4.66e-11   2113.0   1.16e-07
023-03-01-G-DA\LM_EXBX\7.7DFX_Jet   7.36e-08   2113.0   1.90e-07
023-03-01-G-DA\LM_EXBX\7.7DFO_Jet   1.40e-10   2113.0   1.90e-07
024-01-01-G\ME_EXBX\2.9FFX_Jet      3.07e-08   2071.1   2.21e-07
024-01-01-G\ME_EXBX\2.9FFO_Jet      1.22e-09   2071.1   2.22e-07
024-01-01-G\ME_EXBO\7.7DFO_Jet      2.36e-07   1892.4   4.58e-07
024-01-01-G\ME_EXBO\2.9FFO_Jet      2.43e-07   1539.2   7.01e-07
023-03-01-G-DC\LM_EXBX\2.9FFX_Jet   2.53e-08   1479.7   7.26e-07
023-03-01-G-DC\LM_EXBX\2.9FFO_Jet   4.81e-11   1479.7   7.26e-07
023-03-01-G-DB\LM_EXBX\2.9FFX_Jet   2.53e-08   1479.7   7.51e-07
023-03-01-G-DB\LM_EXBX\2.9FFO_Jet   4.81e-11   1479.7   7.51e-07
023-03-01-G-DA\LM_EXBX\2.9FFX_Jet   7.60e-08   1479.7   8.27e-07
023-03-01-G-DA\LM_EXBX\2.9FFO_Jet   1.44e-10   1479.7   8.28e-07
024-01-01-G\ME_EOBX\14.5DFO_Jet     2.65e-09   1169.4   8.30e-07
023-03-01-G-DC\LM_EXBO\14.5DFO_Jet  8.67e-10   1124.4   8.31e-07
023-03-01-G-DB\LM_EXBO\14.5DFO_Jet  8.67e-10   1124.4   8.32e-07
023-03-01-G-DA\LM_EXBO\14.5DFO_Jet  2.60e-09   1124.4   8.35e-07
023-03-01-G-DC\LM_EOBX\14.5DFO_Jet  2.14e-10   1110.8   8.35e-07
023-03-01-G-DB\LM_EOBX\14.5DFO_Jet  2.14e-10   1110.8   8.35e-07
023-03-01-G-DA\LM_EOBX\14.5DFO_Jet  6.41e-10   1110.8   8.36e-07
024-01-01-G\LM_EXBX\14.5DFX_Jet     1.71e-09   1015.3   8.37e-07
024-01-01-G\LM_EXBX\14.5DFO_Jet     6.80e-11   1015.3   8.37e-07
024-01-01-G\ME_EOBX\7.7DFO_Jet      2.84e-08    976.7   8.66e-07
023-03-01-G-DC\LM_EXBO\7.7DFO_Jet   9.28e-09    966.6   8.75e-07
023-03-01-G-DB\LM_EXBO\7.7DFO_Jet   9.28e-09    966.6   8.84e-07
023-03-01-G-DA\LM_EXBO\7.7DFO_Jet   2.78e-08    966.6   9.12e-07
024-01-01-G\LM_EXBO\14.5DFO_Jet     1.35e-08    966.3   9.26e-07
023-03-01-G-DC\LM_EOBX\7.7DFO_Jet   2.29e-09    953.4   9.28e-07
023-03-01-G-DB\LM_EOBX\7.7DFO_Jet   2.29e-09    953.4   9.30e-07
023-03-01-G-DA\LM_EOBX\7.7DFO_Jet   6.86e-09    953.4   9.37e-07
024-01-01-G\LM_EXBX\7.7DFX_Jet      1.83e-08    920.1   9.55e-07
024-01-01-G\LM_EXBX\7.7DFO_Jet      7.28e-10    920.1   9.56e-07
024-01-01-G\ME_EOBO\14.5DFO_Jet     5.28e-07    887.7   1.48e-06
024-01-01-G\LM_EXBO\7.7DFO_Jet      1.45e-07    876.6   1.63e-06
024-01-01-G\LM_EXBX\2.9FFX_Jet      1.89e-08    858.7   1.65e-06
024-01-01-G\LM_EXBX\2.9FFO_Jet      7.51e-10    858.7   1.65e-06
024-01-01-G\LM_EXBO\2.9FFO_Jet      1.49e-07    818.7   1.80e-06
024-01-01-G\ME_EOBX\2.9FFO_Jet      2.93e-08    807.7   1.83e-06
024-01-01-G\ME_EOBO\7.7DFO_Jet      5.65e-06    748.4   7.48e-06
023-03-01-G-DC\LM_EXBO\2.9FFO_Jet   9.58e-09    703.9   7.49e-06
023-03-01-G-DB\LM_EXBO\2.9FFO_Jet   9.58e-09    703.9   7.50e-06
023-03-01-G-DA\LM_EXBO\2.9FFO_Jet   2.87e-08    703.9   7.53e-06
023-03-01-G-DC\LM_EOBX\2.9FFO_Jet   2.36e-09    691.1   7.53e-06
023-03-01-G-DB\LM_EOBX\2.9FFO_Jet   2.36e-09    691.1   7.53e-06
023-03-01-G-DA\LM_EOBX\2.9FFO_Jet   7.07e-09    691.1   7.54e-06
024-01-01-G\ME_EOBO\2.9FFO_Jet      5.83e-06    626.3   1.34e-05
023-03-01-G-DC\LM_EOBO\14.5DFO_Jet  4.25e-08    551.0   1.34e-05
023-03-01-G-DB\LM_EOBO\14.5DFO_Jet  4.25e-08    551.0   1.35e-05
023-03-01-G-DA\LM_EOBO\14.5DFO_Jet  1.27e-07    551.0   1.36e-05
023-04-G\ME_EXBX\14.5DFX_Jet        7.62e-10    523.2   1.36e-05
023-04-G\ME_EXBX\14.5DFO_Jet        2.90e-12    523.2   1.36e-05
023-03-01-G-DC\LM_EOBO\7.7DFO_Jet   4.55e-07    485.6   1.40e-05
023-03-01-G-DB\LM_EOBO\7.7DFO_Jet   4.55e-07    485.6   1.45e-05
023-03-01-G-DA\LM_EOBO\7.7DFO_Jet   1.36e-06    485.6   1.59e-05
023-04-G\LM_EXBX\14.5DFX_Jet        4.43e-10    480.3   1.59e-05
023-04-G\LM_EXBX\14.5DFO_Jet        1.76e-11    480.3   1.59e-05
023-04-G\ME_EXBO\14.5DFO_Jet        5.77e-10    470.0   1.59e-05
023-04-G\ME_EXBX\7.7DFX_Jet         8.16e-09    461.8   1.59e-05
023-04-G\ME_EXBX\7.7DFO_Jet         3.10e-11    461.8   1.59e-05
023-04-G\LM_EXBO\14.5DFO_Jet        3.51e-09    461.5   1.59e-05
024-01-01-G\LM_EOBX\14.5DFO_Jet     1.63e-09    442.6   1.59e-05
023-04-G\LM_EXBX\7.7DFX_Jet         4.74e-09    426.9   1.59e-05
023-04-G\LM_EXBX\7.7DFO_Jet         1.89e-10    426.9   1.59e-05
024-01-01-G\LM_EOBO\14.5DFO_Jet     3.25e-07    426.3   1.62e-05
023-04-G\ME_EXBO\7.7DFO_Jet         6.17e-09    417.4   1.62e-05
023-04-G\LM_EXBO\7.7DFO_Jet         3.75e-08    411.1   1.62e-05
024-01-01-G\LM_EOBX\7.7DFO_Jet      1.75e-08    409.7   1.63e-05
024-01-01-G\LM_EOBO\7.7DFO_Jet      3.48e-06    395.2   1.97e-05
024-01-01-G\LM_EOBX\2.9FFO_Jet      1.80e-08    388.5   1.98e-05
023-03-01-G-DC\LM_EOBO\2.9FFO_Jet   4.69e-07    376.8   2.02e-05
023-03-01-G-DB\LM_EOBO\2.9FFO_Jet   4.69e-07    376.8   2.07e-05
023-03-01-G-DA\LM_EOBO\2.9FFO_Jet   1.41e-06    376.8   2.21e-05
024-01-01-G\LM_EOBO\2.9FFO_Jet      3.59e-06    375.2   2.57e-05
023-04-G\LM_EXBX\2.9FFX_Jet         4.89e-09    359.4   2.57e-05
023-04-G\LM_EXBX\2.9FFO_Jet         1.95e-10    359.4   2.57e-05
023-04-G\LM_EXBO\2.9FFO_Jet         3.87e-08    347.6   2.57e-05
023-04-G\ME_EXBX\2.9FFX_Jet         8.42e-09    279.3   2.57e-05
023-04-G\ME_EXBX\2.9FFO_Jet         3.20e-11    279.3   2.57e-05
023-04-G\ME_EXBO\2.9FFO_Jet         6.37e-09    261.1   2.58e-05
023-04-G\ME_EOBX\14.5DFO_Jet        6.95e-11    197.2   2.58e-05
023-04-G\ME_EOBO\14.5DFO_Jet        1.38e-08    190.8   2.58e-05
023-04-G\LM_EOBX\14.5DFO_Jet        4.23e-10    190.5   2.58e-05
023-04-G\LM_EOBO\14.5DFO_Jet        8.42e-08    188.3   2.58e-05
023-04-G\ME_EOBX\7.7DFO_Jet         7.44e-10    187.5   2.58e-05
023-04-G\ME_EOBO\7.7DFO_Jet         1.48e-07    182.4   2.60e-05
023-04-G\LM_EOBX\7.7DFO_Jet         4.53e-09    182.0   2.60e-05
023-04-G\LM_EOBO\7.7DFO_Jet         9.01e-07    180.3   2.69e-05
023-04-G\LM_EOBX\2.9FFO_Jet         4.67e-09    171.3   2.69e-05
023-04-G\LM_EOBO\2.9FFO_Jet         9.30e-07    170.2   2.78e-05
023-04-G\ME_EOBX\2.9FFO_Jet         7.68e-10    158.7   2.78e-05
023-04-G\ME_EOBO\2.9FFO_Jet         1.53e-07    157.7   2.80e-05
024-01-01-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   2.80e-05
023-04-G\SM_EXBX\14.5DFX_Jet        0.00e+00      0.0   2.80e-05
023-04-G\SM_EXBX\14.5DFO_Jet        0.00e+00      0.0   2.80e-05
023-04-G\SM_EXBX\7.7DFX_Jet         0.00e+00      0.0   2.80e-05
023-04-G\SM_EXBX\7.7DFO_Jet         0.00e+00      0.0   2.80e-05
023-04-G\SM_EXBX\2.9FFX_Jet         0.00e+00      0.0   2.80e-05
023-04-G\SM_EXBX\2.9FFO_Jet         0.00e+00      0.0   2.80e-05
023-04-G\SM_EXBO\14.5DFO_Jet        0.00e+00      0.0   2.80e-05
023-04-G\SM_EXBO\7.7DFO_Jet         0.00e+00      0.0   2.80e-05
023-04-G\SM_EXBO\2.9FFO_Jet         0.00e+00      0.0   2.80e-05
023-04-G\SM_EOBX\14.5DFO_Jet        0.00e+00      0.0   2.80e-05
023-04-G\SM_EOBX\7.7DFO_Jet         0.00e+00      0.0   2.80e-05
023-04-G\SM_EOBX\2.9FFO_Jet         0.00e+00      0.0   2.80e-05
023-04-G\SM_EOBO\14.5DFO_Jet        0.00e+00      0.0   2.80e-05
023-04-G\SM_EOBO\7.7DFO_Jet         0.00e+00      0.0   2.80e-05
023-04-G\SM_EOBO\2.9FFO_Jet         0.00e+00      0.0   2.80e-05
023-03-03-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   2.80e-05
023-03-03-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   2.80e-05
023-03-03-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   2.80e-05
023-03-03-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   2.80e-05
023-03-03-L\LM_EXBN\2.9FFX_Jet      0.00e+00      0.0   2.80e-05
023-03-03-L\LM_EXBN\2.9FFO_Jet      0.00e+00      0.0   2.80e-05
023-03-03-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   2.80e-05
023-03-03-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   2.80e-05
023-03-03-L\LM_EOBN\2.9FFO_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   2.80e-05
023-03-02-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   2.80e-05
023-03-02-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\LM_EXBN\2.9FFX_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\LM_EXBN\2.9FFO_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   2.80e-05
023-03-02-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\LM_EOBN\2.9FFO_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   2.80e-05
023-03-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   2.80e-05
023-03-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   2.80e-05
023-03-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   2.80e-05
023-03-02-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EXBX\14.5DFX_Jet  0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EXBX\14.5DFO_Jet  0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EXBX\7.7DFX_Jet   0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EXBX\7.7DFO_Jet   0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EXBX\2.9FFX_Jet   0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EXBX\2.9FFO_Jet   0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EXBO\14.5DFO_Jet  0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EXBO\7.7DFO_Jet   0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EXBO\2.9FFO_Jet   0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EOBX\14.5DFO_Jet  0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EOBX\7.7DFO_Jet   0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EOBX\2.9FFO_Jet   0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EOBO\14.5DFO_Jet  0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EOBO\7.7DFO_Jet   0.00e+00      0.0   2.80e-05
023-03-01-G-DC\SM_EOBO\2.9FFO_Jet   0.00e+00      0.0   2.80e-05
023-03-01-G-DB\SM_EXBX\14.5DFX_Jet  0.00e+00      0.0   2.80e-05
