P04S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
025-02-01-G\ME_EXBX\14.5DFX_Jet     3.19e-09   2828.8   3.19e-09
025-02-01-G\ME_EXBX\14.5DFO_Jet     9.53e-11   2828.8   3.29e-09
025-02-01-G\ME_EXBX\7.7DFX_Jet      3.42e-08   2352.7   3.75e-08
025-02-01-G\ME_EXBX\7.7DFO_Jet      1.02e-09   2352.7   3.85e-08
025-01-01-G\ME_EXBX\14.5DFX_Jet     1.66e-09   2114.3   4.01e-08
025-01-01-G\ME_EXBX\14.5DFO_Jet     3.29e-11   2114.3   4.02e-08
025-02-01-G\ME_EXBX\2.9FFX_Jet      3.53e-08   1856.5   7.55e-08
025-02-01-G\ME_EXBX\2.9FFO_Jet      1.05e-09   1856.5   7.65e-08
025-01-01-G\ME_EXBX\7.7DFX_Jet      1.77e-08   1755.2   9.42e-08
025-01-01-G\ME_EXBX\7.7DFO_Jet      3.53e-10   1755.2   9.46e-08
025-02-01-G\ME_EXBO\14.5DFO_Jet     1.90e-08   1716.8   1.14e-07
024-02-G-DC\ME_EXBX\14.5DFX_Jet     6.90e-10   1680.9   1.14e-07
024-02-G-DC\ME_EXBX\14.5DFO_Jet     1.37e-11   1680.9   1.14e-07
024-02-G-DC\ME_EXBO\14.5DFO_Jet     2.73e-09   1680.9   1.17e-07
024-02-G-DB\ME_EXBX\14.5DFX_Jet     6.90e-10   1680.9   1.18e-07
024-02-G-DB\ME_EXBX\14.5DFO_Jet     1.37e-11   1680.9   1.18e-07
024-02-G-DB\ME_EXBO\14.5DFO_Jet     2.73e-09   1680.9   1.20e-07
024-02-G-DA\ME_EXBX\14.5DFX_Jet     2.07e-09   1680.9   1.22e-07
024-02-G-DA\ME_EXBX\14.5DFO_Jet     4.12e-11   1680.9   1.23e-07
024-02-G-DA\ME_EXBO\14.5DFO_Jet     8.20e-09   1680.9   1.31e-07
025-02-01-G\ME_EOBX\14.5DFO_Jet     3.08e-09   1551.5   1.34e-07
025-02-02-L\LM_EXBN\2.9FFX_Jet      7.46e-09   1496.3   1.41e-07
025-02-02-L\LM_EXBN\2.9FFO_Jet      1.42e-09   1496.3   1.43e-07
024-03-01-G\ME_EXBX\14.5DFX_Jet     8.99e-10   1443.7   1.44e-07
024-03-01-G\ME_EXBX\14.5DFO_Jet     2.68e-11   1443.7   1.44e-07
025-01-01-G\ME_EXBX\2.9FFX_Jet      1.83e-08   1443.3   1.62e-07
025-01-01-G\ME_EXBX\2.9FFO_Jet      3.64e-10   1443.3   1.62e-07
025-02-01-G\ME_EXBO\7.7DFO_Jet      2.03e-07   1438.8   3.65e-07
024-02-G-DC\ME_EXBX\7.7DFX_Jet      7.38e-09   1433.8   3.73e-07
024-02-G-DC\ME_EXBX\7.7DFO_Jet      1.47e-10   1433.8   3.73e-07
024-02-G-DC\ME_EXBO\7.7DFO_Jet      2.92e-08   1433.8   4.02e-07
024-02-G-DB\ME_EXBX\7.7DFX_Jet      7.38e-09   1433.8   4.09e-07
024-02-G-DB\ME_EXBX\7.7DFO_Jet      1.47e-10   1433.8   4.10e-07
024-02-G-DB\ME_EXBO\7.7DFO_Jet      2.92e-08   1433.8   4.39e-07
024-02-G-DA\ME_EXBX\7.7DFX_Jet      2.22e-08   1433.8   4.61e-07
024-02-G-DA\ME_EXBX\7.7DFO_Jet      4.41e-10   1433.8   4.61e-07
024-02-G-DA\ME_EXBO\7.7DFO_Jet      8.77e-08   1433.8   5.49e-07
025-01-01-G\ME_EXBO\14.5DFO_Jet     6.55e-09   1410.5   5.56e-07
025-02-01-G\ME_EOBX\7.7DFO_Jet      3.30e-08   1301.4   5.89e-07
024-03-01-G\ME_EOBX\14.5DFO_Jet     8.68e-10   1281.8   5.90e-07
024-02-G-DC\ME_EOBX\14.5DFO_Jet     6.73e-10   1261.8   5.90e-07
024-02-G-DB\ME_EOBX\14.5DFO_Jet     6.73e-10   1261.8   5.91e-07
024-02-G-DA\ME_EOBX\14.5DFO_Jet     2.02e-09   1261.8   5.93e-07
024-03-01-G\ME_EXBX\7.7DFX_Jet      9.63e-09   1239.6   6.03e-07
024-03-01-G\ME_EXBX\7.7DFO_Jet      2.87e-10   1239.6   6.03e-07
024-02-G-DC\ME_EXBX\2.9FFX_Jet      7.62e-09   1213.4   6.10e-07
024-02-G-DC\ME_EXBX\2.9FFO_Jet      1.52e-10   1213.4   6.11e-07
024-02-G-DC\ME_EXBO\2.9FFO_Jet      3.02e-08   1213.4   6.41e-07
024-02-G-DB\ME_EXBX\2.9FFX_Jet      7.62e-09   1213.4   6.48e-07
024-02-G-DB\ME_EXBX\2.9FFO_Jet      1.52e-10   1213.4   6.49e-07
024-02-G-DB\ME_EXBO\2.9FFO_Jet      3.02e-08   1213.4   6.79e-07
024-02-G-DA\ME_EXBX\2.9FFX_Jet      2.29e-08   1213.4   7.02e-07
024-02-G-DA\ME_EXBX\2.9FFO_Jet      4.55e-10   1213.4   7.02e-07
024-02-G-DA\ME_EXBO\2.9FFO_Jet      9.05e-08   1213.4   7.93e-07
025-01-01-G\ME_EXBO\7.7DFO_Jet      7.02e-08   1180.4   8.63e-07
