P04P03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
024-02-G-DC\ME_EXBX\7.7DFO_Jet      1.47e-10   2029.0   9.31e-07
024-02-G-DC\ME_EXBO\7.7DFO_Jet      2.92e-08   2029.0   9.61e-07
024-02-G-DB\ME_EXBX\7.7DFX_Jet      7.38e-09   2029.0   9.68e-07
024-02-G-DB\ME_EXBX\7.7DFO_Jet      1.47e-10   2029.0   9.68e-07
024-02-G-DB\ME_EXBO\7.7DFO_Jet      2.92e-08   2029.0   9.97e-07
024-02-G-DA\ME_EXBX\7.7DFX_Jet      2.22e-08   2029.0   1.02e-06
024-02-G-DA\ME_EXBX\7.7DFO_Jet      4.41e-10   2029.0   1.02e-06
024-02-G-DA\ME_EXBO\7.7DFO_Jet      8.77e-08   2029.0   1.11e-06
025-01-02-L\SM_EXBN\2.9FFX_Jet      5.13e-08   1977.6   1.16e-06
025-01-02-L\SM_EXBN\2.9FFO_Jet      9.74e-09   1977.6   1.17e-06
024-03-01-G\ME_EXBX\14.5DFX_Jet     8.99e-10   1968.8   1.17e-06
024-03-01-G\ME_EXBX\14.5DFO_Jet     2.68e-11   1968.8   1.17e-06
025-02-01-G\ME_EOBX\7.7DFO_Jet      3.30e-08   1906.5   1.20e-06
025-01-01-G\ME_EXBO\14.5DFO_Jet     6.55e-09   1826.0   1.21e-06
025-02-01-G\ME_EXBO\2.9FFO_Jet      2.10e-07   1818.3   1.42e-06
024-02-G-DC\ME_EXBX\2.9FFX_Jet      7.62e-09   1774.8   1.43e-06
024-02-G-DC\ME_EXBX\2.9FFO_Jet      1.52e-10   1774.8   1.43e-06
024-02-G-DC\ME_EXBO\2.9FFO_Jet      3.02e-08   1774.8   1.46e-06
024-02-G-DB\ME_EXBX\2.9FFX_Jet      7.62e-09   1774.8   1.46e-06
024-02-G-DB\ME_EXBX\2.9FFO_Jet      1.52e-10   1774.8   1.46e-06
024-02-G-DB\ME_EXBO\2.9FFO_Jet      3.02e-08   1774.8   1.49e-06
024-02-G-DA\ME_EXBX\2.9FFX_Jet      2.29e-08   1774.8   1.52e-06
024-02-G-DA\ME_EXBX\2.9FFO_Jet      4.55e-10   1774.8   1.52e-06
024-02-G-DA\ME_EXBO\2.9FFO_Jet      9.05e-08   1774.8   1.61e-06
024-03-01-G\ME_EXBX\7.7DFX_Jet      9.63e-09   1746.1   1.62e-06
024-03-01-G\ME_EXBX\7.7DFO_Jet      2.87e-10   1746.1   1.62e-06
024-03-01-G\ME_EOBX\14.5DFO_Jet     8.68e-10   1741.2   1.62e-06
024-02-G-DC\ME_EOBX\14.5DFO_Jet     6.73e-10   1707.3   1.62e-06
024-02-G-DB\ME_EOBX\14.5DFO_Jet     6.73e-10   1707.3   1.62e-06
024-02-G-DA\ME_EOBX\14.5DFO_Jet     2.02e-09   1707.3   1.62e-06
025-02-01-G\ME_EOBX\2.9FFO_Jet      3.40e-08   1642.8   1.66e-06
025-01-01-G\ME_EXBO\7.7DFO_Jet      7.02e-08   1621.6   1.73e-06
024-03-01-G\ME_EOBX\7.7DFO_Jet      9.29e-09   1546.2   1.74e-06
024-03-01-G\ME_EXBX\2.9FFX_Jet      9.93e-09   1527.5   1.75e-06
024-03-01-G\ME_EXBX\2.9FFO_Jet      2.97e-10   1527.5   1.75e-06
024-02-G-DC\ME_EOBX\7.7DFO_Jet      7.20e-09   1515.2   1.75e-06
024-02-G-DB\ME_EOBX\7.7DFO_Jet      7.20e-09   1515.2   1.76e-06
024-02-G-DA\ME_EOBX\7.7DFO_Jet      2.16e-08   1515.2   1.78e-06
025-02-02-L\LM_EXBN\14.5DFX_Jet     6.76e-10   1496.3   1.78e-06
025-02-02-L\LM_EXBN\14.5DFO_Jet     1.28e-10   1496.3   1.78e-06
025-02-02-L\LM_EXBN\7.7DFX_Jet      7.23e-09   1496.3   1.79e-06
025-02-02-L\LM_EXBN\7.7DFO_Jet      1.37e-09   1496.3   1.79e-06
025-02-02-L\LM_EXBN\2.9FFX_Jet      7.46e-09   1496.3   1.80e-06
025-02-02-L\LM_EXBN\2.9FFO_Jet      1.42e-09   1496.3   1.80e-06
025-01-02-L\LM_EXBN\7.7DFX_Jet      8.00e-09   1455.2   1.81e-06
025-01-02-L\LM_EXBN\7.7DFO_Jet      1.52e-09   1455.2   1.81e-06
025-01-02-L\LM_EXBN\2.9FFX_Jet      8.25e-09   1455.2   1.82e-06
025-01-02-L\LM_EXBN\2.9FFO_Jet      1.57e-09   1455.2   1.82e-06
025-01-01-G\ME_EXBO\2.9FFO_Jet      7.24e-08   1435.0   1.89e-06
024-03-01-G\ME_EOBX\2.9FFO_Jet      9.59e-09   1354.8   1.90e-06
024-02-G-DC\ME_EOBX\2.9FFO_Jet      7.43e-09   1329.7   1.91e-06
024-02-G-DB\ME_EOBX\2.9FFO_Jet      7.43e-09   1329.7   1.92e-06
024-02-G-DA\ME_EOBX\2.9FFO_Jet      2.23e-08   1329.7   1.94e-06
025-01-02-L\SM_EOBN\2.9FFO_Jet      9.65e-07   1326.5   2.90e-06
024-03-01-G\ME_EXBO\14.5DFO_Jet     5.34e-09   1322.2   2.91e-06
025-01-01-G\SM_EOBX\14.5DFO_Jet     5.78e-10   1314.6   2.91e-06
025-02-01-G\ME_EOBO\14.5DFO_Jet     6.13e-07   1309.7   3.52e-06
025-01-01-G\SM_EOBX\7.7DFO_Jet      6.19e-09   1255.5   3.53e-06
025-01-01-G\ME_EOBX\14.5DFO_Jet     1.61e-09   1199.8   3.53e-06
024-03-01-G\ME_EXBO\7.7DFO_Jet      5.72e-08   1179.0   3.59e-06
025-02-01-G\ME_EOBO\7.7DFO_Jet      6.57e-06   1178.3   1.02e-05
024-03-01-G\ME_EOBO\14.5DFO_Jet     1.73e-07   1175.8   1.03e-05
024-02-G-DC\ME_EOBO\14.5DFO_Jet     1.34e-07   1170.6   1.05e-05
024-02-G-DB\ME_EOBO\14.5DFO_Jet     1.34e-07   1170.6   1.06e-05
024-02-G-DA\ME_EOBO\14.5DFO_Jet     4.02e-07   1170.6   1.10e-05
025-02-02-L\LM_EOBN\14.5DFO_Jet     1.27e-08   1134.0   1.10e-05
025-02-02-L\LM_EOBN\7.7DFO_Jet      1.36e-07   1134.0   1.11e-05
025-02-02-L\LM_EOBN\2.9FFO_Jet      1.40e-07   1134.0   1.13e-05
025-01-01-G\ME_EOBX\7.7DFO_Jet      1.73e-08   1070.8   1.13e-05
024-03-01-G\ME_EOBO\7.7DFO_Jet      1.85e-06   1050.4   1.32e-05
024-02-G-DC\ME_EOBO\7.7DFO_Jet      1.43e-06   1044.9   1.46e-05
024-02-G-DB\ME_EOBO\7.7DFO_Jet      1.43e-06   1044.9   1.60e-05
024-02-G-DA\ME_EOBO\7.7DFO_Jet      4.30e-06   1044.9   2.03e-05
024-03-01-G\ME_EXBO\2.9FFO_Jet      5.90e-08   1038.3   2.04e-05
025-02-01-G\ME_EOBO\2.9FFO_Jet      6.77e-06   1024.3   2.71e-05
025-01-02-L\LM_EOBN\7.7DFO_Jet      1.50e-07    987.7   2.73e-05
025-01-02-L\LM_EOBN\2.9FFO_Jet      1.55e-07    987.7   2.75e-05
025-01-01-G\ME_EOBX\2.9FFO_Jet      1.78e-08    953.0   2.75e-05
024-02-G-DC\SM_EOBX\14.5DFO_Jet     2.77e-10    939.6   2.75e-05
024-02-G-DB\SM_EOBX\14.5DFO_Jet     2.77e-10    939.6   2.75e-05
024-02-G-DA\SM_EOBX\14.5DFO_Jet     8.30e-10    939.6   2.75e-05
024-03-01-G\ME_EOBO\2.9FFO_Jet      1.91e-06    927.2   2.94e-05
024-02-G-DC\ME_EOBO\2.9FFO_Jet      1.48e-06    923.5   3.09e-05
024-02-G-DB\ME_EOBO\2.9FFO_Jet      1.48e-06    923.5   3.23e-05
024-02-G-DA\ME_EOBO\2.9FFO_Jet      4.44e-06    923.5   3.68e-05
025-01-01-G\ME_EOBO\14.5DFO_Jet     3.21e-07    824.6   3.71e-05
024-03-01-G\SM_EXBX\14.5DFX_Jet     9.53e-09    809.5   3.71e-05
024-03-01-G\SM_EXBX\14.5DFO_Jet     1.29e-11    809.5   3.71e-05
024-02-G-DC\LM_EXBX\14.5DFX_Jet     3.73e-10    753.3   3.71e-05
024-02-G-DC\LM_EXBX\14.5DFO_Jet     7.43e-12    753.3   3.71e-05
024-02-G-DC\LM_EXBO\14.5DFO_Jet     1.48e-09    753.3   3.71e-05
024-02-G-DB\LM_EXBX\14.5DFX_Jet     3.73e-10    753.3   3.71e-05
024-02-G-DB\LM_EXBX\14.5DFO_Jet     7.43e-12    753.3   3.71e-05
024-02-G-DB\LM_EXBO\14.5DFO_Jet     1.48e-09    753.3   3.71e-05
024-02-G-DA\LM_EXBX\14.5DFX_Jet     1.12e-09    753.3   3.71e-05
024-02-G-DA\LM_EXBX\14.5DFO_Jet     2.23e-11    753.3   3.71e-05
024-02-G-DA\LM_EXBO\14.5DFO_Jet     4.43e-09    753.3   3.71e-05
025-01-01-G\ME_EOBO\7.7DFO_Jet      3.44e-06    742.0   4.06e-05
024-02-G-DC\LM_EXBX\7.7DFX_Jet      3.99e-09    736.1   4.06e-05
024-02-G-DC\LM_EXBX\7.7DFO_Jet      7.95e-11    736.1   4.06e-05
024-02-G-DC\LM_EXBO\7.7DFO_Jet      1.58e-08    736.1   4.06e-05
024-02-G-DB\LM_EXBX\7.7DFX_Jet      3.99e-09    736.1   4.06e-05
024-02-G-DB\LM_EXBX\7.7DFO_Jet      7.95e-11    736.1   4.06e-05
024-02-G-DB\LM_EXBO\7.7DFO_Jet      1.58e-08    736.1   4.06e-05
024-02-G-DA\LM_EXBX\7.7DFX_Jet      1.20e-08    736.1   4.06e-05
024-02-G-DA\LM_EXBX\7.7DFO_Jet      2.38e-10    736.1   4.06e-05
024-02-G-DA\LM_EXBO\7.7DFO_Jet      4.75e-08    736.1   4.07e-05
025-01-01-G\LM_EXBX\14.5DFX_Jet     9.85e-10    726.8   4.07e-05
025-01-01-G\LM_EXBX\14.5DFO_Jet     1.96e-11    726.8   4.07e-05
024-03-01-G\SM_EOBX\14.5DFO_Jet     4.16e-10    726.1   4.07e-05
024-02-G-DC\LM_EXBX\2.9FFX_Jet      4.12e-09    721.8   4.07e-05
024-02-G-DC\LM_EXBX\2.9FFO_Jet      8.20e-11    721.8   4.07e-05
024-02-G-DC\LM_EXBO\2.9FFO_Jet      1.63e-08    721.8   4.07e-05
024-02-G-DB\LM_EXBX\2.9FFX_Jet      4.12e-09    721.8   4.07e-05
024-02-G-DB\LM_EXBX\2.9FFO_Jet      8.20e-11    721.8   4.07e-05
024-02-G-DB\LM_EXBO\2.9FFO_Jet      1.63e-08    721.8   4.07e-05
024-02-G-DA\LM_EXBX\2.9FFX_Jet      1.24e-08    721.8   4.07e-05
024-02-G-DA\LM_EXBX\2.9FFO_Jet      2.46e-10    721.8   4.07e-05
024-02-G-DA\LM_EXBO\2.9FFO_Jet      4.90e-08    721.8   4.08e-05
025-02-01-G\LM_EXBX\14.5DFX_Jet     1.88e-09    714.9   4.08e-05
025-02-01-G\LM_EXBX\14.5DFO_Jet     5.60e-11    714.9   4.08e-05
025-01-01-G\LM_EXBX\7.7DFX_Jet      1.05e-08    710.1   4.08e-05
025-01-01-G\LM_EXBX\7.7DFO_Jet      2.10e-10    710.1   4.08e-05
025-02-01-G\LM_EXBX\7.7DFX_Jet      2.01e-08    703.0   4.08e-05
025-02-01-G\LM_EXBX\7.7DFO_Jet      6.00e-10    703.0   4.08e-05
025-01-01-G\LM_EXBX\2.9FFX_Jet      1.09e-08    694.9   4.08e-05
025-01-01-G\LM_EXBX\2.9FFO_Jet      2.16e-10    694.9   4.08e-05
025-02-01-G\LM_EXBX\2.9FFX_Jet      2.07e-08    693.3   4.08e-05
025-02-01-G\LM_EXBX\2.9FFO_Jet      6.19e-10    693.3   4.08e-05
025-01-02-L\LM_EXBN\14.5DFX_Jet     7.47e-10    682.1   4.08e-05
025-01-02-L\LM_EXBN\14.5DFO_Jet     1.42e-10    682.1   4.08e-05
025-01-01-G\LM_EXBO\14.5DFO_Jet     3.90e-09    674.3   4.08e-05
025-02-01-G\LM_EXBO\14.5DFO_Jet     1.12e-08    672.1   4.08e-05
025-01-01-G\ME_EOBO\2.9FFO_Jet      3.55e-06    666.6   4.44e-05
025-02-01-G\LM_EXBO\7.7DFO_Jet      1.19e-07    662.2   4.45e-05
025-01-01-G\LM_EXBO\7.7DFO_Jet      4.18e-08    659.2   4.45e-05
025-02-01-G\LM_EXBO\2.9FFO_Jet      1.23e-07    652.6   4.47e-05
025-01-01-G\LM_EXBO\2.9FFO_Jet      4.31e-08    645.3   4.47e-05
024-03-01-G\LM_EXBX\14.5DFX_Jet     5.41e-10    501.9   4.47e-05
024-03-01-G\LM_EXBX\14.5DFO_Jet     1.62e-11    501.9   4.47e-05
024-03-01-G\LM_EXBX\7.7DFX_Jet      5.80e-09    492.0   4.47e-05
024-03-01-G\LM_EXBX\7.7DFO_Jet      1.73e-10    492.0   4.47e-05
025-01-02-L\LM_EOBN\14.5DFO_Jet     1.41e-08    486.4   4.47e-05
024-03-01-G\LM_EXBX\2.9FFX_Jet      5.98e-09    483.7   4.47e-05
024-03-01-G\LM_EXBX\2.9FFO_Jet      1.79e-10    483.7   4.47e-05
024-03-01-G\LM_EXBO\14.5DFO_Jet     3.22e-09    475.4   4.47e-05
024-03-01-G\LM_EXBO\7.7DFO_Jet      3.44e-08    466.1   4.48e-05
024-03-01-G\LM_EXBO\2.9FFO_Jet      3.55e-08    458.4   4.48e-05
024-03-01-G\LM_EOBX\14.5DFO_Jet     5.23e-10    457.1   4.48e-05
024-02-G-DC\LM_EOBX\14.5DFO_Jet     3.64e-10    456.2   4.48e-05
024-02-G-DB\LM_EOBX\14.5DFO_Jet     3.64e-10    456.2   4.48e-05
024-02-G-DA\LM_EOBX\14.5DFO_Jet     1.09e-09    456.2   4.48e-05
024-03-01-G\LM_EOBX\7.7DFO_Jet      5.59e-09    448.2   4.48e-05
024-02-G-DC\LM_EOBX\7.7DFO_Jet      3.89e-09    447.5   4.48e-05
024-02-G-DB\LM_EOBX\7.7DFO_Jet      3.89e-09    447.5   4.48e-05
024-02-G-DA\LM_EOBX\7.7DFO_Jet      1.17e-08    447.5   4.48e-05
025-02-01-G\LM_EOBX\14.5DFO_Jet     1.81e-09    441.3   4.48e-05
024-03-01-G\LM_EOBX\2.9FFO_Jet      5.77e-09    440.9   4.48e-05
024-02-G-DC\LM_EOBX\2.9FFO_Jet      4.02e-09    440.2   4.49e-05
024-02-G-DB\LM_EOBX\2.9FFO_Jet      4.02e-09    440.2   4.49e-05
024-02-G-DA\LM_EOBX\2.9FFO_Jet      1.21e-08    440.2   4.49e-05
025-02-01-G\LM_EOBX\7.7DFO_Jet      1.94e-08    434.8   4.49e-05
024-03-01-G\LM_EOBO\14.5DFO_Jet     1.04e-07    433.6   4.50e-05
024-02-G-DC\LM_EOBO\14.5DFO_Jet     7.24e-08    433.6   4.51e-05
024-02-G-DB\LM_EOBO\14.5DFO_Jet     7.24e-08    433.6   4.51e-05
024-02-G-DA\LM_EOBO\14.5DFO_Jet     2.17e-07    433.6   4.54e-05
025-02-01-G\LM_EOBX\2.9FFO_Jet      2.00e-08    429.7   4.54e-05
024-03-01-G\LM_EOBO\7.7DFO_Jet      1.11e-06    425.8   4.65e-05
024-02-G-DC\LM_EOBO\7.7DFO_Jet      7.75e-07    425.3   4.73e-05
024-02-G-DB\LM_EOBO\7.7DFO_Jet      7.75e-07    425.3   4.80e-05
024-02-G-DA\LM_EOBO\7.7DFO_Jet      2.33e-06    425.3   5.04e-05
025-02-01-G\LM_EOBO\14.5DFO_Jet     3.61e-07    419.1   5.07e-05
024-03-01-G\LM_EOBO\2.9FFO_Jet      1.15e-06    419.0   5.19e-05
024-02-G-DC\LM_EOBO\2.9FFO_Jet      8.00e-07    418.5   5.27e-05
024-02-G-DB\LM_EOBO\2.9FFO_Jet      8.00e-07    418.5   5.35e-05
024-02-G-DA\LM_EOBO\2.9FFO_Jet      2.40e-06    418.5   5.59e-05
025-02-01-G\LM_EOBO\7.7DFO_Jet      3.86e-06    414.0   5.97e-05
025-02-01-G\LM_EOBO\2.9FFO_Jet      3.98e-06    409.0   6.37e-05
025-01-01-G\LM_EOBX\14.5DFO_Jet     9.60e-10    377.3   6.37e-05
025-01-01-G\LM_EOBX\7.7DFO_Jet      1.03e-08    370.4   6.37e-05
025-01-01-G\LM_EOBX\2.9FFO_Jet      1.06e-08    364.1   6.37e-05
025-01-01-G\LM_EOBO\14.5DFO_Jet     1.91e-07    356.9   6.39e-05
025-01-01-G\LM_EOBO\7.7DFO_Jet      2.05e-06    350.6   6.60e-05
025-01-01-G\LM_EOBO\2.9FFO_Jet      2.11e-06    345.0   6.81e-05
025-01-01-G\SM_EXBO\14.5DFO_Jet     2.35e-09    342.5   6.81e-05
025-01-01-G\SM_EXBO\7.7DFO_Jet      2.51e-08    333.1   6.81e-05
024-02-G-DC\SM_EXBX\14.5DFX_Jet     6.27e-09    267.3   6.81e-05
024-02-G-DC\SM_EXBX\14.5DFO_Jet     5.65e-12    267.3   6.81e-05
024-02-G-DC\SM_EXBO\14.5DFO_Jet     1.12e-09    267.3   6.81e-05
024-02-G-DB\SM_EXBX\14.5DFX_Jet     6.27e-09    267.3   6.81e-05
024-02-G-DB\SM_EXBX\14.5DFO_Jet     5.65e-12    267.3   6.81e-05
024-02-G-DB\SM_EXBO\14.5DFO_Jet     1.12e-09    267.3   6.81e-05
024-02-G-DA\SM_EXBX\14.5DFX_Jet     1.88e-08    267.3   6.81e-05
024-02-G-DA\SM_EXBX\14.5DFO_Jet     1.69e-11    267.3   6.81e-05
024-02-G-DA\SM_EXBO\14.5DFO_Jet     3.37e-09    267.3   6.81e-05
024-01-02-L\SM_EXBN\2.9FFX_Jet      5.70e-08    247.8   6.82e-05
024-01-02-L\SM_EXBN\2.9FFO_Jet      2.17e-08    247.8   6.82e-05
024-02-G-DC\SM_EOBX\7.7DFO_Jet      2.96e-09    232.5   6.82e-05
024-02-G-DB\SM_EOBX\7.7DFO_Jet      2.96e-09    232.5   6.82e-05
024-02-G-DA\SM_EOBX\7.7DFO_Jet      8.88e-09    232.5   6.82e-05
025-01-01-G\SM_EOBO\14.5DFO_Jet     1.15e-07    230.7   6.84e-05
025-01-01-G\SM_EOBO\7.7DFO_Jet      1.23e-06    226.9   6.96e-05
024-02-G-DC\SM_EOBO\14.5DFO_Jet     5.51e-08    207.6   6.96e-05
024-02-G-DB\SM_EOBO\14.5DFO_Jet     5.51e-08    207.6   6.97e-05
024-02-G-DA\SM_EOBO\14.5DFO_Jet     1.65e-07    207.6   6.99e-05
024-01-02-L\LM_EXBN\7.7DFX_Jet      9.46e-09    204.8   6.99e-05
024-01-02-L\LM_EXBN\7.7DFO_Jet      3.59e-09    204.8   6.99e-05
024-01-02-L\LM_EXBN\2.9FFX_Jet      9.76e-09    204.8   6.99e-05
024-01-02-L\LM_EXBN\2.9FFO_Jet      3.71e-09    204.8   6.99e-05
024-03-01-G\SM_EXBO\14.5DFO_Jet     2.56e-09    198.6   6.99e-05
024-03-01-G\SM_EOBO\14.5DFO_Jet     8.28e-08    193.2   7.00e-05
024-02-G-DC\SM_EXBX\7.7DFX_Jet      6.72e-08    166.3   7.00e-05
024-02-G-DC\SM_EXBX\7.7DFO_Jet      6.04e-11    166.3   7.00e-05
024-02-G-DC\SM_EXBO\7.7DFO_Jet      1.20e-08    166.3   7.01e-05
024-02-G-DB\SM_EXBX\7.7DFX_Jet      6.72e-08    166.3   7.01e-05
024-02-G-DB\SM_EXBX\7.7DFO_Jet      6.04e-11    166.3   7.01e-05
024-02-G-DB\SM_EXBO\7.7DFO_Jet      1.20e-08    166.3   7.01e-05
024-02-G-DA\SM_EXBX\7.7DFX_Jet      2.01e-07    166.3   7.03e-05
024-02-G-DA\SM_EXBX\7.7DFO_Jet      1.81e-10    166.3   7.03e-05
024-02-G-DA\SM_EXBO\7.7DFO_Jet      3.61e-08    166.3   7.04e-05
024-02-G-DC\SM_EOBO\7.7DFO_Jet      5.89e-07    159.4   7.10e-05
024-02-G-DB\SM_EOBO\7.7DFO_Jet      5.89e-07    159.4   7.15e-05
024-02-G-DA\SM_EOBO\7.7DFO_Jet      1.77e-06    159.4   7.33e-05
024-01-02-L\SM_EOBN\2.9FFO_Jet      1.06e-06    150.2   7.44e-05
024-01-02-L\LM_EOBN\7.7DFO_Jet      1.76e-07    140.8   7.46e-05
024-01-02-L\LM_EOBN\2.9FFO_Jet      1.82e-07    140.8   7.47e-05
025-02-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   7.47e-05
025-02-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   7.47e-05
025-02-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   7.47e-05
025-02-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
025-02-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   7.47e-05
025-02-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
025-02-01-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   7.47e-05
025-01-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   7.47e-05
025-01-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   7.47e-05
025-01-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   7.47e-05
025-01-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
025-01-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   7.47e-05
025-01-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
025-01-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   7.47e-05
025-01-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   7.47e-05
025-01-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   7.47e-05
025-01-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   7.47e-05
025-01-01-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   7.47e-05
024-03-02-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   7.47e-05
024-03-02-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   7.47e-05
024-03-02-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   7.47e-05
024-03-02-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
024-03-02-L\LM_EXBN\2.9FFX_Jet      0.00e+00      0.0   7.47e-05
024-03-02-L\LM_EXBN\2.9FFO_Jet      0.00e+00      0.0   7.47e-05
024-03-02-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   7.47e-05
024-03-02-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
024-03-02-L\LM_EOBN\2.9FFO_Jet      0.00e+00      0.0   7.47e-05
024-03-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   7.47e-05
024-03-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
024-03-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   7.47e-05
024-03-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   7.47e-05
024-03-01-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   7.47e-05
