S04S05 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
020-04-01-L\ME_EXBN\14.5DFX_Jet     6.30e-10   3600.0   6.30e-10
020-04-01-L\ME_EXBN\14.5DFO_Jet     2.51e-09   3600.0   3.14e-09
020-04-01-L\ME_EXBN\7.7DFX_Jet      6.74e-09   3600.0   9.88e-09
020-04-01-L\ME_EXBN\7.7DFO_Jet      2.68e-08   3600.0   3.67e-08
020-04-01-L\ME_EXBN\2.9FFX_Jet      6.95e-09   3600.0   4.37e-08
020-04-01-L\ME_EXBN\2.9FFO_Jet      2.77e-08   3600.0   7.13e-08
020-04-01-L\ME_EOBN\14.5DFO_Jet     1.23e-07   3600.0   1.94e-07
020-04-01-L\ME_EOBN\7.7DFO_Jet      1.31e-06   3600.0   1.51e-06
020-04-01-L\ME_EOBN\2.9FFO_Jet      1.36e-06   3600.0   2.86e-06
020-03-03-Lo\ME_EXBN\14.5DFX_Jet    3.54e-10   3600.0   2.87e-06
020-03-03-Lo\ME_EXBN\14.5DFO_Jet    7.04e-10   3600.0   2.87e-06
020-03-03-Lo\ME_EXBN\7.7DFX_Jet     3.79e-09   3600.0   2.87e-06
020-03-03-Lo\ME_EXBN\7.7DFO_Jet     7.54e-09   3600.0   2.88e-06
020-03-03-Lo\ME_EXBN\2.9FFX_Jet     3.91e-09   3600.0   2.88e-06
020-03-03-Lo\ME_EXBN\2.9FFO_Jet     7.78e-09   3600.0   2.89e-06
020-04-01-L\LM_EXBN\14.5DFX_Jet     3.35e-09   3360.9   2.89e-06
020-04-01-L\LM_EXBN\14.5DFO_Jet     1.33e-08   3360.9   2.91e-06
020-04-01-L\LM_EXBN\7.7DFX_Jet      3.58e-08   3360.9   2.94e-06
020-04-01-L\LM_EXBN\7.7DFO_Jet      1.43e-07   3360.9   3.08e-06
020-04-01-L\LM_EXBN\2.9FFX_Jet      3.70e-08   3360.9   3.12e-06
020-04-01-L\LM_EXBN\2.9FFO_Jet      1.47e-07   3360.9   3.27e-06
020-03-03-Lo\LM_EXBN\14.5DFX_Jet    2.30e-10   2872.2   3.27e-06
020-03-03-Lo\LM_EXBN\14.5DFO_Jet    4.58e-10   2872.2   3.27e-06
020-03-03-Lo\LM_EXBN\7.7DFX_Jet     2.46e-09   2872.2   3.27e-06
020-03-03-Lo\LM_EXBN\7.7DFO_Jet     4.90e-09   2872.2   3.28e-06
020-03-03-Lo\LM_EXBN\2.9FFX_Jet     2.54e-09   2872.2   3.28e-06
020-03-03-Lo\LM_EXBN\2.9FFO_Jet     5.06e-09   2872.2   3.28e-06
020-03-01-Li\ME_EXBO\14.5DFO_Jet    1.31e-08   2556.2   3.30e-06
020-03-01-Li\ME_EXBO\7.7DFO_Jet     1.41e-07   2556.2   3.44e-06
