S03S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
023-03-01-G-DC\SM_EXBX\14.5DFO_Jet  1.19e-11   3600.0   1.01e-06
023-03-01-G-DC\SM_EXBX\7.7DFX_Jet   1.41e-07   3600.0   1.15e-06
023-03-01-G-DC\SM_EXBX\7.7DFO_Jet   1.27e-10   3600.0   1.15e-06
023-03-01-G-DC\SM_EOBX\14.5DFO_Jet  5.82e-10   3600.0   1.15e-06
023-03-01-G-DC\SM_EOBX\7.7DFO_Jet   6.23e-09   3600.0   1.16e-06
023-03-01-G-DB\LM_EXBX\14.5DFX_Jet  2.29e-09   3600.0   1.16e-06
023-03-01-G-DB\LM_EXBX\14.5DFO_Jet  4.36e-12   3600.0   1.16e-06
023-03-01-G-DB\LM_EXBX\7.7DFX_Jet   2.45e-08   3600.0   1.19e-06
023-03-01-G-DB\LM_EXBX\7.7DFO_Jet   4.66e-11   3600.0   1.19e-06
023-03-01-G-DB\LM_EXBX\2.9FFX_Jet   2.53e-08   3600.0   1.21e-06
023-03-01-G-DB\LM_EXBX\2.9FFO_Jet   4.81e-11   3600.0   1.21e-06
023-03-01-G-DB\SM_EXBX\14.5DFX_Jet  1.32e-08   3600.0   1.22e-06
023-03-01-G-DB\SM_EXBX\14.5DFO_Jet  1.19e-11   3600.0   1.22e-06
023-03-01-G-DB\SM_EXBX\7.7DFX_Jet   1.41e-07   3600.0   1.37e-06
023-03-01-G-DB\SM_EXBX\7.7DFO_Jet   1.27e-10   3600.0   1.37e-06
023-03-01-G-DB\SM_EOBX\14.5DFO_Jet  5.82e-10   3600.0   1.37e-06
023-03-01-G-DB\SM_EOBX\7.7DFO_Jet   6.23e-09   3600.0   1.37e-06
023-03-01-G-DA\LM_EXBX\14.5DFX_Jet  6.88e-09   3600.0   1.38e-06
023-03-01-G-DA\LM_EXBX\14.5DFO_Jet  1.31e-11   3600.0   1.38e-06
023-03-01-G-DA\LM_EXBX\7.7DFX_Jet   7.36e-08   3600.0   1.45e-06
023-03-01-G-DA\LM_EXBX\7.7DFO_Jet   1.40e-10   3600.0   1.45e-06
023-03-01-G-DA\LM_EXBX\2.9FFX_Jet   7.60e-08   3600.0   1.53e-06
023-03-01-G-DA\LM_EXBX\2.9FFO_Jet   1.44e-10   3600.0   1.53e-06
023-03-01-G-DA\SM_EXBX\14.5DFX_Jet  3.96e-08   3600.0   1.57e-06
023-03-01-G-DA\SM_EXBX\14.5DFO_Jet  3.56e-11   3600.0   1.57e-06
023-03-01-G-DA\SM_EXBX\7.7DFX_Jet   4.24e-07   3600.0   1.99e-06
023-03-01-G-DA\SM_EXBX\7.7DFO_Jet   3.81e-10   3600.0   1.99e-06
023-03-01-G-DA\SM_EOBX\14.5DFO_Jet  1.75e-09   3600.0   2.00e-06
023-03-01-G-DA\SM_EOBX\7.7DFO_Jet   1.87e-08   3600.0   2.01e-06
023-03-01-G-DC\SM_EXBX\2.9FFX_Jet   1.46e-07   3473.0   2.16e-06
023-03-01-G-DC\SM_EXBX\2.9FFO_Jet   1.31e-10   3473.0   2.16e-06
023-03-01-G-DB\SM_EXBX\2.9FFX_Jet   1.46e-07   3473.0   2.31e-06
023-03-01-G-DB\SM_EXBX\2.9FFO_Jet   1.31e-10   3473.0   2.31e-06
023-03-01-G-DA\SM_EXBX\2.9FFX_Jet   4.37e-07   3473.0   2.74e-06
023-03-01-G-DA\SM_EXBX\2.9FFO_Jet   3.93e-10   3473.0   2.74e-06
024-01-01-G\ME_EXBO\2.9FFO_Jet      2.43e-07   3420.8   2.99e-06
023-03-02-L\SM_EXBN\2.9FFX_Jet      1.26e-08   2530.2   3.00e-06
023-03-02-L\SM_EXBN\2.9FFO_Jet      2.40e-09   2530.2   3.00e-06
023-03-01-G-DC\LM_EXBO\14.5DFO_Jet  8.67e-10   2517.2   3.00e-06
023-03-01-G-DB\LM_EXBO\14.5DFO_Jet  8.67e-10   2517.2   3.00e-06
023-03-01-G-DA\LM_EXBO\14.5DFO_Jet  2.60e-09   2517.2   3.01e-06
023-03-01-G-DC\LM_EOBX\14.5DFO_Jet  2.14e-10   2501.1   3.01e-06
023-03-01-G-DB\LM_EOBX\14.5DFO_Jet  2.14e-10   2501.1   3.01e-06
023-03-01-G-DA\LM_EOBX\14.5DFO_Jet  6.41e-10   2501.1   3.01e-06
024-01-01-G\SM_EOBX\2.9FFO_Jet      1.27e-08   2399.5   3.02e-06
023-03-01-G-DC\LM_EXBO\7.7DFO_Jet   9.28e-09   2344.2   3.03e-06
023-03-01-G-DB\LM_EXBO\7.7DFO_Jet   9.28e-09   2344.2   3.04e-06
023-03-01-G-DA\LM_EXBO\7.7DFO_Jet   2.78e-08   2344.2   3.07e-06
023-03-01-G-DC\LM_EOBX\7.7DFO_Jet   2.29e-09   2328.3   3.07e-06
023-03-01-G-DB\LM_EOBX\7.7DFO_Jet   2.29e-09   2328.3   3.07e-06
023-03-01-G-DA\LM_EOBX\7.7DFO_Jet   6.86e-09   2328.3   3.08e-06
024-01-01-G\ME_EOBX\14.5DFO_Jet     2.65e-09   2050.8   3.08e-06
023-03-01-G-DC\LM_EXBO\2.9FFO_Jet   9.58e-09   2046.1   3.09e-06
023-03-01-G-DB\LM_EXBO\2.9FFO_Jet   9.58e-09   2046.1   3.10e-06
023-03-01-G-DA\LM_EXBO\2.9FFO_Jet   2.87e-08   2046.1   3.13e-06
023-03-01-G-DC\LM_EOBX\2.9FFO_Jet   2.36e-09   2030.8   3.13e-06
023-03-01-G-DB\LM_EOBX\2.9FFO_Jet   2.36e-09   2030.8   3.13e-06
023-03-01-G-DA\LM_EOBX\2.9FFO_Jet   7.07e-09   2030.8   3.14e-06
024-01-01-G\ME_EOBX\7.7DFO_Jet      2.84e-08   1882.6   3.17e-06
024-01-01-G\SM_EXBO\14.5DFO_Jet     9.57e-09   1762.0   3.18e-06
024-01-01-G\ME_EOBX\2.9FFO_Jet      2.93e-08   1708.1   3.21e-06
024-01-01-G\SM_EXBO\7.7DFO_Jet      1.02e-07   1553.9   3.31e-06
024-01-01-G\ME_EOBO\14.5DFO_Jet     5.28e-07   1525.0   3.84e-06
023-03-01-G-DC\SM_EOBX\2.9FFO_Jet   6.43e-09   1516.5   3.84e-06
023-03-01-G-DB\SM_EOBX\2.9FFO_Jet   6.43e-09   1516.5   3.85e-06
023-03-01-G-DA\SM_EOBX\2.9FFO_Jet   1.93e-08   1516.5   3.87e-06
023-04-G\ME_EXBX\14.5DFX_Jet        7.62e-10   1405.3   3.87e-06
023-04-G\ME_EXBX\14.5DFO_Jet        2.90e-12   1405.3   3.87e-06
024-01-01-G\ME_EOBO\7.7DFO_Jet      5.65e-06   1403.0   9.52e-06
023-04-G\ME_EXBX\7.7DFX_Jet         8.16e-09   1351.2   9.53e-06
023-04-G\ME_EXBX\7.7DFO_Jet         3.10e-11   1351.2   9.53e-06
024-01-01-G\ME_EOBO\2.9FFO_Jet      5.83e-06   1276.9   1.54e-05
023-03-02-L\LM_EXBN\14.5DFX_Jet     3.78e-10   1267.3   1.54e-05
023-03-02-L\LM_EXBN\14.5DFO_Jet     7.19e-11   1267.3   1.54e-05
023-03-02-L\LM_EXBN\7.7DFX_Jet      4.05e-09   1267.3   1.54e-05
023-03-02-L\LM_EXBN\7.7DFO_Jet      7.70e-10   1267.3   1.54e-05
023-03-02-L\LM_EXBN\2.9FFX_Jet      4.18e-09   1267.3   1.54e-05
023-03-02-L\LM_EXBN\2.9FFO_Jet      7.94e-10   1267.3   1.54e-05
023-04-G\ME_EXBO\14.5DFO_Jet        5.77e-10   1225.9   1.54e-05
023-04-G\ME_EXBO\7.7DFO_Jet         6.17e-09   1179.5   1.54e-05
023-04-G\ME_EXBX\2.9FFX_Jet         8.42e-09   1172.3   1.54e-05
023-04-G\ME_EXBX\2.9FFO_Jet         3.20e-11   1172.3   1.54e-05
024-01-01-G\LM_EXBX\14.5DFX_Jet     1.71e-09   1138.0   1.54e-05
024-01-01-G\LM_EXBX\14.5DFO_Jet     6.80e-11   1138.0   1.54e-05
023-03-01-G-DC\LM_EOBO\14.5DFO_Jet  4.25e-08   1127.7   1.54e-05
023-03-01-G-DB\LM_EOBO\14.5DFO_Jet  4.25e-08   1127.7   1.55e-05
023-03-01-G-DA\LM_EOBO\14.5DFO_Jet  1.27e-07   1127.7   1.56e-05
024-01-01-G\LM_EXBX\7.7DFX_Jet      1.83e-08   1122.7   1.56e-05
024-01-01-G\LM_EXBX\7.7DFO_Jet      7.28e-10   1122.7   1.56e-05
024-01-01-G\LM_EXBX\2.9FFX_Jet      1.89e-08   1110.9   1.56e-05
024-01-01-G\LM_EXBX\2.9FFO_Jet      7.51e-10   1110.9   1.56e-05
024-01-01-G\LM_EXBO\14.5DFO_Jet     1.35e-08   1081.2   1.57e-05
024-01-01-G\LM_EXBO\7.7DFO_Jet      1.45e-07   1068.2   1.58e-05
024-01-01-G\LM_EXBO\2.9FFO_Jet      1.49e-07   1056.4   1.59e-05
023-03-01-G-DC\LM_EOBO\7.7DFO_Jet   4.55e-07   1055.9   1.64e-05
023-03-01-G-DB\LM_EOBO\7.7DFO_Jet   4.55e-07   1055.9   1.69e-05
023-03-01-G-DA\LM_EOBO\7.7DFO_Jet   1.36e-06   1055.9   1.82e-05
023-04-G\ME_EXBO\2.9FFO_Jet         6.37e-09   1026.2   1.82e-05
023-03-02-L\SM_EOBN\2.9FFO_Jet      2.37e-07    974.3   1.85e-05
023-03-01-G-DC\LM_EOBO\2.9FFO_Jet   4.69e-07    932.5   1.89e-05
023-03-01-G-DB\LM_EOBO\2.9FFO_Jet   4.69e-07    932.5   1.94e-05
023-03-01-G-DA\LM_EOBO\2.9FFO_Jet   1.41e-06    932.5   2.08e-05
023-03-01-G-DC\SM_EXBO\14.5DFO_Jet  2.36e-09    793.2   2.08e-05
023-03-01-G-DB\SM_EXBO\14.5DFO_Jet  2.36e-09    793.2   2.08e-05
023-03-01-G-DA\SM_EXBO\14.5DFO_Jet  7.09e-09    793.2   2.08e-05
024-01-01-G\SM_EXBO\2.9FFO_Jet      1.06e-07    750.8   2.09e-05
023-04-G\LM_EXBX\14.5DFX_Jet        4.43e-10    713.3   2.09e-05
023-04-G\LM_EXBX\14.5DFO_Jet        1.76e-11    713.3   2.09e-05
024-01-01-G\SM_EOBO\14.5DFO_Jet     2.30e-07    709.2   2.12e-05
023-04-G\LM_EXBX\7.7DFX_Jet         4.74e-09    692.7   2.12e-05
023-04-G\LM_EXBX\7.7DFO_Jet         1.89e-10    692.7   2.12e-05
023-03-01-G-DC\SM_EXBO\7.7DFO_Jet   2.53e-08    683.4   2.12e-05
023-03-01-G-DB\SM_EXBO\7.7DFO_Jet   2.53e-08    683.4   2.12e-05
023-03-01-G-DA\SM_EXBO\7.7DFO_Jet   7.59e-08    683.4   2.13e-05
023-04-G\LM_EXBO\14.5DFO_Jet        3.51e-09    681.0   2.13e-05
023-04-G\LM_EXBO\7.7DFO_Jet         3.75e-08    661.8   2.13e-05
023-04-G\LM_EXBX\2.9FFX_Jet         4.89e-09    657.7   2.13e-05
023-04-G\LM_EXBX\2.9FFO_Jet         1.95e-10    657.7   2.13e-05
023-03-03-L\LM_EXBN\2.9FFX_Jet      3.27e-08    646.5   2.14e-05
023-03-03-L\LM_EXBN\2.9FFO_Jet      6.22e-09    646.5   2.14e-05
024-01-01-G\SM_EOBO\7.7DFO_Jet      2.46e-06    637.2   2.38e-05
023-04-G\LM_EXBO\2.9FFO_Jet         3.87e-08    628.7   2.39e-05
023-03-02-L\LM_EOBN\14.5DFO_Jet     7.12e-09    528.0   2.39e-05
023-03-02-L\LM_EOBN\7.7DFO_Jet      7.62e-08    528.0   2.40e-05
023-03-02-L\LM_EOBN\2.9FFO_Jet      7.86e-08    528.0   2.40e-05
024-01-01-G\LM_EOBX\14.5DFO_Jet     1.63e-09    484.6   2.40e-05
024-01-01-G\LM_EOBX\7.7DFO_Jet      1.75e-08    479.8   2.41e-05
024-01-01-G\LM_EOBX\2.9FFO_Jet      1.80e-08    475.8   2.41e-05
024-01-01-G\LM_EOBO\14.5DFO_Jet     3.25e-07    466.1   2.44e-05
024-01-01-G\LM_EOBO\7.7DFO_Jet      3.48e-06    461.2   2.79e-05
024-01-01-G\LM_EOBO\2.9FFO_Jet      3.59e-06    457.6   3.15e-05
023-03-01-G-DC\SM_EOBO\14.5DFO_Jet  1.16e-07    417.9   3.16e-05
023-03-01-G-DB\SM_EOBO\14.5DFO_Jet  1.16e-07    417.9   3.17e-05
023-03-01-G-DA\SM_EOBO\14.5DFO_Jet  3.47e-07    417.9   3.20e-05
023-03-01-G-DC\SM_EOBO\7.7DFO_Jet   1.24e-06    372.5   3.33e-05
023-03-01-G-DB\SM_EOBO\7.7DFO_Jet   1.24e-06    372.5   3.45e-05
023-03-01-G-DA\SM_EOBO\7.7DFO_Jet   3.72e-06    372.5   3.82e-05
023-03-01-G-DC\SM_EXBO\2.9FFO_Jet   2.61e-08    362.0   3.83e-05
023-03-01-G-DB\SM_EXBO\2.9FFO_Jet   2.61e-08    362.0   3.83e-05
023-03-01-G-DA\SM_EXBO\2.9FFO_Jet   7.83e-08    362.0   3.84e-05
024-01-01-G\SM_EOBO\2.9FFO_Jet      2.54e-06    359.5   4.09e-05
023-04-G\ME_EOBX\14.5DFO_Jet        6.95e-11    336.8   4.09e-05
023-04-G\ME_EOBX\7.7DFO_Jet         7.44e-10    328.2   4.09e-05
023-04-G\ME_EOBO\14.5DFO_Jet        1.38e-08    310.3   4.09e-05
023-04-G\ME_EOBO\7.7DFO_Jet         1.48e-07    303.0   4.11e-05
023-04-G\ME_EOBX\2.9FFO_Jet         7.68e-10    299.9   4.11e-05
023-04-G\ME_EOBO\2.9FFO_Jet         1.53e-07    278.7   4.12e-05
023-03-03-L\LM_EOBN\2.9FFO_Jet      6.16e-07    262.3   4.18e-05
023-03-01-G-DC\SM_EOBO\2.9FFO_Jet   1.28e-06    239.4   4.31e-05
023-03-01-G-DB\SM_EOBO\2.9FFO_Jet   1.28e-06    239.4   4.44e-05
023-03-01-G-DA\SM_EOBO\2.9FFO_Jet   3.84e-06    239.4   4.82e-05
023-04-G\LM_EOBX\14.5DFO_Jet        4.23e-10    227.3   4.82e-05
023-04-G\LM_EOBX\7.7DFO_Jet         4.53e-09    224.1   4.82e-05
023-04-G\LM_EOBO\14.5DFO_Jet        8.42e-08    223.0   4.83e-05
023-04-G\LM_EOBO\7.7DFO_Jet         9.01e-07    220.0   4.92e-05
023-04-G\LM_EOBX\2.9FFO_Jet         4.67e-09    218.5   4.92e-05
023-04-G\LM_EOBO\2.9FFO_Jet         9.30e-07    214.7   5.02e-05
023-04-G\SM_EXBX\14.5DFX_Jet        0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBX\14.5DFO_Jet        0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBX\7.7DFX_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBX\7.7DFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBX\2.9FFX_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBX\2.9FFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBO\14.5DFO_Jet        0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBO\7.7DFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EXBO\2.9FFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBX\14.5DFO_Jet        0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBX\7.7DFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBX\2.9FFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBO\14.5DFO_Jet        0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBO\7.7DFO_Jet         0.00e+00      0.0   5.02e-05
023-04-G\SM_EOBO\2.9FFO_Jet         0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   5.02e-05
023-03-03-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   5.02e-05
023-03-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   5.02e-05
