P03S03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
045-02-01-G\LM_EXBX\14.5DFX_Jet     5.10e-09   2702.5   5.10e-09
045-02-01-G\LM_EXBX\14.5DFO_Jet     2.91e-11   2702.5   5.13e-09
045-02-01-G\LM_EXBX\7.7DFX_Jet      5.46e-08   2388.6   5.97e-08
045-02-01-G\LM_EXBX\7.7DFO_Jet      3.11e-10   2388.6   6.00e-08
023-01-01-G-DB\LM_EXBX\14.5DFX_Jet  1.01e-09   2223.4   6.11e-08
023-01-01-G-DB\LM_EXBX\14.5DFO_Jet  4.79e-12   2223.4   6.11e-08
023-01-01-G-DA\LM_EXBX\14.5DFX_Jet  1.01e-09   2223.4   6.21e-08
023-01-01-G-DA\LM_EXBX\14.5DFO_Jet  4.79e-12   2223.4   6.21e-08
023-01-01-G-DB\LM_EXBO\14.5DFO_Jet  9.53e-10   2074.6   6.30e-08
023-01-01-G-DA\LM_EXBO\14.5DFO_Jet  9.53e-10   2074.6   6.40e-08
023-01-01-G-DB\LM_EXBX\7.7DFX_Jet   1.08e-08   1967.9   7.48e-08
023-01-01-G-DB\LM_EXBX\7.7DFO_Jet   5.13e-11   1967.9   7.48e-08
023-01-01-G-DA\LM_EXBX\7.7DFX_Jet   1.08e-08   1967.9   8.56e-08
023-01-01-G-DA\LM_EXBX\7.7DFO_Jet   5.13e-11   1967.9   8.57e-08
023-01-01-G-DB\LM_EXBO\7.7DFO_Jet   1.02e-08   1837.4   9.59e-08
023-01-01-G-DA\LM_EXBO\7.7DFO_Jet   1.02e-08   1837.4   1.06e-07
045-02-01-G\LM_EXBX\2.9FFX_Jet      5.63e-08   1411.3   1.62e-07
045-02-01-G\LM_EXBX\2.9FFO_Jet      3.21e-10   1411.3   1.63e-07
023-01-01-G-DB\LM_EXBX\2.9FFX_Jet   1.11e-08   1317.4   1.74e-07
023-01-01-G-DB\LM_EXBX\2.9FFO_Jet   5.29e-11   1317.4   1.74e-07
023-01-01-G-DA\LM_EXBX\2.9FFX_Jet   1.11e-08   1317.4   1.85e-07
023-01-01-G-DA\LM_EXBX\2.9FFO_Jet   5.29e-11   1317.4   1.85e-07
023-01-01-G-DB\LM_EXBO\2.9FFO_Jet   1.05e-08   1233.6   1.96e-07
023-01-01-G-DA\LM_EXBO\2.9FFO_Jet   1.05e-08   1233.6   2.06e-07
045-02-01-G\LM_EXBO\14.5DFO_Jet     5.79e-09    910.0   2.12e-07
045-02-01-G\LM_EOBX\14.5DFO_Jet     4.56e-10    893.3   2.12e-07
023-01-01-G-DB\ME_EXBX\7.7DFX_Jet   2.35e-08    840.5   2.36e-07
023-01-01-G-DB\ME_EXBX\7.7DFO_Jet   1.12e-10    840.5   2.36e-07
023-01-01-G-DA\ME_EXBX\7.7DFX_Jet   2.35e-08    840.5   2.60e-07
023-01-01-G-DA\ME_EXBX\7.7DFO_Jet   1.12e-10    840.5   2.60e-07
023-01-01-G-DB\ME_EXBX\14.5DFX_Jet  2.20e-09    827.3   2.62e-07
023-01-01-G-DB\ME_EXBX\14.5DFO_Jet  1.04e-11    827.3   2.62e-07
023-01-01-G-DA\ME_EXBX\14.5DFX_Jet  2.20e-09    827.3   2.64e-07
023-01-01-G-DA\ME_EXBX\14.5DFO_Jet  1.04e-11    827.3   2.64e-07
045-02-01-G\LM_EXBO\7.7DFO_Jet      6.19e-08    817.1   3.26e-07
045-02-01-G\LM_EOBX\7.7DFO_Jet      4.88e-09    799.8   3.31e-07
023-01-01-G-DB\ME_EXBO\7.7DFO_Jet   2.22e-08    704.4   3.53e-07
023-01-01-G-DA\ME_EXBO\7.7DFO_Jet   2.22e-08    704.4   3.75e-07
023-01-01-G-DB\ME_EXBO\14.5DFO_Jet  2.08e-09    693.8   3.78e-07
023-01-01-G-DA\ME_EXBO\14.5DFO_Jet  2.08e-09    693.8   3.80e-07
045-02-01-G\LM_EXBO\2.9FFO_Jet      6.39e-08    527.7   4.44e-07
045-02-01-G\LM_EOBX\2.9FFO_Jet      5.03e-09    508.1   4.49e-07
023-02-01-G-DB\ME_EXBX\14.5DFX_Jet  1.15e-09    438.0   4.50e-07
023-02-01-G-DB\ME_EXBX\14.5DFO_Jet  3.29e-12    438.0   4.50e-07
023-02-01-G-DA\ME_EXBX\14.5DFX_Jet  1.15e-09    438.0   4.51e-07
023-02-01-G-DA\ME_EXBX\14.5DFO_Jet  3.29e-12    438.0   4.51e-07
023-02-01-G-DB\ME_EXBX\7.7DFX_Jet   1.23e-08    404.4   4.63e-07
023-02-01-G-DB\ME_EXBX\7.7DFO_Jet   3.52e-11    404.4   4.63e-07
