S05S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
013-01-N1-G\LM_EXBX\7.7DFO_Jet      1.05e-10   1913.3   8.66e-07
013-01-N2-G\LM_EXBO\7.7DFO_Jet      1.86e-08   1889.8   8.84e-07
013-01-N2-G\LM_EXBX\2.9FFX_Jet      9.70e-09   1842.6   8.94e-07
013-01-N2-G\LM_EXBX\2.9FFO_Jet      9.65e-11   1842.6   8.94e-07
013-01-C2-G\LM_EXBO\2.9FFO_Jet      2.16e-08   1837.0   9.16e-07
013-01-N1-G\LM_EXBO\7.7DFO_Jet      2.08e-08   1788.5   9.36e-07
013-01-N1-G\LM_EXBX\2.9FFX_Jet      1.09e-08   1744.8   9.47e-07
013-01-N1-G\LM_EXBX\2.9FFO_Jet      1.08e-10   1744.8   9.47e-07
020-01-01-G\ME_EXBO\2.9FFO_Jet      3.33e-08   1743.8   9.81e-07
013-01-N2-G\LM_EXBO\2.9FFO_Jet      1.92e-08   1717.0   1.00e-06
020-05-01-G\ME_EXBX\14.5DFX_Jet     6.04e-10   1678.2   1.00e-06
020-05-01-G\ME_EXBX\14.5DFO_Jet     2.87e-12   1678.2   1.00e-06
013-01-N1-G\LM_EXBO\2.9FFO_Jet      2.15e-08   1632.1   1.02e-06
013-01-C1-G\LM_EXBX\14.5DFX_Jet     8.96e-10   1629.4   1.02e-06
013-01-C1-G\LM_EXBX\14.5DFO_Jet     8.91e-12   1629.4   1.02e-06
020-01-01-G\ME_EOBO\14.5DFO_Jet     2.98e-07   1569.3   1.32e-06
020-05-01-G\ME_EXBX\7.7DFX_Jet      6.46e-09   1567.3   1.33e-06
020-05-01-G\ME_EXBX\7.7DFO_Jet      3.07e-11   1567.3   1.33e-06
013-01-C1-G\LM_EXBO\14.5DFO_Jet     1.77e-09   1555.7   1.33e-06
013-01-N1-G\SM_EXBX\14.5DFX_Jet     1.67e-08   1507.4   1.35e-06
013-01-N1-G\SM_EXBX\14.5DFO_Jet     7.50e-12   1507.4   1.35e-06
