S05S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
013-01-N2-G\SM_EOBO\14.5DFO_Jet     1.29e-07    162.1   9.42e-05
013-01-C1-G\SM_EXBO\14.5DFO_Jet     1.33e-09    161.7   9.42e-05
013-01-C2-G\SM_EOBO\14.5DFO_Jet     1.44e-07    158.7   9.43e-05
013-01-N1-G\SM_EOBX\7.7DFO_Jet      7.95e-09    151.9   9.44e-05
013-01-N1-G\SM_EOBO\7.7DFO_Jet      1.58e-06    151.9   9.59e-05
013-01-C1-G\SM_EOBX\14.5DFO_Jet     6.63e-10    138.3   9.59e-05
013-01-C1-G\SM_EOBO\14.5DFO_Jet     1.32e-07    138.3   9.61e-05
020-05-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   9.61e-05
020-05-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-05-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   9.61e-05
020-05-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-05-02-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   9.61e-05
020-05-02-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-05-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-05-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-05-02-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-05-01-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-02-03-Lo\SM_EXBN\14.5DFX_Jet    0.00e+00      0.0   9.61e-05
020-02-03-Lo\SM_EXBN\14.5DFO_Jet    0.00e+00      0.0   9.61e-05
020-02-03-Lo\SM_EXBN\7.7DFX_Jet     0.00e+00      0.0   9.61e-05
020-02-03-Lo\SM_EXBN\7.7DFO_Jet     0.00e+00      0.0   9.61e-05
020-02-03-Lo\SM_EXBN\2.9FFX_Jet     0.00e+00      0.0   9.61e-05
020-02-03-Lo\SM_EXBN\2.9FFO_Jet     0.00e+00      0.0   9.61e-05
020-02-03-Lo\SM_EOBN\14.5DFO_Jet    0.00e+00      0.0   9.61e-05
020-02-03-Lo\SM_EOBN\7.7DFO_Jet     0.00e+00      0.0   9.61e-05
020-02-03-Lo\SM_EOBN\2.9FFO_Jet     0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-02-02-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-02-01-Li\SM_EXBN\14.5DFX_Jet    0.00e+00      0.0   9.61e-05
020-02-01-Li\SM_EXBN\14.5DFO_Jet    0.00e+00      0.0   9.61e-05
020-02-01-Li\SM_EXBN\7.7DFX_Jet     0.00e+00      0.0   9.61e-05
020-02-01-Li\SM_EXBN\7.7DFO_Jet     0.00e+00      0.0   9.61e-05
020-02-01-Li\SM_EXBN\2.9FFX_Jet     0.00e+00      0.0   9.61e-05
020-02-01-Li\SM_EXBN\2.9FFO_Jet     0.00e+00      0.0   9.61e-05
020-02-01-Li\SM_EOBN\14.5DFO_Jet    0.00e+00      0.0   9.61e-05
020-02-01-Li\SM_EOBN\7.7DFO_Jet     0.00e+00      0.0   9.61e-05
020-02-01-Li\SM_EOBN\2.9FFO_Jet     0.00e+00      0.0   9.61e-05
020-01-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   9.61e-05
020-01-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-01-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   9.61e-05
020-01-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-01-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   9.61e-05
020-01-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-01-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.61e-05
020-01-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-01-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.61e-05
020-01-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-01-01-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-01-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-01-01-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-01-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
020-01-01-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
020-01-01-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C2-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.61e-05
013-01-C2-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C2-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.61e-05
013-01-C2-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C2-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C2-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C2-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C2-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C2-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C2-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C1-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.61e-05
013-01-C1-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C1-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.61e-05
013-01-C1-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C1-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C1-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C1-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C1-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C1-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-C1-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N2-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.61e-05
013-01-N2-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N2-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.61e-05
013-01-N2-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N2-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N2-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N2-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N2-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N2-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N2-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N1-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.61e-05
013-01-N1-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N1-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N1-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
013-01-N1-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.61e-05
