S05P05 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
020-01-01-G\ME_EOBX\2.9FFO_Jet      1.66e-08   1859.8   2.84e-07
013-01-C1-G\ME_EXBX\2.9FFX_Jet      1.60e-08   1846.5   3.00e-07
013-01-C1-G\ME_EXBX\2.9FFO_Jet      1.59e-10   1846.5   3.00e-07
013-01-C2-G\ME_EXBX\2.9FFX_Jet      1.72e-08   1840.4   3.17e-07
013-01-C2-G\ME_EXBX\2.9FFO_Jet      1.71e-10   1840.4   3.17e-07
013-01-N2-G\ME_EXBX\2.9FFX_Jet      1.57e-08   1836.4   3.33e-07
013-01-N2-G\ME_EXBX\2.9FFO_Jet      1.56e-10   1836.4   3.33e-07
013-01-N1-G\LM_EXBX\14.5DFX_Jet     9.83e-10   1816.5   3.34e-07
013-01-N1-G\LM_EXBX\14.5DFO_Jet     9.78e-12   1816.5   3.34e-07
013-01-N1-G\ME_EXBX\2.9FFX_Jet      1.77e-08   1813.1   3.52e-07
013-01-N1-G\ME_EXBX\2.9FFO_Jet      1.76e-10   1813.1   3.52e-07
020-01-01-G\ME_EXBO\14.5DFO_Jet     3.01e-09   1786.2   3.55e-07
013-01-N2-G\LM_EXBO\14.5DFO_Jet     1.74e-09   1782.1   3.56e-07
013-01-C2-G\LM_EXBX\7.7DFX_Jet      1.06e-08   1738.8   3.67e-07
013-01-C2-G\LM_EXBX\7.7DFO_Jet      1.05e-10   1738.8   3.67e-07
013-01-N1-G\LM_EXBO\14.5DFO_Jet     1.95e-09   1698.7   3.69e-07
013-01-C1-G\ME_EXBO\2.9FFO_Jet      3.16e-08   1647.8   4.01e-07
013-01-C2-G\ME_EXBO\2.9FFO_Jet      3.40e-08   1642.4   4.35e-07
013-01-N2-G\ME_EXBO\2.9FFO_Jet      3.11e-08   1639.0   4.66e-07
013-01-N2-G\LM_EXBX\7.7DFX_Jet      9.40e-09   1618.7   4.75e-07
013-01-N2-G\LM_EXBX\7.7DFO_Jet      9.36e-11   1618.7   4.75e-07
013-01-N1-G\ME_EXBO\2.9FFO_Jet      3.50e-08   1618.5   5.10e-07
013-01-C2-G\LM_EXBO\7.7DFO_Jet      2.09e-08   1607.2   5.31e-07
013-01-N1-G\LM_EXBX\7.7DFX_Jet      1.05e-08   1544.1   5.42e-07
013-01-N1-G\LM_EXBX\7.7DFO_Jet      1.05e-10   1544.1   5.42e-07
020-01-01-G\ME_EXBO\7.7DFO_Jet      3.23e-08   1521.2   5.74e-07
013-01-C2-G\LM_EXBX\2.9FFX_Jet      1.09e-08   1521.2   5.85e-07
013-01-C2-G\LM_EXBX\2.9FFO_Jet      1.09e-10   1521.2   5.85e-07
013-01-N2-G\LM_EXBO\7.7DFO_Jet      1.86e-08   1509.6   6.04e-07
013-01-N1-G\LM_EXBO\7.7DFO_Jet      2.08e-08   1445.4   6.25e-07
013-01-C1-G\LM_EXBX\14.5DFX_Jet     8.96e-10   1438.6   6.25e-07
013-01-C1-G\LM_EXBX\14.5DFO_Jet     8.91e-12   1438.6   6.25e-07
013-01-N2-G\LM_EXBX\2.9FFX_Jet      9.70e-09   1427.0   6.35e-07
013-01-N2-G\LM_EXBX\2.9FFO_Jet      9.65e-11   1427.0   6.35e-07
013-01-C2-G\LM_EXBO\2.9FFO_Jet      2.16e-08   1407.6   6.57e-07
013-01-C1-G\LM_EXBO\14.5DFO_Jet     1.77e-09   1374.4   6.59e-07
013-01-N1-G\LM_EXBX\2.9FFX_Jet      1.09e-08   1367.8   6.69e-07
013-01-N1-G\LM_EXBX\2.9FFO_Jet      1.08e-10   1367.8   6.70e-07
013-01-N2-G\LM_EXBO\2.9FFO_Jet      1.92e-08   1332.2   6.89e-07
020-01-01-G\ME_EXBO\2.9FFO_Jet      3.33e-08   1298.2   7.22e-07
013-01-N1-G\LM_EXBO\2.9FFO_Jet      2.15e-08   1281.5   7.44e-07
020-01-01-G\ME_EOBO\14.5DFO_Jet     2.98e-07   1265.0   1.04e-06
013-01-C1-G\LM_EXBX\7.7DFX_Jet      9.59e-09   1257.2   1.05e-06
013-01-C1-G\LM_EXBX\7.7DFO_Jet      9.54e-11   1257.2   1.05e-06
013-01-C1-G\LM_EXBO\7.7DFO_Jet      1.90e-08   1202.3   1.07e-06
013-01-C1-G\LM_EXBX\2.9FFX_Jet      9.89e-09   1137.5   1.08e-06
013-01-C1-G\LM_EXBX\2.9FFO_Jet      9.84e-11   1137.5   1.08e-06
013-01-C1-G\LM_EXBO\2.9FFO_Jet      1.96e-08   1088.2   1.10e-06
020-05-01-G\ME_EXBX\14.5DFX_Jet     6.04e-10   1084.5   1.10e-06
020-05-01-G\ME_EXBX\14.5DFO_Jet     2.87e-12   1084.5   1.10e-06
020-01-01-G\ME_EOBO\7.7DFO_Jet      3.19e-06   1084.4   4.29e-06
020-02-01-Li\ME_EXBN\14.5DFX_Jet    4.07e-09   1023.2   4.30e-06
020-02-01-Li\ME_EXBN\14.5DFO_Jet    9.72e-08   1023.2   4.39e-06
020-02-01-Li\ME_EXBN\7.7DFX_Jet     4.36e-08   1023.2   4.44e-06
020-02-01-Li\ME_EXBN\7.7DFO_Jet     1.04e-06   1023.2   5.48e-06
020-02-01-Li\ME_EXBN\2.9FFX_Jet     4.50e-08   1023.2   5.52e-06
020-02-01-Li\ME_EXBN\2.9FFO_Jet     1.07e-06   1023.2   6.60e-06
020-02-03-Lo\ME_EXBN\14.5DFX_Jet    1.39e-10    977.1   6.60e-06
020-02-03-Lo\ME_EXBN\14.5DFO_Jet    2.76e-10    977.1   6.60e-06
020-02-03-Lo\ME_EXBN\7.7DFX_Jet     1.48e-09    977.1   6.60e-06
020-02-03-Lo\ME_EXBN\7.7DFO_Jet     2.95e-09    977.1   6.60e-06
020-02-03-Lo\ME_EXBN\2.9FFX_Jet     1.53e-09    977.1   6.60e-06
020-02-03-Lo\ME_EXBN\2.9FFO_Jet     3.05e-09    977.1   6.61e-06
020-05-01-G\ME_EXBX\7.7DFX_Jet      6.46e-09    976.7   6.61e-06
020-05-01-G\ME_EXBX\7.7DFO_Jet      3.07e-11    976.7   6.61e-06
020-01-01-G\ME_EOBO\2.9FFO_Jet      3.29e-06    932.5   9.91e-06
020-01-01-G\LM_EXBX\14.5DFX_Jet     8.39e-10    899.7   9.91e-06
020-01-01-G\LM_EXBX\14.5DFO_Jet     8.34e-12    899.7   9.91e-06
020-02-03-Lo\LM_EXBN\14.5DFX_Jet    8.47e-11    888.4   9.91e-06
020-02-03-Lo\LM_EXBN\14.5DFO_Jet    1.68e-10    888.4   9.91e-06
020-02-03-Lo\LM_EXBN\7.7DFX_Jet     9.06e-10    888.4   9.91e-06
020-02-03-Lo\LM_EXBN\7.7DFO_Jet     1.80e-09    888.4   9.91e-06
020-02-03-Lo\LM_EXBN\2.9FFX_Jet     9.35e-10    888.4   9.91e-06
020-02-03-Lo\LM_EXBN\2.9FFO_Jet     1.86e-09    888.4   9.91e-06
020-01-01-G\LM_EXBX\7.7DFX_Jet      8.98e-09    856.5   9.92e-06
020-01-01-G\LM_EXBX\7.7DFO_Jet      8.93e-11    856.5   9.92e-06
020-02-03-Lo\ME_EOBN\14.5DFO_Jet    2.73e-08    850.1   9.95e-06
020-02-03-Lo\ME_EOBN\7.7DFO_Jet     2.92e-07    850.1   1.02e-05
020-02-03-Lo\ME_EOBN\2.9FFO_Jet     3.02e-07    850.1   1.05e-05
020-02-01-Li\LM_EXBN\14.5DFX_Jet    2.21e-09    837.2   1.05e-05
020-02-01-Li\LM_EXBN\14.5DFO_Jet    5.28e-08    837.2   1.06e-05
020-02-01-Li\LM_EXBN\7.7DFX_Jet     2.37e-08    837.2   1.06e-05
020-02-01-Li\LM_EXBN\7.7DFO_Jet     5.65e-07    837.2   1.12e-05
020-02-01-Li\LM_EXBN\2.9FFX_Jet     2.44e-08    837.2   1.12e-05
020-02-01-Li\LM_EXBN\2.9FFO_Jet     5.83e-07    837.2   1.18e-05
020-01-01-G\LM_EXBX\2.9FFX_Jet      9.26e-09    825.0   1.18e-05
020-01-01-G\LM_EXBX\2.9FFO_Jet      9.22e-11    825.0   1.18e-05
020-01-01-G\LM_EXBO\14.5DFO_Jet     1.66e-09    797.7   1.18e-05
020-02-03-Lo\LM_EOBN\14.5DFO_Jet    1.67e-08    774.6   1.18e-05
020-02-03-Lo\LM_EOBN\7.7DFO_Jet     1.79e-07    774.6   1.20e-05
020-02-03-Lo\LM_EOBN\2.9FFO_Jet     1.84e-07    774.6   1.22e-05
020-01-01-G\LM_EXBO\7.7DFO_Jet      1.78e-08    761.2   1.22e-05
020-05-02-L\ME_EXBN\14.5DFX_Jet     7.27e-10    758.8   1.22e-05
020-05-02-L\ME_EXBN\14.5DFO_Jet     1.45e-09    758.8   1.22e-05
020-05-02-L\ME_EXBN\7.7DFX_Jet      7.78e-09    758.8   1.22e-05
020-05-02-L\ME_EXBN\7.7DFO_Jet      1.55e-08    758.8   1.22e-05
020-05-02-L\ME_EXBN\2.9FFX_Jet      8.03e-09    758.8   1.22e-05
020-05-02-L\ME_EXBN\2.9FFO_Jet      1.60e-08    758.8   1.23e-05
020-05-02-L\ME_EOBN\14.5DFO_Jet     1.43e-07    748.9   1.24e-05
020-05-02-L\ME_EOBN\7.7DFO_Jet      1.53e-06    748.9   1.39e-05
020-05-02-L\ME_EOBN\2.9FFO_Jet      1.58e-06    748.9   1.55e-05
020-01-01-G\LM_EXBO\2.9FFO_Jet      1.83e-08    733.8   1.55e-05
020-05-01-G\ME_EXBO\14.5DFO_Jet     5.70e-10    695.4   1.55e-05
020-05-01-G\ME_EXBX\2.9FFX_Jet      6.67e-09    684.5   1.55e-05
020-05-01-G\ME_EXBX\2.9FFO_Jet      3.17e-11    684.5   1.55e-05
020-01-02-L\LM_EXBN\14.5DFX_Jet     2.14e-10    682.3   1.55e-05
020-01-02-L\LM_EXBN\14.5DFO_Jet     4.25e-10    682.3   1.55e-05
020-01-02-L\LM_EXBN\7.7DFX_Jet      2.29e-09    682.3   1.55e-05
020-01-02-L\LM_EXBN\7.7DFO_Jet      4.55e-09    682.3   1.55e-05
020-01-02-L\LM_EXBN\2.9FFX_Jet      2.36e-09    682.3   1.55e-05
020-01-02-L\LM_EXBN\2.9FFO_Jet      4.70e-09    682.3   1.56e-05
020-05-02-L\LM_EXBN\14.5DFX_Jet     3.61e-10    680.8   1.56e-05
020-05-02-L\LM_EXBN\14.5DFO_Jet     7.19e-10    680.8   1.56e-05
020-05-02-L\LM_EXBN\7.7DFX_Jet      3.87e-09    680.8   1.56e-05
020-05-02-L\LM_EXBN\7.7DFO_Jet      7.69e-09    680.8   1.56e-05
020-05-02-L\LM_EXBN\2.9FFX_Jet      3.99e-09    680.8   1.56e-05
020-05-02-L\LM_EXBN\2.9FFO_Jet      7.94e-09    680.8   1.56e-05
020-05-02-L\LM_EOBN\14.5DFO_Jet     7.12e-08    669.9   1.56e-05
020-05-02-L\LM_EOBN\7.7DFO_Jet      7.62e-07    669.9   1.64e-05
020-05-02-L\LM_EOBN\2.9FFO_Jet      7.86e-07    669.9   1.72e-05
020-02-02-G\LM_EXBX\14.5DFX_Jet     1.13e-09    660.9   1.72e-05
020-02-02-G\LM_EXBX\14.5DFO_Jet     1.08e-12    660.9   1.72e-05
020-01-01-G\LM_EOBX\14.5DFO_Jet     8.26e-10    658.2   1.72e-05
020-05-01-G\ME_EXBO\7.7DFO_Jet      6.11e-09    632.7   1.72e-05
020-01-01-G\LM_EOBX\7.7DFO_Jet      8.84e-09    628.4   1.72e-05
020-05-01-G\ME_EOBX\14.5DFO_Jet     5.45e-11    625.3   1.72e-05
020-01-01-G\LM_EOBX\2.9FFO_Jet      9.12e-09    606.9   1.72e-05
020-02-02-G\LM_EOBX\14.5DFO_Jet     1.06e-10    593.4   1.72e-05
020-01-01-G\LM_EOBO\14.5DFO_Jet     1.64e-07    589.1   1.74e-05
020-02-02-G\LM_EXBX\7.7DFX_Jet      1.21e-08    573.2   1.74e-05
020-02-02-G\LM_EXBX\7.7DFO_Jet      1.15e-11    573.2   1.74e-05
020-05-01-G\ME_EOBX\7.7DFO_Jet      5.83e-10    569.7   1.74e-05
020-01-01-G\LM_EOBO\7.7DFO_Jet      1.76e-06    564.2   1.92e-05
020-01-02-L\LM_EOBN\14.5DFO_Jet     4.21e-08    554.0   1.92e-05
020-01-02-L\LM_EOBN\7.7DFO_Jet      4.51e-07    554.0   1.97e-05
020-01-02-L\LM_EOBN\2.9FFO_Jet      4.65e-07    554.0   2.01e-05
020-01-01-G\LM_EOBO\2.9FFO_Jet      1.82e-06    545.5   2.19e-05
020-02-02-G\LM_EOBX\7.7DFO_Jet      1.14e-09    516.9   2.19e-05
020-05-01-G\ME_EXBO\2.9FFO_Jet      6.30e-09    462.7   2.19e-05
020-02-01-Li\ME_EOBN\14.5DFO_Jet    7.13e-07    452.5   2.27e-05
020-02-01-Li\ME_EOBN\7.7DFO_Jet     7.63e-06    452.5   3.03e-05
020-02-01-Li\ME_EOBN\2.9FFO_Jet     7.87e-06    452.5   3.82e-05
020-05-01-G\ME_EOBO\14.5DFO_Jet     1.08e-08    428.2   3.82e-05
020-05-01-G\ME_EOBX\2.9FFO_Jet      6.02e-10    418.9   3.82e-05
013-01-N1-G\ME_EOBX\14.5DFO_Jet     1.57e-09    416.8   3.82e-05
020-05-01-G\MA_EXBX\14.5DFX_Jet     1.59e-10    407.7   3.82e-05
020-05-01-G\MA_EXBX\14.5DFO_Jet     7.93e-12    407.7   3.82e-05
020-05-01-G\ME_EOBO\7.7DFO_Jet      1.16e-07    395.9   3.83e-05
013-01-N2-G\ME_EOBX\14.5DFO_Jet     1.40e-09    395.0   3.83e-05
013-01-C2-G\ME_EOBX\14.5DFO_Jet     1.53e-09    394.2   3.83e-05
020-05-01-G\MA_EXBO\14.5DFO_Jet     1.58e-09    390.2   3.83e-05
020-05-01-G\MA_EXBX\7.7DFX_Jet      1.71e-09    387.3   3.83e-05
020-05-01-G\MA_EXBX\7.7DFO_Jet      8.49e-11    387.3   3.83e-05
020-02-01-Li\LM_EOBN\14.5DFO_Jet    3.87e-07    386.7   3.87e-05
020-02-01-Li\LM_EOBN\7.7DFO_Jet     4.14e-06    386.7   4.28e-05
020-02-01-Li\LM_EOBN\2.9FFO_Jet     4.28e-06    386.7   4.71e-05
013-01-C1-G\ME_EOBX\14.5DFO_Jet     1.42e-09    386.4   4.71e-05
013-01-N1-G\ME_EOBO\14.5DFO_Jet     3.13e-07    385.9   4.74e-05
020-05-01-G\MA_EXBO\7.7DFO_Jet      1.69e-08    371.1   4.74e-05
013-01-N1-G\ME_EOBX\7.7DFO_Jet      1.69e-08    370.2   4.74e-05
020-05-01-G\MA_EXBX\2.9FFX_Jet      1.76e-09    369.1   4.74e-05
020-05-01-G\MA_EXBX\2.9FFO_Jet      8.76e-11    369.1   4.74e-05
013-01-N2-G\ME_EOBO\14.5DFO_Jet     2.78e-07    366.6   4.77e-05
013-01-C2-G\ME_EOBO\14.5DFO_Jet     3.05e-07    365.9   4.80e-05
013-01-C1-G\ME_EOBO\14.5DFO_Jet     2.83e-07    359.0   4.83e-05
020-05-01-G\MA_EXBO\2.9FFO_Jet      1.74e-08    354.1   4.83e-05
013-01-N2-G\ME_EOBX\7.7DFO_Jet      1.50e-08    352.9   4.83e-05
013-01-C2-G\ME_EOBX\7.7DFO_Jet      1.64e-08    352.4   4.84e-05
013-01-C1-G\ME_EOBX\7.7DFO_Jet      1.52e-08    346.4   4.84e-05
013-01-N1-G\ME_EOBO\7.7DFO_Jet      3.36e-06    344.7   5.17e-05
013-01-C2-G\LM_EOBX\14.5DFO_Jet     9.73e-10    340.7   5.17e-05
013-01-N1-G\LM_EOBX\14.5DFO_Jet     9.68e-10    332.7   5.17e-05
013-01-N1-G\ME_EOBX\2.9FFO_Jet      1.74e-08    332.3   5.18e-05
013-01-N2-G\ME_EOBO\7.7DFO_Jet      2.98e-06    329.4   5.47e-05
013-01-C2-G\ME_EOBO\7.7DFO_Jet      3.26e-06    329.0   5.80e-05
013-01-N2-G\LM_EOBX\14.5DFO_Jet     8.65e-10    325.9   5.80e-05
013-01-C2-G\LM_EOBO\14.5DFO_Jet     1.94e-07    325.1   5.82e-05
013-01-C1-G\ME_EOBO\7.7DFO_Jet      3.03e-06    323.8   6.12e-05
013-01-N1-G\LM_EOBO\14.5DFO_Jet     1.93e-07    319.9   6.14e-05
013-01-N2-G\ME_EOBX\2.9FFO_Jet      1.55e-08    317.6   6.14e-05
013-01-C2-G\ME_EOBX\2.9FFO_Jet      1.69e-08    317.2   6.14e-05
013-01-N2-G\LM_EOBO\14.5DFO_Jet     1.72e-07    313.0   6.16e-05
013-01-C1-G\ME_EOBX\2.9FFO_Jet      1.57e-08    312.4   6.16e-05
013-01-N1-G\ME_EOBO\2.9FFO_Jet      3.46e-06    311.2   6.51e-05
020-05-01-G\ME_EOBO\2.9FFO_Jet      1.20e-07    308.2   6.52e-05
013-01-C2-G\LM_EOBX\7.7DFO_Jet      1.04e-08    306.3   6.52e-05
013-01-N1-G\LM_EOBX\7.7DFO_Jet      1.04e-08    300.2   6.52e-05
013-01-N2-G\ME_EOBO\2.9FFO_Jet      3.07e-06    298.3   6.83e-05
013-01-C2-G\ME_EOBO\2.9FFO_Jet      3.37e-06    298.0   7.17e-05
020-02-02-G\LM_EXBO\14.5DFO_Jet     2.14e-10    297.6   7.17e-05
020-05-01-G\LA_EXBX\14.5DFX_Jet     2.26e-10    294.5   7.17e-05
020-05-01-G\LA_EXBX\14.5DFO_Jet     1.13e-11    294.5   7.17e-05
013-01-N2-G\LM_EOBX\7.7DFO_Jet      9.26e-09    293.9   7.17e-05
013-01-C1-G\ME_EOBO\2.9FFO_Jet      3.13e-06    293.7   7.48e-05
013-01-C2-G\LM_EOBO\7.7DFO_Jet      2.07e-06    293.6   7.69e-05
013-01-N1-G\LM_EOBO\7.7DFO_Jet      2.06e-06    289.7   7.90e-05
020-05-01-G\LA_EXBO\14.5DFO_Jet     2.24e-09    288.7   7.90e-05
020-05-01-G\LA_EXBX\7.7DFX_Jet      2.42e-09    287.9   7.90e-05
020-05-01-G\LA_EXBX\7.7DFO_Jet      1.20e-10    287.9   7.90e-05
013-01-N2-G\LM_EOBO\7.7DFO_Jet      1.84e-06    283.4   8.08e-05
013-01-C2-G\LM_EOBX\2.9FFO_Jet      1.07e-08    282.6   8.08e-05
020-05-01-G\LA_EXBO\7.7DFO_Jet      2.40e-08    282.4   8.08e-05
020-05-01-G\LA_EXBX\2.9FFX_Jet      2.50e-09    282.0   8.08e-05
020-05-01-G\LA_EXBX\2.9FFO_Jet      1.24e-10    282.0   8.08e-05
013-01-N1-G\LM_EOBX\2.9FFO_Jet      1.07e-08    279.2   8.09e-05
020-02-02-G\LM_EOBO\14.5DFO_Jet     2.12e-08    278.5   8.09e-05
020-05-01-G\LA_EXBO\2.9FFO_Jet      2.47e-08    277.0   8.09e-05
020-05-01-G\MA_EOBX\14.5DFO_Jet     1.51e-10    276.1   8.09e-05
013-01-N2-G\LM_EOBX\2.9FFO_Jet      9.56e-09    273.0   8.09e-05
020-02-02-G\LM_EXBO\7.7DFO_Jet      2.29e-09    272.7   8.09e-05
013-01-C2-G\LM_EOBO\2.9FFO_Jet      2.14e-06    271.9   8.30e-05
013-01-N1-G\LM_EOBO\2.9FFO_Jet      2.13e-06    270.3   8.52e-05
013-01-C1-G\LM_EOBX\14.5DFO_Jet     8.82e-10    269.5   8.52e-05
020-05-01-G\MA_EOBO\14.5DFO_Jet     3.00e-08    267.6   8.52e-05
020-05-01-G\MA_EOBX\7.7DFO_Jet      1.61e-09    265.7   8.52e-05
013-01-N2-G\LM_EOBO\2.9FFO_Jet      1.90e-06    264.1   8.71e-05
013-01-C1-G\LM_EOBO\14.5DFO_Jet     1.76e-07    263.7   8.73e-05
020-05-01-G\MA_EOBO\7.7DFO_Jet      3.21e-07    257.9   8.76e-05
020-02-02-G\LM_EOBO\7.7DFO_Jet      2.27e-07    256.8   8.78e-05
020-05-01-G\MA_EOBX\2.9FFO_Jet      1.66e-09    256.2   8.78e-05
013-01-C1-G\LM_EOBX\7.7DFO_Jet      9.44e-09    250.4   8.78e-05
020-05-01-G\MA_EOBO\2.9FFO_Jet      3.31e-07    249.1   8.82e-05
013-01-C1-G\LM_EOBO\7.7DFO_Jet      1.88e-06    245.5   9.01e-05
013-01-C1-G\LM_EOBX\2.9FFO_Jet      9.74e-09    237.8   9.01e-05
013-01-C1-G\LM_EOBO\2.9FFO_Jet      1.94e-06    233.6   9.20e-05
020-05-01-G\LA_EOBX\14.5DFO_Jet     2.14e-10    217.6   9.20e-05
020-05-01-G\LA_EOBO\14.5DFO_Jet     4.25e-08    215.2   9.20e-05
020-05-01-G\LA_EOBX\7.7DFO_Jet      2.29e-09    214.3   9.20e-05
020-05-01-G\LA_EOBO\7.7DFO_Jet      4.55e-07    211.9   9.25e-05
020-05-01-G\LA_EOBX\2.9FFO_Jet      2.36e-09    211.4   9.25e-05
020-05-01-G\LA_EOBO\2.9FFO_Jet      4.70e-07    209.1   9.30e-05
020-02-02-G\LM_EXBX\2.9FFX_Jet      1.25e-08    203.9   9.30e-05
020-02-02-G\LM_EXBX\2.9FFO_Jet      1.19e-11    203.9   9.30e-05
020-02-02-G\LM_EOBX\2.9FFO_Jet      1.18e-09    195.2   9.30e-05
020-02-02-G\LM_EXBO\2.9FFO_Jet      2.36e-09    168.1   9.30e-05
020-02-02-G\LM_EOBO\2.9FFO_Jet      2.34e-07    165.7   9.32e-05
020-05-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   9.32e-05
020-05-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   9.32e-05
020-05-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   9.32e-05
020-05-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   9.32e-05
020-05-02-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   9.32e-05
020-05-02-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   9.32e-05
020-05-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   9.32e-05
020-05-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   9.32e-05
020-05-02-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.32e-05
020-05-01-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.32e-05
020-02-03-Lo\SM_EXBN\14.5DFX_Jet    0.00e+00      0.0   9.32e-05
020-02-03-Lo\SM_EXBN\14.5DFO_Jet    0.00e+00      0.0   9.32e-05
020-02-03-Lo\SM_EXBN\7.7DFX_Jet     0.00e+00      0.0   9.32e-05
020-02-03-Lo\SM_EXBN\7.7DFO_Jet     0.00e+00      0.0   9.32e-05
020-02-03-Lo\SM_EXBN\2.9FFX_Jet     0.00e+00      0.0   9.32e-05
020-02-03-Lo\SM_EXBN\2.9FFO_Jet     0.00e+00      0.0   9.32e-05
