S05P05 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
020-01-01-G\ME_EXBX\14.5DFX_Jet     1.52e-09   3600.0   1.52e-09
020-01-01-G\ME_EXBX\14.5DFO_Jet     1.51e-11   3600.0   1.54e-09
020-01-01-G\ME_EXBX\7.7DFX_Jet      1.63e-08   3152.8   1.78e-08
020-01-01-G\ME_EXBX\7.7DFO_Jet      1.62e-10   3152.8   1.80e-08
020-01-01-G\ME_EXBX\2.9FFX_Jet      1.68e-08   2663.6   3.48e-08
020-01-01-G\ME_EXBX\2.9FFO_Jet      1.67e-10   2663.6   3.50e-08
020-01-01-G\ME_EOBX\14.5DFO_Jet     1.50e-09   2590.3   3.65e-08
013-01-C2-G\ME_EXBX\14.5DFX_Jet     1.56e-09   2550.8   3.80e-08
013-01-C2-G\ME_EXBX\14.5DFO_Jet     1.55e-11   2550.8   3.80e-08
013-01-C1-G\ME_EXBX\14.5DFX_Jet     1.45e-09   2550.0   3.95e-08
013-01-C1-G\ME_EXBX\14.5DFO_Jet     1.44e-11   2550.0   3.95e-08
013-01-N2-G\ME_EXBX\14.5DFX_Jet     1.42e-09   2548.2   4.09e-08
013-01-N2-G\ME_EXBX\14.5DFO_Jet     1.41e-11   2548.2   4.09e-08
013-01-N1-G\ME_EXBX\14.5DFX_Jet     1.60e-09   2522.8   4.25e-08
013-01-N1-G\ME_EXBX\14.5DFO_Jet     1.59e-11   2522.8   4.25e-08
013-01-C2-G\ME_EXBO\14.5DFO_Jet     3.08e-09   2269.3   4.56e-08
013-01-C1-G\ME_EXBO\14.5DFO_Jet     2.86e-09   2268.6   4.85e-08
013-01-N2-G\ME_EXBO\14.5DFO_Jet     2.81e-09   2267.1   5.13e-08
013-01-N1-G\ME_EXBO\14.5DFO_Jet     3.17e-09   2245.0   5.45e-08
020-01-01-G\ME_EOBX\7.7DFO_Jet      1.60e-08   2193.4   7.05e-08
013-01-C1-G\ME_EXBX\7.7DFX_Jet      1.55e-08   2169.7   8.60e-08
013-01-C1-G\ME_EXBX\7.7DFO_Jet      1.54e-10   2169.7   8.61e-08
013-01-C2-G\ME_EXBX\7.7DFX_Jet      1.66e-08   2164.3   1.03e-07
013-01-C2-G\ME_EXBX\7.7DFO_Jet      1.66e-10   2164.3   1.03e-07
013-01-N2-G\ME_EXBX\7.7DFX_Jet      1.52e-08   2160.1   1.18e-07
013-01-N2-G\ME_EXBX\7.7DFO_Jet      1.51e-10   2160.1   1.18e-07
013-01-N1-G\ME_EXBX\7.7DFX_Jet      1.71e-08   2131.6   1.35e-07
013-01-N1-G\ME_EXBX\7.7DFO_Jet      1.70e-10   2131.6   1.36e-07
013-01-C2-G\LM_EXBX\14.5DFX_Jet     9.87e-10   2056.3   1.37e-07
013-01-C2-G\LM_EXBX\14.5DFO_Jet     9.82e-12   2056.3   1.37e-07
013-01-C1-G\ME_EXBO\7.7DFO_Jet      3.06e-08   1933.5   1.67e-07
013-01-C2-G\ME_EXBO\7.7DFO_Jet      3.30e-08   1928.5   2.00e-07
013-01-N2-G\ME_EXBO\7.7DFO_Jet      3.01e-08   1924.7   2.30e-07
013-01-N2-G\LM_EXBX\14.5DFX_Jet     8.79e-10   1912.8   2.31e-07
013-01-N2-G\LM_EXBX\14.5DFO_Jet     8.74e-12   1912.8   2.31e-07
013-01-N1-G\ME_EXBO\7.7DFO_Jet      3.39e-08   1899.3   2.65e-07
013-01-C2-G\LM_EXBO\14.5DFO_Jet     1.96e-09   1898.4   2.67e-07
