P04P05 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
025-02-02-L\SM_EXBN\2.9FFX_Jet      2.07e-08   3600.0   2.07e-08
025-02-02-L\SM_EXBN\2.9FFO_Jet      3.94e-09   3600.0   2.47e-08
025-02-01-G\ME_EXBX\14.5DFX_Jet     3.19e-09   3600.0   2.79e-08
025-02-01-G\ME_EXBX\14.5DFO_Jet     9.53e-11   3600.0   2.80e-08
025-01-01-G\SM_EXBX\14.5DFX_Jet     1.31e-08   3600.0   4.11e-08
025-01-01-G\SM_EXBX\14.5DFO_Jet     1.18e-11   3600.0   4.11e-08
025-02-01-G\ME_EXBX\7.7DFX_Jet      3.42e-08   3573.9   7.53e-08
025-02-01-G\ME_EXBX\7.7DFO_Jet      1.02e-09   3573.9   7.63e-08
025-01-01-G\SM_EXBX\7.7DFX_Jet      1.40e-07   3541.6   2.17e-07
025-01-01-G\SM_EXBX\7.7DFO_Jet      1.26e-10   3541.6   2.17e-07
025-02-01-G\ME_EXBX\2.9FFX_Jet      3.53e-08   3075.2   2.52e-07
025-02-01-G\ME_EXBX\2.9FFO_Jet      1.05e-09   3075.2   2.53e-07
025-02-02-L\SM_EOBN\2.9FFO_Jet      3.90e-07   2813.2   6.43e-07
025-01-01-G\ME_EXBX\14.5DFX_Jet     1.66e-09   2799.6   6.45e-07
025-01-01-G\ME_EXBX\14.5DFO_Jet     3.29e-11   2799.6   6.45e-07
025-01-01-G\ME_EXBX\7.7DFX_Jet      1.77e-08   2485.4   6.63e-07
025-01-01-G\ME_EXBX\7.7DFO_Jet      3.53e-10   2485.4   6.63e-07
025-02-01-G\ME_EXBO\14.5DFO_Jet     1.90e-08   2398.6   6.82e-07
024-02-G-DC\ME_EXBX\14.5DFX_Jet     6.90e-10   2327.6   6.83e-07
024-02-G-DC\ME_EXBX\14.5DFO_Jet     1.37e-11   2327.6   6.83e-07
024-02-G-DC\ME_EXBO\14.5DFO_Jet     2.73e-09   2327.6   6.85e-07
024-02-G-DB\ME_EXBX\14.5DFX_Jet     6.90e-10   2327.6   6.86e-07
024-02-G-DB\ME_EXBX\14.5DFO_Jet     1.37e-11   2327.6   6.86e-07
024-02-G-DB\ME_EXBO\14.5DFO_Jet     2.73e-09   2327.6   6.89e-07
024-02-G-DA\ME_EXBX\14.5DFX_Jet     2.07e-09   2327.6   6.91e-07
024-02-G-DA\ME_EXBX\14.5DFO_Jet     4.12e-11   2327.6   6.91e-07
024-02-G-DA\ME_EXBO\14.5DFO_Jet     8.20e-09   2327.6   6.99e-07
025-01-01-G\ME_EXBX\2.9FFX_Jet      1.83e-08   2195.9   7.17e-07
025-01-01-G\ME_EXBX\2.9FFO_Jet      3.64e-10   2195.9   7.18e-07
025-02-01-G\ME_EOBX\14.5DFO_Jet     3.08e-09   2164.8   7.21e-07
025-02-01-G\ME_EXBO\7.7DFO_Jet      2.03e-07   2152.0   9.24e-07
024-02-G-DC\ME_EXBX\7.7DFX_Jet      7.38e-09   2067.7   9.31e-07
