P03S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
023-01-01-G-DB\LM_EXBX\14.5DFX_Jet  1.01e-09   1709.1   1.01e-09
023-01-01-G-DB\LM_EXBX\14.5DFO_Jet  4.79e-12   1709.1   1.01e-09
023-01-01-G-DA\LM_EXBX\14.5DFX_Jet  1.01e-09   1709.1   2.02e-09
023-01-01-G-DA\LM_EXBX\14.5DFO_Jet  4.79e-12   1709.1   2.03e-09
045-02-01-G\LM_EXBX\14.5DFX_Jet     5.10e-09   1708.8   7.13e-09
045-02-01-G\LM_EXBX\14.5DFO_Jet     2.91e-11   1708.8   7.16e-09
023-01-01-G-DB\LM_EXBO\14.5DFO_Jet  9.53e-10   1597.2   8.11e-09
023-01-01-G-DA\LM_EXBO\14.5DFO_Jet  9.53e-10   1597.2   9.06e-09
023-01-01-G-DB\LM_EXBX\7.7DFX_Jet   1.08e-08   1436.8   1.99e-08
023-01-01-G-DB\LM_EXBX\7.7DFO_Jet   5.13e-11   1436.8   1.99e-08
023-01-01-G-DA\LM_EXBX\7.7DFX_Jet   1.08e-08   1436.8   3.07e-08
023-01-01-G-DA\LM_EXBX\7.7DFO_Jet   5.13e-11   1436.8   3.08e-08
045-02-01-G\LM_EXBX\7.7DFX_Jet      5.46e-08   1411.1   8.54e-08
045-02-01-G\LM_EXBX\7.7DFO_Jet      3.11e-10   1411.1   8.57e-08
023-01-01-G-DB\LM_EXBO\7.7DFO_Jet   1.02e-08   1344.5   9.59e-08
023-01-01-G-DA\LM_EXBO\7.7DFO_Jet   1.02e-08   1344.5   1.06e-07
023-01-01-G-DB\LM_EXBX\2.9FFX_Jet   1.11e-08    770.6   1.17e-07
023-01-01-G-DB\LM_EXBX\2.9FFO_Jet   5.29e-11    770.6   1.17e-07
023-01-01-G-DA\LM_EXBX\2.9FFX_Jet   1.11e-08    770.6   1.28e-07
023-01-01-G-DA\LM_EXBX\2.9FFO_Jet   5.29e-11    770.6   1.28e-07
023-01-01-G-DB\LM_EXBO\2.9FFO_Jet   1.05e-08    726.1   1.39e-07
023-01-01-G-DA\LM_EXBO\2.9FFO_Jet   1.05e-08    726.1   1.50e-07
045-02-01-G\LM_EXBO\14.5DFO_Jet     5.79e-09    615.8   1.55e-07
