P03P04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
045-02-01-G\LM_EOBX\2.9FFO_Jet      5.03e-09   1663.3   5.76e-06
045-03-G\LM_EOBN\14.5DFO_Jet        3.80e-08   1404.5   5.79e-06
045-03-G\LM_EOBN\7.7DFO_Jet         4.07e-07   1404.5   6.20e-06
045-03-G\LM_EOBN\2.9FFO_Jet         4.20e-07   1404.5   6.62e-06
045-01-G\SM_EXBX\14.5DFX_Jet        9.95e-09   1215.5   6.63e-06
045-01-G\SM_EXBX\14.5DFO_Jet        8.96e-12   1215.5   6.63e-06
023-02-02-L\LM_EXBN\14.5DFX_Jet     8.85e-11    994.6   6.63e-06
023-02-02-L\LM_EXBN\14.5DFO_Jet     1.68e-11    994.6   6.63e-06
045-01-G\SM_EXBX\7.7DFX_Jet         1.07e-07    992.3   6.74e-06
045-01-G\SM_EXBX\7.7DFO_Jet         9.59e-11    992.3   6.74e-06
023-02-02-L\LM_EOBN\7.7DFO_Jet      1.78e-08    847.7   6.75e-06
023-02-02-L\LM_EOBN\2.9FFO_Jet      1.84e-08    847.7   6.77e-06
023-02-01-G-DB\ME_EXBX\14.5DFX_Jet  1.15e-09    781.1   6.77e-06
023-02-01-G-DB\ME_EXBX\14.5DFO_Jet  3.29e-12    781.1   6.77e-06
023-02-01-G-DA\ME_EXBX\14.5DFX_Jet  1.15e-09    781.1   6.78e-06
023-02-01-G-DA\ME_EXBX\14.5DFO_Jet  3.29e-12    781.1   6.78e-06
045-01-G\SM_EXBO\14.5DFO_Jet        1.78e-09    775.0   6.78e-06
023-02-01-G-DB\ME_EXBX\7.7DFX_Jet   1.23e-08    751.5   6.79e-06
023-02-01-G-DB\ME_EXBX\7.7DFO_Jet   3.52e-11    751.5   6.79e-06
023-02-01-G-DA\ME_EXBX\7.7DFX_Jet   1.23e-08    751.5   6.80e-06
023-02-01-G-DA\ME_EXBX\7.7DFO_Jet   3.52e-11    751.5   6.80e-06
045-02-01-G\LM_EOBO\14.5DFO_Jet     9.07e-08    735.1   6.89e-06
045-02-01-G\LM_EOBO\7.7DFO_Jet      9.70e-07    703.3   7.86e-06
023-02-01-G-DB\ME_EXBO\14.5DFO_Jet  6.54e-10    698.8   7.86e-06
023-02-01-G-DA\ME_EXBO\14.5DFO_Jet  6.54e-10    698.8   7.86e-06
023-02-01-G-DB\ME_EXBO\7.7DFO_Jet   7.00e-09    673.0   7.87e-06
023-02-01-G-DA\ME_EXBO\7.7DFO_Jet   7.00e-09    673.0   7.88e-06
023-02-01-G-DB\ME_EXBX\2.9FFX_Jet   1.27e-08    655.0   7.89e-06
023-02-01-G-DB\ME_EXBX\2.9FFO_Jet   3.63e-11    655.0   7.89e-06
023-02-01-G-DA\ME_EXBX\2.9FFX_Jet   1.27e-08    655.0   7.90e-06
023-02-01-G-DA\ME_EXBX\2.9FFO_Jet   3.63e-11    655.0   7.90e-06
045-01-G\SM_EXBO\7.7DFO_Jet         1.91e-08    644.2   7.92e-06
045-02-01-G\LM_EOBO\2.9FFO_Jet      1.00e-06    602.2   8.92e-06
023-02-01-G-DB\ME_EXBO\2.9FFO_Jet   7.23e-09    589.2   8.93e-06
023-02-01-G-DA\ME_EXBO\2.9FFO_Jet   7.23e-09    589.2   8.94e-06
023-02-01-G-DB\ME_EOBX\14.5DFO_Jet  1.06e-10    552.2   8.94e-06
023-02-01-G-DA\ME_EOBX\14.5DFO_Jet  1.06e-10    552.2   8.94e-06
023-02-01-G-DB\ME_EOBX\7.7DFO_Jet   1.14e-09    533.0   8.94e-06
023-02-01-G-DA\ME_EOBX\7.7DFO_Jet   1.14e-09    533.0   8.94e-06
045-01-G\ME_EXBX\14.5DFX_Jet        1.06e-09    505.2   8.94e-06
045-01-G\ME_EXBX\14.5DFO_Jet        2.11e-11    505.2   8.94e-06
023-02-01-G-DB\LM_EXBX\14.5DFX_Jet  6.42e-10    504.8   8.94e-06
023-02-01-G-DB\LM_EXBX\14.5DFO_Jet  1.92e-11    504.8   8.94e-06
023-02-01-G-DA\LM_EXBX\14.5DFX_Jet  6.42e-10    504.8   8.94e-06
023-02-01-G-DA\LM_EXBX\14.5DFO_Jet  1.92e-11    504.8   8.94e-06
023-01-01-G-DB\ME_EOBX\7.7DFO_Jet   2.12e-09    499.9   8.95e-06
023-01-01-G-DA\ME_EOBX\7.7DFO_Jet   2.12e-09    499.9   8.95e-06
023-02-01-G-DB\ME_EOBO\14.5DFO_Jet  2.12e-08    499.8   8.97e-06
023-02-01-G-DA\ME_EOBO\14.5DFO_Jet  2.12e-08    499.8   8.99e-06
023-01-01-G-DB\ME_EOBX\14.5DFO_Jet  1.98e-10    499.3   8.99e-06
023-01-01-G-DA\ME_EOBX\14.5DFO_Jet  1.98e-10    499.3   8.99e-06
045-01-G\ME_EXBO\14.5DFO_Jet        4.20e-09    495.8   9.00e-06
023-02-01-G-DB\LM_EXBX\7.7DFX_Jet   6.88e-09    488.4   9.00e-06
023-02-01-G-DB\LM_EXBX\7.7DFO_Jet   2.05e-10    488.4   9.00e-06
023-02-01-G-DA\LM_EXBX\7.7DFX_Jet   6.88e-09    488.4   9.01e-06
023-02-01-G-DA\LM_EXBX\7.7DFO_Jet   2.05e-10    488.4   9.01e-06
023-02-01-G-DB\ME_EOBO\7.7DFO_Jet   2.26e-07    483.2   9.24e-06
023-02-01-G-DA\ME_EOBO\7.7DFO_Jet   2.26e-07    483.2   9.46e-06
023-02-01-G-DB\LM_EXBO\14.5DFO_Jet  3.82e-09    481.4   9.47e-06
023-02-01-G-DA\LM_EXBO\14.5DFO_Jet  3.82e-09    481.4   9.47e-06
023-02-01-G-DB\ME_EOBX\2.9FFO_Jet   1.17e-09    470.5   9.47e-06
023-02-01-G-DA\ME_EOBX\2.9FFO_Jet   1.17e-09    470.5   9.47e-06
045-01-G\ME_EXBX\7.7DFX_Jet         1.14e-08    470.3   9.48e-06
045-01-G\ME_EXBX\7.7DFO_Jet         2.26e-10    470.3   9.48e-06
023-02-01-G-DB\LM_EXBO\7.7DFO_Jet   4.08e-08    466.1   9.52e-06
023-02-01-G-DA\LM_EXBO\7.7DFO_Jet   4.08e-08    466.1   9.57e-06
045-01-G\ME_EXBO\7.7DFO_Jet         4.50e-08    461.8   9.61e-06
045-01-G\SM_EXBX\2.9FFX_Jet         1.10e-07    458.9   9.72e-06
045-01-G\SM_EXBX\2.9FFO_Jet         9.89e-11    458.9   9.72e-06
023-02-01-G-DB\LM_EXBX\2.9FFX_Jet   7.09e-09    456.9   9.73e-06
023-02-01-G-DB\LM_EXBX\2.9FFO_Jet   2.12e-10    456.9   9.73e-06
023-02-01-G-DA\LM_EXBX\2.9FFX_Jet   7.09e-09    456.9   9.73e-06
023-02-01-G-DA\LM_EXBX\2.9FFO_Jet   2.12e-10    456.9   9.74e-06
023-02-01-G-DB\LM_EXBO\2.9FFO_Jet   4.21e-08    436.6   9.78e-06
023-02-01-G-DA\LM_EXBO\2.9FFO_Jet   4.21e-08    436.6   9.82e-06
045-01-G\ME_EXBX\2.9FFX_Jet         1.17e-08    434.9   9.83e-06
045-01-G\ME_EXBX\2.9FFO_Jet         2.33e-10    434.9   9.83e-06
023-01-01-G-DB\ME_EOBO\7.7DFO_Jet   4.23e-07    431.1   1.03e-05
023-01-01-G-DA\ME_EOBO\7.7DFO_Jet   4.23e-07    431.1   1.07e-05
023-01-01-G-DB\ME_EOBO\14.5DFO_Jet  3.95e-08    430.6   1.07e-05
023-01-01-G-DA\ME_EOBO\14.5DFO_Jet  3.95e-08    430.6   1.08e-05
023-02-01-G-DB\ME_EOBO\2.9FFO_Jet   2.34e-07    428.7   1.10e-05
023-02-01-G-DA\ME_EOBO\2.9FFO_Jet   2.34e-07    428.7   1.12e-05
045-01-G\ME_EXBO\2.9FFO_Jet         4.64e-08    427.4   1.13e-05
023-02-02-L\LM_EOBN\14.5DFO_Jet     1.66e-09    403.5   1.13e-05
023-01-01-G-DB\ME_EOBX\2.9FFO_Jet   2.19e-09    395.9   1.13e-05
023-01-01-G-DA\ME_EOBX\2.9FFO_Jet   2.19e-09    395.9   1.13e-05
023-02-01-G-DB\LM_EOBX\14.5DFO_Jet  6.20e-10    373.1   1.13e-05
023-02-01-G-DA\LM_EOBX\14.5DFO_Jet  6.20e-10    373.1   1.13e-05
023-02-01-G-DB\LM_EOBX\7.7DFO_Jet   6.64e-09    362.5   1.13e-05
023-02-01-G-DA\LM_EOBX\7.7DFO_Jet   6.64e-09    362.5   1.13e-05
023-02-01-G-DB\LM_EOBO\14.5DFO_Jet  1.23e-07    358.4   1.14e-05
023-02-01-G-DA\LM_EOBO\14.5DFO_Jet  1.23e-07    358.4   1.15e-05
023-02-01-G-DB\LM_EOBO\7.7DFO_Jet   1.32e-06    348.4   1.29e-05
023-02-01-G-DA\LM_EOBO\7.7DFO_Jet   1.32e-06    348.4   1.42e-05
023-01-01-G-DB\ME_EOBO\2.9FFO_Jet   4.36e-07    347.7   1.46e-05
023-01-01-G-DA\ME_EOBO\2.9FFO_Jet   4.36e-07    347.7   1.50e-05
023-02-01-G-DB\LM_EOBX\2.9FFO_Jet   6.85e-09    342.0   1.51e-05
023-02-01-G-DA\LM_EOBX\2.9FFO_Jet   6.85e-09    342.0   1.51e-05
045-01-G\SM_EXBO\2.9FFO_Jet         1.97e-08    331.8   1.51e-05
023-02-01-G-DB\LM_EOBO\2.9FFO_Jet   1.36e-06    329.3   1.64e-05
023-02-01-G-DA\LM_EOBO\2.9FFO_Jet   1.36e-06    329.3   1.78e-05
023-01-01-G-DB\LM_EOBX\14.5DFO_Jet  9.10e-11    305.3   1.78e-05
023-01-01-G-DA\LM_EOBX\14.5DFO_Jet  9.10e-11    305.3   1.78e-05
023-01-01-G-DB\LM_EOBX\7.7DFO_Jet   9.74e-10    300.5   1.78e-05
023-01-01-G-DA\LM_EOBX\7.7DFO_Jet   9.74e-10    300.5   1.78e-05
023-01-01-G-DB\LM_EOBO\14.5DFO_Jet  1.81e-08    294.3   1.78e-05
023-01-01-G-DA\LM_EOBO\14.5DFO_Jet  1.81e-08    294.3   1.78e-05
023-01-01-G-DB\LM_EOBO\7.7DFO_Jet   1.94e-07    289.8   1.80e-05
023-01-01-G-DA\LM_EOBO\7.7DFO_Jet   1.94e-07    289.8   1.82e-05
023-01-01-G-DB\LM_EOBX\2.9FFO_Jet   1.01e-09    284.4   1.82e-05
023-01-01-G-DA\LM_EOBX\2.9FFO_Jet   1.01e-09    284.4   1.82e-05
023-01-01-G-DB\LM_EOBO\2.9FFO_Jet   2.00e-07    274.9   1.84e-05
023-01-01-G-DA\LM_EOBO\2.9FFO_Jet   2.00e-07    274.9   1.86e-05
045-01-G\SM_EOBX\14.5DFO_Jet        4.39e-10    233.3   1.86e-05
045-01-G\MA_EXBX\14.5DFX_Jet        6.02e-10    222.8   1.86e-05
045-01-G\MA_EXBX\14.5DFO_Jet        1.20e-11    222.8   1.86e-05
045-01-G\MA_EXBO\14.5DFO_Jet        2.39e-09    222.4   1.86e-05
045-01-G\MA_EXBX\7.7DFX_Jet         6.45e-09    220.3   1.86e-05
045-01-G\MA_EXBX\7.7DFO_Jet         1.28e-10    220.3   1.86e-05
045-01-G\MA_EXBO\7.7DFO_Jet         2.55e-08    219.9   1.87e-05
045-01-G\MA_EXBX\2.9FFX_Jet         6.65e-09    218.1   1.87e-05
045-01-G\MA_EXBX\2.9FFO_Jet         1.32e-10    218.1   1.87e-05
045-01-G\MA_EXBO\2.9FFO_Jet         2.64e-08    217.7   1.87e-05
045-01-G\SM_EOBX\7.7DFO_Jet         4.70e-09    210.7   1.87e-05
045-01-G\SM_EOBO\14.5DFO_Jet        8.73e-08    199.6   1.88e-05
045-01-G\SM_EOBO\7.7DFO_Jet         9.35e-07    186.4   1.97e-05
045-01-G\ME_EOBX\14.5DFO_Jet        1.04e-09    161.6   1.97e-05
045-01-G\ME_EOBO\14.5DFO_Jet        2.06e-07    161.3   1.99e-05
045-01-G\ME_EOBX\7.7DFO_Jet         1.11e-08    158.0   2.00e-05
045-01-G\ME_EOBO\7.7DFO_Jet         2.21e-06    157.9   2.22e-05
045-01-G\SM_EOBX\2.9FFO_Jet         4.85e-09    156.9   2.22e-05
045-01-G\SM_EOBO\2.9FFO_Jet         9.65e-07    154.9   2.31e-05
045-01-G\ME_EOBX\2.9FFO_Jet         1.14e-08    154.5   2.31e-05
045-01-G\ME_EOBO\2.9FFO_Jet         2.28e-06    154.4   2.54e-05
045-01-G\MA_EOBX\14.5DFO_Jet        5.87e-10    133.1   2.54e-05
045-01-G\MA_EOBO\14.5DFO_Jet        1.17e-07    133.1   2.55e-05
045-01-G\MA_EOBX\7.7DFO_Jet         6.29e-09    132.8   2.55e-05
045-01-G\MA_EOBO\7.7DFO_Jet         1.25e-06    132.8   2.68e-05
045-01-G\MA_EOBX\2.9FFO_Jet         6.49e-09    132.6   2.68e-05
045-01-G\MA_EOBO\2.9FFO_Jet         1.29e-06    132.6   2.81e-05
045-02-02-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   2.81e-05
045-02-02-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   2.81e-05
045-02-02-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   2.81e-05
045-02-02-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   2.81e-05
045-02-02-L\LM_EXBN\2.9FFX_Jet      0.00e+00      0.0   2.81e-05
045-02-02-L\LM_EXBN\2.9FFO_Jet      0.00e+00      0.0   2.81e-05
045-02-02-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   2.81e-05
045-02-02-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   2.81e-05
045-02-02-L\LM_EOBN\2.9FFO_Jet      0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   2.81e-05
045-02-01-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   2.81e-05
043-03-G\LM_EXBN\14.5DFX_Jet        0.00e+00      0.0   2.81e-05
043-03-G\LM_EXBN\14.5DFO_Jet        0.00e+00      0.0   2.81e-05
043-03-G\LM_EXBN\7.7DFX_Jet         0.00e+00      0.0   2.81e-05
043-03-G\LM_EXBN\7.7DFO_Jet         0.00e+00      0.0   2.81e-05
043-03-G\LM_EXBN\2.9FFX_Jet         0.00e+00      0.0   2.81e-05
043-03-G\LM_EXBN\2.9FFO_Jet         0.00e+00      0.0   2.81e-05
