P05P04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
027-01-G-DB\ME_EXBO\2.9FFO_Jet      5.16e-08   1694.9   4.33e-07
027-01-G-DA\ME_EXBO\2.9FFO_Jet      3.44e-08   1694.9   4.68e-07
027-02-G\ME_EXBX\7.7DFX_Jet         2.11e-08   1648.3   4.89e-07
027-02-G\ME_EXBX\7.7DFO_Jet         8.39e-10   1648.3   4.90e-07
027-02-G\ME_EXBO\14.5DFO_Jet        1.56e-08   1581.7   5.05e-07
027-01-G-DC\ME_EOBX\14.5DFO_Jet     1.92e-09   1550.1   5.07e-07
027-01-G-DB\ME_EOBX\14.5DFO_Jet     1.15e-09   1550.1   5.08e-07
027-01-G-DA\ME_EOBX\14.5DFO_Jet     7.67e-10   1550.1   5.09e-07
027-02-G\ME_EXBX\2.9FFX_Jet         2.17e-08   1456.4   5.31e-07
027-02-G\ME_EXBX\2.9FFO_Jet         8.65e-10   1456.4   5.32e-07
027-02-G\ME_EXBO\7.7DFO_Jet         1.67e-07   1408.9   6.98e-07
027-01-G-DC\ME_EOBX\7.7DFO_Jet      2.05e-08   1408.2   7.19e-07
027-01-G-DB\ME_EOBX\7.7DFO_Jet      1.23e-08   1408.2   7.31e-07
027-01-G-DA\ME_EOBX\7.7DFO_Jet      8.21e-09   1408.2   7.39e-07
027-01-G-DC\LM_EXBX\14.5DFX_Jet     1.14e-09   1333.0   7.41e-07
027-01-G-DC\LM_EXBX\14.5DFO_Jet     2.26e-11   1333.0   7.41e-07
027-01-G-DB\LM_EXBX\14.5DFX_Jet     6.82e-10   1333.0   7.41e-07
027-01-G-DB\LM_EXBX\14.5DFO_Jet     1.36e-11   1333.0   7.41e-07
027-01-G-DA\LM_EXBX\14.5DFX_Jet     4.55e-10   1333.0   7.42e-07
027-01-G-DA\LM_EXBX\14.5DFO_Jet     9.05e-12   1333.0   7.42e-07
027-01-G-DC\LM_EXBX\7.7DFX_Jet      1.22e-08   1264.5   7.54e-07
027-01-G-DC\LM_EXBX\7.7DFO_Jet      2.42e-10   1264.5   7.54e-07
027-01-G-DB\LM_EXBX\7.7DFX_Jet      7.30e-09   1264.5   7.62e-07
027-01-G-DB\LM_EXBX\7.7DFO_Jet      1.45e-10   1264.5   7.62e-07
027-01-G-DA\LM_EXBX\7.7DFX_Jet      4.87e-09   1264.5   7.67e-07
027-01-G-DA\LM_EXBX\7.7DFO_Jet      9.69e-11   1264.5   7.67e-07
027-01-G-DC\ME_EOBX\2.9FFO_Jet      2.12e-08   1262.9   7.88e-07
027-01-G-DB\ME_EOBX\2.9FFO_Jet      1.27e-08   1262.9   8.01e-07
027-01-G-DA\ME_EOBX\2.9FFO_Jet      8.47e-09   1262.9   8.09e-07
027-02-G\ME_EXBO\2.9FFO_Jet         1.72e-07   1247.8   9.81e-07
027-01-G-DC\LM_EXBX\2.9FFX_Jet      1.26e-08   1204.9   9.94e-07
027-01-G-DC\LM_EXBX\2.9FFO_Jet      2.50e-10   1204.9   9.94e-07
027-01-G-DB\LM_EXBX\2.9FFX_Jet      7.53e-09   1204.9   1.00e-06
027-01-G-DB\LM_EXBX\2.9FFO_Jet      1.50e-10   1204.9   1.00e-06
027-01-G-DA\LM_EXBX\2.9FFX_Jet      5.02e-09   1204.9   1.01e-06
027-01-G-DA\LM_EXBX\2.9FFO_Jet      1.00e-10   1204.9   1.01e-06
027-01-G-DC\LM_EXBO\14.5DFO_Jet     4.50e-09   1158.6   1.01e-06
027-01-G-DB\LM_EXBO\14.5DFO_Jet     2.70e-09   1158.6   1.01e-06
027-01-G-DA\LM_EXBO\14.5DFO_Jet     1.80e-09   1158.6   1.02e-06
027-01-G-DC\LM_EXBO\7.7DFO_Jet      4.82e-08   1100.7   1.06e-06
027-01-G-DB\LM_EXBO\7.7DFO_Jet      2.89e-08   1100.7   1.09e-06
027-01-G-DA\LM_EXBO\7.7DFO_Jet      1.93e-08   1100.7   1.11e-06
027-01-G-DC\ME_EOBO\14.5DFO_Jet     3.82e-07   1065.5   1.49e-06
027-01-G-DB\ME_EOBO\14.5DFO_Jet     2.29e-07   1065.5   1.72e-06
027-01-G-DA\ME_EOBO\14.5DFO_Jet     1.53e-07   1065.5   1.88e-06
027-01-G-DC\LM_EXBO\2.9FFO_Jet      4.97e-08   1050.3   1.93e-06
027-01-G-DB\LM_EXBO\2.9FFO_Jet      2.98e-08   1050.3   1.95e-06
027-01-G-DA\LM_EXBO\2.9FFO_Jet      1.99e-08   1050.3   1.97e-06
027-01-G-DC\SM_EXBX\14.5DFX_Jet     1.93e-08    991.3   1.99e-06
027-01-G-DC\SM_EXBX\14.5DFO_Jet     1.73e-11    991.3   1.99e-06
027-01-G-DB\SM_EXBX\14.5DFX_Jet     1.16e-08    991.3   2.01e-06
027-01-G-DB\SM_EXBX\14.5DFO_Jet     1.04e-11    991.3   2.01e-06
027-01-G-DA\SM_EXBX\14.5DFX_Jet     7.70e-09    991.3   2.01e-06
027-01-G-DA\SM_EXBX\14.5DFO_Jet     6.93e-12    991.3   2.01e-06
027-01-G-DC\ME_EOBO\7.7DFO_Jet      4.09e-06    972.9   6.10e-06
027-01-G-DB\ME_EOBO\7.7DFO_Jet      2.45e-06    972.9   8.55e-06
027-01-G-DA\ME_EOBO\7.7DFO_Jet      1.63e-06    972.9   1.02e-05
027-02-G\SM_EXBX\7.7DFX_Jet         2.13e-07    943.8   1.04e-05
027-02-G\SM_EXBX\7.7DFO_Jet         3.83e-10    943.8   1.04e-05
027-03-G\ME_EXBX\14.5DFX_Jet        2.57e-10    892.2   1.04e-05
027-03-G\ME_EXBX\14.5DFO_Jet        1.02e-11    892.2   1.04e-05
027-01-G-DC\ME_EOBO\2.9FFO_Jet      4.22e-06    878.2   1.46e-05
027-01-G-DB\ME_EOBO\2.9FFO_Jet      2.53e-06    878.2   1.71e-05
027-01-G-DA\ME_EOBO\2.9FFO_Jet      1.69e-06    878.2   1.88e-05
027-03-G\SM_EXBX\14.5DFX_Jet        2.90e-09    861.4   1.88e-05
027-03-G\SM_EXBX\14.5DFO_Jet        5.22e-12    861.4   1.88e-05
027-03-G\ME_EXBX\7.7DFX_Jet         2.75e-09    802.0   1.88e-05
027-03-G\ME_EXBX\7.7DFO_Jet         1.10e-10    802.0   1.88e-05
027-03-G\ME_EXBO\14.5DFO_Jet        2.04e-09    751.3   1.88e-05
027-03-G\ME_EXBX\2.9FFX_Jet         2.84e-09    717.1   1.88e-05
027-03-G\ME_EXBX\2.9FFO_Jet         1.13e-10    717.1   1.88e-05
027-01-G-DC\LM_EOBX\14.5DFO_Jet     1.11e-09    703.1   1.88e-05
027-01-G-DB\LM_EOBX\14.5DFO_Jet     6.65e-10    703.1   1.88e-05
027-01-G-DA\LM_EOBX\14.5DFO_Jet     4.43e-10    703.1   1.88e-05
027-03-G\ME_EXBO\7.7DFO_Jet         2.18e-08    678.3   1.89e-05
027-01-G-DC\LM_EOBX\7.7DFO_Jet      1.19e-08    670.4   1.89e-05
027-01-G-DB\LM_EOBX\7.7DFO_Jet      7.12e-09    670.4   1.89e-05
027-01-G-DA\LM_EOBX\7.7DFO_Jet      4.75e-09    670.4   1.89e-05
027-01-G-DC\LM_EOBX\2.9FFO_Jet      1.22e-08    642.3   1.89e-05
027-01-G-DB\LM_EOBX\2.9FFO_Jet      7.35e-09    642.3   1.89e-05
027-01-G-DA\LM_EOBX\2.9FFO_Jet      4.90e-09    642.3   1.89e-05
027-01-G-DC\LM_EOBO\14.5DFO_Jet     2.21e-07    622.5   1.91e-05
027-01-G-DB\LM_EOBO\14.5DFO_Jet     1.32e-07    622.5   1.93e-05
027-01-G-DA\LM_EOBO\14.5DFO_Jet     8.82e-08    622.5   1.94e-05
027-03-G\ME_EXBO\2.9FFO_Jet         2.25e-08    609.5   1.94e-05
027-01-G-DC\LM_EOBO\7.7DFO_Jet      2.36e-06    594.6   2.17e-05
027-01-G-DB\LM_EOBO\7.7DFO_Jet      1.42e-06    594.6   2.32e-05
027-01-G-DA\LM_EOBO\7.7DFO_Jet      9.45e-07    594.6   2.41e-05
027-03-G\ME_EOBX\14.5DFO_Jet        2.46e-10    580.5   2.41e-05
027-01-G-DC\LM_EOBO\2.9FFO_Jet      2.44e-06    570.7   2.65e-05
027-01-G-DB\LM_EOBO\2.9FFO_Jet      1.46e-06    570.7   2.80e-05
027-01-G-DA\LM_EOBO\2.9FFO_Jet      9.75e-07    570.7   2.90e-05
027-03-G\SM_EOBX\14.5DFO_Jet        1.25e-10    562.4   2.90e-05
027-02-G\LM_EXBX\14.5DFX_Jet        1.03e-09    544.7   2.90e-05
027-02-G\LM_EXBX\14.5DFO_Jet        4.08e-11    544.7   2.90e-05
027-01-G-DC\SM_EOBX\14.5DFO_Jet     8.49e-10    541.2   2.90e-05
027-01-G-DB\SM_EOBX\14.5DFO_Jet     5.10e-10    541.2   2.90e-05
027-01-G-DA\SM_EOBX\14.5DFO_Jet     3.40e-10    541.2   2.90e-05
027-02-G\LM_EXBO\14.5DFO_Jet        8.13e-09    531.2   2.90e-05
027-02-G\LM_EXBX\7.7DFX_Jet         1.10e-08    531.1   2.90e-05
027-02-G\LM_EXBX\7.7DFO_Jet         4.37e-10    531.1   2.90e-05
027-03-G\ME_EOBX\7.7DFO_Jet         2.63e-09    527.5   2.90e-05
027-02-G\LM_EXBX\2.9FFX_Jet         1.13e-08    519.3   2.90e-05
027-02-G\LM_EXBX\2.9FFO_Jet         4.51e-10    519.3   2.90e-05
027-02-G\LM_EXBO\7.7DFO_Jet         8.70e-08    518.3   2.91e-05
027-02-G\LM_EXBO\2.9FFO_Jet         8.98e-08    506.7   2.92e-05
027-03-G\ME_EOBO\14.5DFO_Jet        4.89e-08    499.0   2.92e-05
027-03-G\ME_EOBX\2.9FFO_Jet         2.71e-09    477.6   2.92e-05
027-03-G\ME_EOBO\7.7DFO_Jet         5.24e-07    456.1   2.98e-05
027-02-G\SM_EXBO\14.5DFO_Jet        7.12e-09    446.9   2.98e-05
027-02-G\SM_EOBX\14.5DFO_Jet        8.59e-10    446.6   2.98e-05
027-02-G\ME_EOBX\14.5DFO_Jet        1.88e-09    439.3   2.98e-05
027-03-G\SM_EXBX\7.7DFX_Jet         3.11e-08    438.7   2.98e-05
027-03-G\SM_EXBX\7.7DFO_Jet         5.59e-11    438.7   2.98e-05
027-03-G\ME_EOBO\2.9FFO_Jet         5.40e-07    415.7   3.03e-05
027-02-G\ME_EOBX\7.7DFO_Jet         2.01e-08    403.0   3.04e-05
027-02-G\ME_EOBO\14.5DFO_Jet        3.74e-07    393.5   3.07e-05
027-02-G\ME_EOBX\2.9FFO_Jet         2.08e-08    369.2   3.08e-05
027-02-G\ME_EOBO\7.7DFO_Jet         4.01e-06    363.0   3.48e-05
027-02-G\ME_EOBO\2.9FFO_Jet         4.13e-06    334.6   3.89e-05
027-03-G\SM_EOBX\7.7DFO_Jet         1.34e-09    313.9   3.89e-05
027-03-G\LM_EXBX\14.5DFX_Jet        1.81e-10    313.8   3.89e-05
027-03-G\LM_EXBX\14.5DFO_Jet        7.18e-12    313.8   3.89e-05
027-03-G\LM_EXBX\7.7DFX_Jet         1.93e-09    308.0   3.89e-05
027-03-G\LM_EXBX\7.7DFO_Jet         7.69e-11    308.0   3.89e-05
027-03-G\LM_EXBO\14.5DFO_Jet        1.43e-09    307.1   3.89e-05
027-03-G\LM_EXBX\2.9FFX_Jet         1.99e-09    302.9   3.89e-05
027-03-G\LM_EXBX\2.9FFO_Jet         7.94e-11    302.9   3.89e-05
027-03-G\LM_EXBO\7.7DFO_Jet         1.53e-08    301.6   3.89e-05
027-03-G\LM_EXBO\2.9FFO_Jet         1.58e-08    296.7   3.89e-05
027-02-G\SM_EXBO\7.7DFO_Jet         7.62e-08    286.4   3.90e-05
027-02-G\SM_EOBX\7.7DFO_Jet         9.20e-09    278.7   3.90e-05
027-03-G\SM_EXBO\14.5DFO_Jet        1.04e-09    252.9   3.90e-05
027-03-G\LM_EOBX\14.5DFO_Jet        1.72e-10    240.5   3.90e-05
027-03-G\LM_EOBX\7.7DFO_Jet         1.85e-09    237.1   3.90e-05
027-03-G\LM_EOBO\14.5DFO_Jet        3.43e-08    237.0   3.91e-05
027-03-G\LM_EOBX\2.9FFO_Jet         1.90e-09    234.1   3.91e-05
027-03-G\LM_EOBO\7.7DFO_Jet         3.67e-07    233.6   3.94e-05
027-03-G\LM_EOBO\2.9FFO_Jet         3.79e-07    230.8   3.98e-05
027-01-G-DC\SM_EXBO\14.5DFO_Jet     3.45e-09    212.5   3.98e-05
027-01-G-DB\SM_EXBO\14.5DFO_Jet     2.07e-09    212.5   3.98e-05
027-01-G-DA\SM_EXBO\14.5DFO_Jet     1.38e-09    212.5   3.98e-05
027-03-G\SM_EOBO\14.5DFO_Jet        2.49e-08    210.8   3.98e-05
027-02-G\LM_EOBX\14.5DFO_Jet        9.80e-10    208.2   3.98e-05
027-02-G\LM_EOBO\14.5DFO_Jet        1.95e-07    206.3   4.00e-05
027-02-G\LM_EOBX\7.7DFO_Jet         1.05e-08    205.8   4.00e-05
027-02-G\LM_EOBO\7.7DFO_Jet         2.09e-06    204.0   4.21e-05
027-02-G\LM_EOBX\2.9FFO_Jet         1.08e-08    203.7   4.21e-05
027-02-G\SM_EOBO\14.5DFO_Jet        1.71e-07    202.5   4.23e-05
027-02-G\LM_EOBO\2.9FFO_Jet         2.15e-06    201.9   4.45e-05
027-03-G\SM_EXBO\7.7DFO_Jet         1.11e-08    193.3   4.45e-05
027-01-G-DC\SM_EOBO\14.5DFO_Jet     1.69e-07    182.1   4.46e-05
027-01-G-DB\SM_EOBO\14.5DFO_Jet     1.01e-07    182.1   4.47e-05
027-01-G-DA\SM_EOBO\14.5DFO_Jet     6.76e-08    182.1   4.48e-05
027-03-G\SM_EOBO\7.7DFO_Jet         2.67e-07    175.7   4.51e-05
027-02-G\SM_EOBO\7.7DFO_Jet         1.83e-06    174.2   4.69e-05
027-03-G\SM_EXBX\2.9FFX_Jet         0.00e+00      0.0   4.69e-05
027-03-G\SM_EXBX\2.9FFO_Jet         0.00e+00      0.0   4.69e-05
027-03-G\SM_EXBO\2.9FFO_Jet         0.00e+00      0.0   4.69e-05
027-03-G\SM_EOBX\2.9FFO_Jet         0.00e+00      0.0   4.69e-05
027-03-G\SM_EOBO\2.9FFO_Jet         0.00e+00      0.0   4.69e-05
027-02-G\SM_EXBX\2.9FFX_Jet         0.00e+00      0.0   4.69e-05
027-02-G\SM_EXBX\2.9FFO_Jet         0.00e+00      0.0   4.69e-05
027-02-G\SM_EXBO\2.9FFO_Jet         0.00e+00      0.0   4.69e-05
027-02-G\SM_EOBX\2.9FFO_Jet         0.00e+00      0.0   4.69e-05
027-02-G\SM_EOBO\2.9FFO_Jet         0.00e+00      0.0   4.69e-05
027-01-G-DC\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DC\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DC\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DC\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DC\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DC\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DC\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DC\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DC\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DC\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DB\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DB\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DB\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DB\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DB\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DB\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DB\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DB\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DB\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DB\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DA\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DA\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DA\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DA\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DA\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DA\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DA\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DA\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DA\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   4.69e-05
027-01-G-DA\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   4.69e-05
