P05P04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
027-01-G-DC\ME_EXBX\14.5DFX_Jet     1.97e-09   3120.7   1.97e-09
027-01-G-DC\ME_EXBX\14.5DFO_Jet     3.91e-11   3120.7   2.01e-09
027-01-G-DB\ME_EXBX\14.5DFX_Jet     1.18e-09   3120.7   3.19e-09
027-01-G-DB\ME_EXBX\14.5DFO_Jet     2.35e-11   3120.7   3.21e-09
027-01-G-DA\ME_EXBX\14.5DFX_Jet     7.87e-10   3120.7   4.00e-09
027-01-G-DA\ME_EXBX\14.5DFO_Jet     1.57e-11   3120.7   4.01e-09
027-01-G-DC\ME_EXBX\7.7DFX_Jet      2.11e-08   2821.3   2.51e-08
027-01-G-DC\ME_EXBX\7.7DFO_Jet      4.19e-10   2821.3   2.55e-08
027-01-G-DB\ME_EXBX\7.7DFX_Jet      1.26e-08   2821.3   3.81e-08
027-01-G-DB\ME_EXBX\7.7DFO_Jet      2.51e-10   2821.3   3.84e-08
027-01-G-DA\ME_EXBX\7.7DFX_Jet      8.42e-09   2821.3   4.68e-08
027-01-G-DA\ME_EXBX\7.7DFO_Jet      1.68e-10   2821.3   4.70e-08
027-01-G-DC\ME_EXBX\2.9FFX_Jet      2.17e-08   2514.6   6.87e-08
027-01-G-DC\ME_EXBX\2.9FFO_Jet      4.32e-10   2514.6   6.91e-08
027-01-G-DB\ME_EXBX\2.9FFX_Jet      1.30e-08   2514.6   8.21e-08
027-01-G-DB\ME_EXBX\2.9FFO_Jet      2.59e-10   2514.6   8.24e-08
027-01-G-DA\ME_EXBX\2.9FFX_Jet      8.69e-09   2514.6   9.11e-08
027-01-G-DA\ME_EXBX\2.9FFO_Jet      1.73e-10   2514.6   9.13e-08
027-01-G-DC\ME_EXBO\14.5DFO_Jet     7.79e-09   2090.2   9.91e-08
027-01-G-DB\ME_EXBO\14.5DFO_Jet     4.67e-09   2090.2   1.04e-07
027-01-G-DA\ME_EXBO\14.5DFO_Jet     3.12e-09   2090.2   1.07e-07
027-01-G-DC\ME_EXBO\7.7DFO_Jet      8.34e-08   1894.8   1.90e-07
027-01-G-DB\ME_EXBO\7.7DFO_Jet      5.00e-08   1894.8   2.40e-07
027-01-G-DA\ME_EXBO\7.7DFO_Jet      3.33e-08   1894.8   2.74e-07
027-02-G\SM_EXBX\14.5DFX_Jet        1.99e-08   1894.8   2.93e-07
027-02-G\SM_EXBX\14.5DFO_Jet        3.58e-11   1894.8   2.93e-07
027-02-G\ME_EXBX\14.5DFX_Jet        1.97e-09   1853.9   2.95e-07
027-02-G\ME_EXBX\14.5DFO_Jet        7.83e-11   1853.9   2.96e-07
027-01-G-DC\ME_EXBO\2.9FFO_Jet      8.60e-08   1694.9   3.82e-07
