S03P03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
024-01-01-G\ME_EXBX\14.5DFX_Jet     2.78e-09   3600.0   2.78e-09
024-01-01-G\ME_EXBX\14.5DFO_Jet     1.11e-10   3600.0   2.89e-09
023-03-01-G-DC\LM_EXBX\14.5DFX_Jet  2.29e-09   3134.5   5.18e-09
023-03-01-G-DC\LM_EXBX\14.5DFO_Jet  4.36e-12   3134.5   5.19e-09
023-03-01-G-DB\LM_EXBX\14.5DFX_Jet  2.29e-09   3134.5   7.48e-09
023-03-01-G-DB\LM_EXBX\14.5DFO_Jet  4.36e-12   3134.5   7.48e-09
023-03-01-G-DA\LM_EXBX\14.5DFX_Jet  6.88e-09   3134.5   1.44e-08
023-03-01-G-DA\LM_EXBX\14.5DFO_Jet  1.31e-11   3134.5   1.44e-08
024-01-01-G\ME_EXBX\7.7DFX_Jet      2.97e-08   3044.2   4.41e-08
024-01-01-G\ME_EXBX\7.7DFO_Jet      1.18e-09   3044.2   4.53e-08
023-03-01-G-DC\LM_EXBX\7.7DFX_Jet   2.45e-08   2743.1   6.98e-08
023-03-01-G-DC\LM_EXBX\7.7DFO_Jet   4.66e-11   2743.1   6.99e-08
023-03-01-G-DB\LM_EXBX\7.7DFX_Jet   2.45e-08   2743.1   9.44e-08
023-03-01-G-DB\LM_EXBX\7.7DFO_Jet   4.66e-11   2743.1   9.45e-08
023-03-01-G-DA\LM_EXBX\7.7DFX_Jet   7.36e-08   2743.1   1.68e-07
023-03-01-G-DA\LM_EXBX\7.7DFO_Jet   1.40e-10   2743.1   1.68e-07
024-01-01-G\ME_EXBO\14.5DFO_Jet     2.20e-08   2674.0   1.90e-07
024-01-01-G\ME_EXBX\2.9FFX_Jet      3.07e-08   2556.9   2.21e-07
024-01-01-G\ME_EXBX\2.9FFO_Jet      1.22e-09   2556.9   2.22e-07
024-01-01-G\ME_EXBO\7.7DFO_Jet      2.36e-07   2242.5   4.58e-07
023-03-01-G-DC\LM_EXBX\2.9FFX_Jet   2.53e-08   2086.6   4.83e-07
023-03-01-G-DC\LM_EXBX\2.9FFO_Jet   4.81e-11   2086.6   4.83e-07
