P02P03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
046-01-02-L\SM_EXBN\14.5DFX_Jet     3.21e-10   3600.0   3.21e-10
046-01-02-L\SM_EXBN\14.5DFO_Jet     2.89e-11   3600.0   3.50e-10
046-01-02-L\SM_EXBN\7.7DFX_Jet      3.44e-09   3600.0   3.79e-09
046-01-02-L\SM_EXBN\7.7DFO_Jet      3.09e-10   3600.0   4.10e-09
046-01-02-L\SM_EXBN\2.9FFX_Jet      3.55e-09   3600.0   7.64e-09
046-01-02-L\SM_EXBN\2.9FFO_Jet      3.19e-10   3600.0   7.96e-09
046-01-01-L\LM_EXBN\14.5DFX_Jet     5.93e-10   3600.0   8.55e-09
046-01-01-L\LM_EXBN\14.5DFO_Jet     1.13e-10   3600.0   8.67e-09
046-01-01-L\LM_EXBN\7.7DFX_Jet      6.35e-09   3600.0   1.50e-08
046-01-01-L\LM_EXBN\7.7DFO_Jet      1.21e-09   3600.0   1.62e-08
046-01-01-L\LM_EXBN\2.9FFX_Jet      6.55e-09   3600.0   2.28e-08
046-01-01-L\LM_EXBN\2.9FFO_Jet      1.24e-09   3600.0   2.40e-08
046-01-01-L\LM_EOBN\14.5DFO_Jet     1.12e-08   3600.0   3.52e-08
046-01-01-L\LM_EOBN\7.7DFO_Jet      1.19e-07   3600.0   1.55e-07
046-01-01-L\LM_EOBN\2.9FFO_Jet      1.23e-07   3600.0   2.78e-07
046-01-01-L\SM_EXBN\14.5DFX_Jet     6.44e-09   3600.0   2.84e-07
046-01-01-L\SM_EXBN\14.5DFO_Jet     5.80e-10   3600.0   2.85e-07
046-01-01-L\SM_EXBN\7.7DFX_Jet      6.89e-08   3600.0   3.54e-07
046-01-01-L\SM_EXBN\7.7DFO_Jet      6.20e-09   3600.0   3.60e-07
046-01-01-L\SM_EXBN\2.9FFX_Jet      7.11e-08   3600.0   4.31e-07
046-01-01-L\SM_EXBN\2.9FFO_Jet      6.40e-09   3600.0   4.38e-07
046-01-01-L\SM_EOBN\14.5DFO_Jet     5.74e-08   3600.0   4.95e-07
