S02S03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
021-01-01-L\LM_EXBN\2.9FFX_Jet      1.22e-10   3600.0   1.22e-10
021-01-01-L\LM_EXBN\2.9FFO_Jet      2.32e-11   3600.0   1.45e-10
021-01-01-L\LM_EOBN\2.9FFO_Jet      2.30e-09   3600.0   2.44e-09
062-01-01-L\LM_EXBN\14.5DFX_Jet     6.20e-10    874.0   3.06e-09
062-01-01-L\LM_EXBN\14.5DFO_Jet     1.18e-10    874.0   3.18e-09
062-01-01-L\LM_EXBN\7.7DFX_Jet      6.64e-09    874.0   9.82e-09
062-01-01-L\LM_EXBN\7.7DFO_Jet      1.26e-09    874.0   1.11e-08
062-01-01-L\LM_EXBN\2.9FFX_Jet      6.85e-09    874.0   1.79e-08
062-01-01-L\LM_EXBN\2.9FFO_Jet      1.30e-09    874.0   1.92e-08
062-01-01-L\LM_EOBN\14.5DFO_Jet     1.17e-08    468.5   3.09e-08
062-01-01-L\LM_EOBN\7.7DFO_Jet      1.25e-07    468.5   1.56e-07
062-01-01-L\LM_EOBN\2.9FFO_Jet      1.29e-07    468.5   2.85e-07
062-01-01-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   2.85e-07
062-01-01-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   2.85e-07
062-01-01-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   2.85e-07
062-01-01-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   2.85e-07
062-01-01-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   2.85e-07
062-01-01-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   2.85e-07
062-01-01-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   2.85e-07
062-01-01-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   2.85e-07
062-01-01-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   2.85e-07
021-01-01-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   2.85e-07
021-01-01-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   2.85e-07
021-01-01-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   2.85e-07
021-01-01-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   2.85e-07
021-01-01-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   2.85e-07
021-01-01-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   2.85e-07
021-01-01-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   2.85e-07
021-01-01-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   2.85e-07
021-01-01-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   2.85e-07
021-01-01-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   2.85e-07
021-01-01-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   2.85e-07
021-01-01-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   2.85e-07
021-01-01-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   2.85e-07
021-01-01-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   2.85e-07
021-01-01-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   2.85e-07
