P02S02 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
046-01-02-L\SM_EXBN\2.9FFX_Jet      3.55e-09   3600.0   3.55e-09
046-01-02-L\SM_EXBN\2.9FFO_Jet      3.19e-10   3600.0   3.87e-09
046-01-01-L\LM_EXBN\14.5DFX_Jet     5.93e-10   3600.0   4.46e-09
046-01-01-L\LM_EXBN\14.5DFO_Jet     1.13e-10   3600.0   4.57e-09
046-01-01-L\LM_EXBN\7.7DFX_Jet      6.35e-09   3600.0   1.09e-08
046-01-01-L\LM_EXBN\7.7DFO_Jet      1.21e-09   3600.0   1.21e-08
046-01-01-L\LM_EXBN\2.9FFX_Jet      6.55e-09   3600.0   1.87e-08
046-01-01-L\LM_EXBN\2.9FFO_Jet      1.24e-09   3600.0   1.99e-08
046-01-01-L\LM_EOBN\14.5DFO_Jet     1.12e-08   3600.0   3.11e-08
046-01-01-L\LM_EOBN\7.7DFO_Jet      1.19e-07   3600.0   1.51e-07
046-01-01-L\LM_EOBN\2.9FFO_Jet      1.23e-07   3600.0   2.74e-07
046-01-02-L\LM_EXBN\14.5DFX_Jet     2.27e-11   1987.9   2.74e-07
046-01-02-L\LM_EXBN\14.5DFO_Jet     4.30e-12   1987.9   2.74e-07
046-01-02-L\LM_EXBN\7.7DFX_Jet      2.42e-10   1987.9   2.74e-07
046-01-02-L\LM_EXBN\7.7DFO_Jet      4.61e-11   1987.9   2.74e-07
046-01-02-L\LM_EXBN\2.9FFX_Jet      2.50e-10   1987.9   2.74e-07
046-01-02-L\LM_EXBN\2.9FFO_Jet      4.75e-11   1987.9   2.74e-07
046-01-01-L\SM_EXBN\2.9FFX_Jet      7.11e-08   1117.4   3.46e-07
046-01-01-L\SM_EXBN\2.9FFO_Jet      6.40e-09   1117.4   3.52e-07
046-01-01-L\SM_EOBN\2.9FFO_Jet      6.34e-07   1085.6   9.86e-07
046-01-02-L\SM_EOBN\2.9FFO_Jet      3.16e-08    705.5   1.02e-06
046-01-03-L\LM_EXBN\7.7DFX_Jet      1.68e-09    357.6   1.02e-06
046-01-03-L\LM_EXBN\7.7DFO_Jet      3.20e-10    357.6   1.02e-06
046-01-03-L\LM_EXBN\2.9FFX_Jet      1.74e-09    357.6   1.02e-06
046-01-03-L\LM_EXBN\2.9FFO_Jet      3.30e-10    357.6   1.02e-06
046-01-03-L\LM_EOBN\7.7DFO_Jet      3.16e-08    223.3   1.05e-06
046-01-03-L\LM_EOBN\2.9FFO_Jet      3.26e-08    223.3   1.09e-06
046-01-02-L\LM_EOBN\14.5DFO_Jet     4.26e-10    213.4   1.09e-06
046-01-02-L\LM_EOBN\7.7DFO_Jet      4.56e-09    213.4   1.09e-06
046-01-02-L\LM_EOBN\2.9FFO_Jet      4.71e-09    213.4   1.10e-06
046-02-L\LM_EXBN\7.7DFX_Jet         7.48e-10    176.9   1.10e-06
046-02-L\LM_EXBN\7.7DFO_Jet         1.42e-10    176.9   1.10e-06
046-02-L\LM_EXBN\2.9FFX_Jet         7.72e-10    176.9   1.10e-06
046-02-L\LM_EXBN\2.9FFO_Jet         1.47e-10    176.9   1.10e-06
046-02-L\LM_EOBN\7.7DFO_Jet         1.41e-08    145.2   1.11e-06
046-02-L\LM_EOBN\2.9FFO_Jet         1.45e-08    145.2   1.13e-06
046-01-04-L\SM_EXBN\14.5DFX_Jet     7.85e-10    135.0   1.13e-06
046-01-04-L\SM_EXBN\14.5DFO_Jet     1.49e-10    135.0   1.13e-06
046-01-04-L\SM_EXBN\7.7DFX_Jet      8.40e-09    135.0   1.14e-06
046-01-04-L\SM_EXBN\7.7DFO_Jet      1.60e-09    135.0   1.14e-06
046-01-04-L\SM_EXBN\2.9FFX_Jet      8.67e-09    135.0   1.15e-06
046-01-04-L\SM_EXBN\2.9FFO_Jet      1.65e-09    135.0   1.15e-06
046-01-04-L\SM_EOBN\14.5DFO_Jet     1.48e-08    124.0   1.16e-06
046-01-04-L\SM_EOBN\7.7DFO_Jet      1.58e-07    124.0   1.32e-06
046-01-04-L\SM_EOBN\2.9FFO_Jet      1.63e-07    124.0   1.48e-06
046-01-03-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   1.48e-06
046-01-03-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   1.48e-06
046-01-03-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   1.48e-06
046-01-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   1.48e-06
046-01-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   1.48e-06
046-01-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   1.48e-06
046-01-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   1.48e-06
046-01-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   1.48e-06
046-01-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   1.48e-06
046-01-01-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   1.48e-06
046-01-01-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   1.48e-06
046-01-01-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   1.48e-06
