P02S03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
046-01-01-L\LM_EXBN\2.9FFX_Jet      6.55e-09   3600.0   6.55e-09
046-01-01-L\LM_EXBN\2.9FFO_Jet      1.24e-09   3600.0   7.80e-09
046-01-01-L\LM_EOBN\2.9FFO_Jet      1.23e-07   3600.0   1.31e-07
046-01-01-L\LM_EXBN\7.7DFX_Jet      6.35e-09   2862.7   1.37e-07
046-01-01-L\LM_EXBN\7.7DFO_Jet      1.21e-09   2862.7   1.39e-07
046-01-01-L\LM_EOBN\7.7DFO_Jet      1.19e-07   2778.1   2.58e-07
046-01-01-L\LM_EXBN\14.5DFX_Jet     5.93e-10   2443.3   2.59e-07
046-01-01-L\LM_EXBN\14.5DFO_Jet     1.13e-10   2443.3   2.59e-07
046-01-01-L\LM_EOBN\14.5DFO_Jet     1.12e-08   2371.1   2.70e-07
046-01-02-L\LM_EXBN\14.5DFX_Jet     2.27e-11   1987.9   2.70e-07
046-01-02-L\LM_EXBN\14.5DFO_Jet     4.30e-12   1987.9   2.70e-07
046-01-02-L\LM_EXBN\7.7DFX_Jet      2.42e-10   1987.9   2.70e-07
046-01-02-L\LM_EXBN\7.7DFO_Jet      4.61e-11   1987.9   2.70e-07
046-01-02-L\LM_EXBN\2.9FFX_Jet      2.50e-10   1987.9   2.70e-07
046-01-02-L\LM_EXBN\2.9FFO_Jet      4.75e-11   1987.9   2.71e-07
046-01-03-L\LM_EXBN\2.9FFX_Jet      1.74e-09    357.6   2.72e-07
046-01-03-L\LM_EXBN\2.9FFO_Jet      3.30e-10    357.6   2.73e-07
046-01-03-L\LM_EOBN\2.9FFO_Jet      3.26e-08    223.3   3.05e-07
046-01-02-L\LM_EOBN\14.5DFO_Jet     4.26e-10    213.4   3.06e-07
046-01-02-L\LM_EOBN\7.7DFO_Jet      4.56e-09    213.4   3.10e-07
046-01-02-L\LM_EOBN\2.9FFO_Jet      4.71e-09    213.4   3.15e-07
046-02-L\LM_EXBN\2.9FFX_Jet         7.72e-10    176.9   3.16e-07
046-02-L\LM_EXBN\2.9FFO_Jet         1.47e-10    176.9   3.16e-07
046-02-L\LM_EOBN\2.9FFO_Jet         1.45e-08    145.2   3.30e-07
046-01-04-L\SM_EXBN\14.5DFX_Jet     7.85e-10    135.0   3.31e-07
046-01-04-L\SM_EXBN\14.5DFO_Jet     1.49e-10    135.0   3.31e-07
046-01-04-L\SM_EXBN\7.7DFX_Jet      8.40e-09    135.0   3.40e-07
046-01-04-L\SM_EXBN\7.7DFO_Jet      1.60e-09    135.0   3.41e-07
046-01-04-L\SM_EXBN\2.9FFX_Jet      8.67e-09    135.0   3.50e-07
046-01-04-L\SM_EXBN\2.9FFO_Jet      1.65e-09    135.0   3.52e-07
046-01-04-L\SM_EOBN\14.5DFO_Jet     1.48e-08    124.0   3.66e-07
046-01-04-L\SM_EOBN\7.7DFO_Jet      1.58e-07    124.0   5.24e-07
046-01-04-L\SM_EOBN\2.9FFO_Jet      1.63e-07    124.0   6.88e-07
046-01-03-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   6.88e-07
046-01-03-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   6.88e-07
046-01-03-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   6.88e-07
046-01-03-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   6.88e-07
046-01-03-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   6.88e-07
046-01-03-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   6.88e-07
046-01-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   6.88e-07
046-01-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   6.88e-07
