P04S05 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
025-02-01-G\ME_EXBX\14.5DFX_Jet     3.19e-09   2173.4   3.19e-09
025-02-01-G\ME_EXBX\14.5DFO_Jet     9.53e-11   2173.4   3.29e-09
025-02-01-G\ME_EXBX\7.7DFX_Jet      3.42e-08   1745.7   3.75e-08
025-02-01-G\ME_EXBX\7.7DFO_Jet      1.02e-09   1745.7   3.85e-08
025-01-01-G\ME_EXBX\14.5DFX_Jet     1.66e-09   1724.2   4.01e-08
025-01-01-G\ME_EXBX\14.5DFO_Jet     3.29e-11   1724.2   4.02e-08
024-02-G-DC\ME_EXBX\14.5DFX_Jet     6.90e-10   1376.0   4.09e-08
024-02-G-DC\ME_EXBX\14.5DFO_Jet     1.37e-11   1376.0   4.09e-08
024-02-G-DC\ME_EXBO\14.5DFO_Jet     2.73e-09   1376.0   4.36e-08
024-02-G-DB\ME_EXBX\14.5DFX_Jet     6.90e-10   1376.0   4.43e-08
024-02-G-DB\ME_EXBX\14.5DFO_Jet     1.37e-11   1376.0   4.43e-08
024-02-G-DB\ME_EXBO\14.5DFO_Jet     2.73e-09   1376.0   4.71e-08
024-02-G-DA\ME_EXBX\14.5DFX_Jet     2.07e-09   1376.0   4.91e-08
024-02-G-DA\ME_EXBX\14.5DFO_Jet     4.12e-11   1376.0   4.92e-08
024-02-G-DA\ME_EXBO\14.5DFO_Jet     8.20e-09   1376.0   5.74e-08
025-01-01-G\ME_EXBX\7.7DFX_Jet      1.77e-08   1348.8   7.51e-08
025-01-01-G\ME_EXBX\7.7DFO_Jet      3.53e-10   1348.8   7.54e-08
025-02-01-G\ME_EXBO\14.5DFO_Jet     1.90e-08   1334.1   9.44e-08
025-02-01-G\ME_EXBX\2.9FFX_Jet      3.53e-08   1319.1   1.30e-07
025-02-01-G\ME_EXBX\2.9FFO_Jet      1.05e-09   1319.1   1.31e-07
025-02-01-G\ME_EOBX\14.5DFO_Jet     3.08e-09   1207.2   1.34e-07
024-03-01-G\ME_EXBX\14.5DFX_Jet     8.99e-10   1184.4   1.35e-07
024-03-01-G\ME_EXBX\14.5DFO_Jet     2.68e-11   1184.4   1.35e-07
025-01-01-G\ME_EXBO\14.5DFO_Jet     6.55e-09   1160.6   1.41e-07
024-02-G-DC\ME_EXBX\7.7DFX_Jet      7.38e-09   1130.2   1.49e-07
024-02-G-DC\ME_EXBX\7.7DFO_Jet      1.47e-10   1130.2   1.49e-07
024-02-G-DC\ME_EXBO\7.7DFO_Jet      2.92e-08   1130.2   1.78e-07
024-02-G-DB\ME_EXBX\7.7DFX_Jet      7.38e-09   1130.2   1.85e-07
024-02-G-DB\ME_EXBX\7.7DFO_Jet      1.47e-10   1130.2   1.86e-07
024-02-G-DB\ME_EXBO\7.7DFO_Jet      2.92e-08   1130.2   2.15e-07
024-02-G-DA\ME_EXBX\7.7DFX_Jet      2.22e-08   1130.2   2.37e-07
024-02-G-DA\ME_EXBX\7.7DFO_Jet      4.41e-10   1130.2   2.37e-07
024-02-G-DA\ME_EXBO\7.7DFO_Jet      8.77e-08   1130.2   3.25e-07
025-02-01-G\ME_EXBO\7.7DFO_Jet      2.03e-07   1084.3   5.28e-07
024-03-01-G\ME_EOBX\14.5DFO_Jet     8.68e-10   1054.7   5.29e-07
025-01-01-G\ME_EXBX\2.9FFX_Jet      1.83e-08   1045.6   5.47e-07
025-01-01-G\ME_EXBX\2.9FFO_Jet      3.64e-10   1045.6   5.48e-07
024-02-G-DC\ME_EOBX\14.5DFO_Jet     6.73e-10   1038.9   5.48e-07
024-02-G-DB\ME_EOBX\14.5DFO_Jet     6.73e-10   1038.9   5.49e-07
024-02-G-DA\ME_EOBX\14.5DFO_Jet     2.02e-09   1038.9   5.51e-07
025-02-01-G\ME_EOBX\7.7DFO_Jet      3.30e-08    982.5   5.84e-07
024-03-01-G\ME_EXBX\7.7DFX_Jet      9.63e-09    977.5   5.94e-07
024-03-01-G\ME_EXBX\7.7DFO_Jet      2.87e-10    977.5   5.94e-07
025-01-01-G\ME_EXBO\7.7DFO_Jet      7.02e-08    920.1   6.64e-07
024-02-G-DC\ME_EXBX\2.9FFX_Jet      7.62e-09    917.6   6.72e-07
024-02-G-DC\ME_EXBX\2.9FFO_Jet      1.52e-10    917.6   6.72e-07
024-02-G-DC\ME_EXBO\2.9FFO_Jet      3.02e-08    917.6   7.02e-07
024-02-G-DB\ME_EXBX\2.9FFX_Jet      7.62e-09    917.6   7.10e-07
024-02-G-DB\ME_EXBX\2.9FFO_Jet      1.52e-10    917.6   7.10e-07
024-02-G-DB\ME_EXBO\2.9FFO_Jet      3.02e-08    917.6   7.40e-07
024-02-G-DA\ME_EXBX\2.9FFX_Jet      2.29e-08    917.6   7.63e-07
024-02-G-DA\ME_EXBX\2.9FFO_Jet      4.55e-10    917.6   7.63e-07
024-02-G-DA\ME_EXBO\2.9FFO_Jet      9.05e-08    917.6   8.54e-07
024-03-01-G\ME_EOBX\7.7DFO_Jet      9.29e-09    873.2   8.63e-07
