S02P02 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
062-01-01-L\LM_EXBN\14.5DFX_Jet     6.20e-10    874.0   6.20e-10
062-01-01-L\LM_EXBN\14.5DFO_Jet     1.18e-10    874.0   7.38e-10
062-01-01-L\LM_EXBN\7.7DFX_Jet      6.64e-09    874.0   7.38e-09
062-01-01-L\LM_EXBN\7.7DFO_Jet      1.26e-09    874.0   8.64e-09
062-01-01-L\LM_EXBN\2.9FFX_Jet      6.85e-09    874.0   1.55e-08
062-01-01-L\LM_EXBN\2.9FFO_Jet      1.30e-09    874.0   1.68e-08
062-01-01-L\LM_EOBN\14.5DFO_Jet     1.17e-08    468.5   2.85e-08
062-01-01-L\LM_EOBN\7.7DFO_Jet      1.25e-07    468.5   1.53e-07
062-01-01-L\LM_EOBN\2.9FFO_Jet      1.29e-07    468.5   2.82e-07
062-01-01-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   2.82e-07
062-01-01-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   2.82e-07
062-01-01-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   2.82e-07
062-01-01-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   2.82e-07
062-01-01-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   2.82e-07
062-01-01-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   2.82e-07
062-01-01-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   2.82e-07
062-01-01-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   2.82e-07
062-01-01-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   2.82e-07
021-01-01-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   2.82e-07
021-01-01-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\LM_EXBN\2.9FFX_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\LM_EXBN\2.9FFO_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   2.82e-07
021-01-01-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\LM_EOBN\2.9FFO_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   2.82e-07
021-01-01-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   2.82e-07
021-01-01-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   2.82e-07
021-01-01-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   2.82e-07
021-01-01-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   2.82e-07
