P03P02 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
045-03-G\LM_EXBN\7.7DFX_Jet         4.86e-08   3600.0   4.86e-08
045-03-G\LM_EXBN\7.7DFO_Jet         3.06e-08   3600.0   7.92e-08
045-03-G\LM_EXBN\2.9FFX_Jet         5.02e-08   3600.0   1.29e-07
045-03-G\LM_EXBN\2.9FFO_Jet         3.16e-08   3600.0   1.61e-07
045-02-01-G\LM_EXBX\14.5DFX_Jet     5.10e-09   3600.0   1.66e-07
045-02-01-G\LM_EXBX\14.5DFO_Jet     2.91e-11   3600.0   1.66e-07
045-02-01-G\LM_EXBX\7.7DFX_Jet      5.46e-08   3600.0   2.21e-07
045-02-01-G\LM_EXBX\7.7DFO_Jet      3.11e-10   3600.0   2.21e-07
045-02-01-G\LM_EXBX\2.9FFX_Jet      5.63e-08   3600.0   2.77e-07
045-02-01-G\LM_EXBX\2.9FFO_Jet      3.21e-10   3600.0   2.78e-07
023-01-02-L\LM_EXBN\14.5DFX_Jet     2.22e-08   3600.0   3.00e-07
023-01-02-L\LM_EXBN\14.5DFO_Jet     1.99e-09   3600.0   3.02e-07
023-01-02-L\LM_EXBN\7.7DFX_Jet      2.37e-07   3600.0   5.39e-07
023-01-02-L\LM_EXBN\7.7DFO_Jet      2.14e-08   3600.0   5.60e-07
023-01-02-L\LM_EXBN\2.9FFX_Jet      2.45e-07   3600.0   8.05e-07
023-01-02-L\LM_EXBN\2.9FFO_Jet      2.20e-08   3600.0   8.27e-07
023-01-01-G-DB\ME_EXBX\14.5DFX_Jet  2.20e-09   3600.0   8.29e-07
023-01-01-G-DB\ME_EXBX\14.5DFO_Jet  1.04e-11   3600.0   8.29e-07
023-01-01-G-DB\ME_EXBX\7.7DFX_Jet   2.35e-08   3600.0   8.53e-07
023-01-01-G-DB\ME_EXBX\7.7DFO_Jet   1.12e-10   3600.0   8.53e-07
023-01-01-G-DB\ME_EXBX\2.9FFX_Jet   2.43e-08   3600.0   8.77e-07
023-01-01-G-DB\ME_EXBX\2.9FFO_Jet   1.15e-10   3600.0   8.78e-07
023-01-01-G-DB\ME_EXBO\14.5DFO_Jet  2.08e-09   3600.0   8.80e-07
023-01-01-G-DB\ME_EXBO\7.7DFO_Jet   2.22e-08   3600.0   9.02e-07
023-01-01-G-DB\ME_EXBO\2.9FFO_Jet   2.30e-08   3600.0   9.25e-07
023-01-01-G-DA\ME_EXBX\14.5DFX_Jet  2.20e-09   3600.0   9.27e-07
023-01-01-G-DA\ME_EXBX\14.5DFO_Jet  1.04e-11   3600.0   9.27e-07
023-01-01-G-DA\ME_EXBX\7.7DFX_Jet   2.35e-08   3600.0   9.51e-07
023-01-01-G-DA\ME_EXBX\7.7DFO_Jet   1.12e-10   3600.0   9.51e-07
023-01-01-G-DA\ME_EXBX\2.9FFX_Jet   2.43e-08   3600.0   9.75e-07
023-01-01-G-DA\ME_EXBX\2.9FFO_Jet   1.15e-10   3600.0   9.75e-07
023-01-01-G-DA\ME_EXBO\14.5DFO_Jet  2.08e-09   3600.0   9.77e-07
023-01-01-G-DA\ME_EXBO\7.7DFO_Jet   2.22e-08   3600.0   9.99e-07
023-01-01-G-DA\ME_EXBO\2.9FFO_Jet   2.30e-08   3600.0   1.02e-06
023-01-01-G-DB\LM_EXBX\14.5DFX_Jet  1.01e-09   3380.1   1.02e-06
023-01-01-G-DB\LM_EXBX\14.5DFO_Jet  4.79e-12   3380.1   1.02e-06
023-01-01-G-DA\LM_EXBX\14.5DFX_Jet  1.01e-09   3380.1   1.02e-06
023-01-01-G-DA\LM_EXBX\14.5DFO_Jet  4.79e-12   3380.1   1.02e-06
023-01-01-G-DB\LM_EXBX\7.7DFX_Jet   1.08e-08   3282.1   1.04e-06
023-01-01-G-DB\LM_EXBX\7.7DFO_Jet   5.13e-11   3282.1   1.04e-06
023-01-01-G-DA\LM_EXBX\7.7DFX_Jet   1.08e-08   3282.1   1.05e-06
023-01-01-G-DA\LM_EXBX\7.7DFO_Jet   5.13e-11   3282.1   1.05e-06
023-01-01-G-DB\LM_EXBO\14.5DFO_Jet  9.53e-10   3150.5   1.05e-06
023-01-01-G-DA\LM_EXBO\14.5DFO_Jet  9.53e-10   3150.5   1.05e-06
023-01-01-G-DB\LM_EXBO\7.7DFO_Jet   1.02e-08   3056.1   1.06e-06
023-01-01-G-DA\LM_EXBO\7.7DFO_Jet   1.02e-08   3056.1   1.07e-06
023-01-01-G-DB\LM_EXBX\2.9FFX_Jet   1.11e-08   2956.4   1.08e-06
023-01-01-G-DB\LM_EXBX\2.9FFO_Jet   5.29e-11   2956.4   1.08e-06
023-01-01-G-DA\LM_EXBX\2.9FFX_Jet   1.11e-08   2956.4   1.09e-06
023-01-01-G-DA\LM_EXBX\2.9FFO_Jet   5.29e-11   2956.4   1.09e-06
023-01-01-G-DB\LM_EXBO\2.9FFO_Jet   1.05e-08   2755.8   1.10e-06
023-01-01-G-DA\LM_EXBO\2.9FFO_Jet   1.05e-08   2755.8   1.11e-06
023-01-02-L\LM_EOBN\7.7DFO_Jet      2.11e-06   2605.9   3.23e-06
023-01-02-L\LM_EOBN\2.9FFO_Jet      2.18e-06   2605.9   5.41e-06
