S02P03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
062-01-01-L\LM_EXBN\2.9FFX_Jet      6.85e-09    874.0   6.85e-09
062-01-01-L\LM_EXBN\2.9FFO_Jet      1.30e-09    874.0   8.15e-09
062-01-01-L\LM_EOBN\2.9FFO_Jet      1.29e-07    468.5   1.37e-07
062-01-01-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   1.37e-07
062-01-01-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   1.37e-07
062-01-01-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   1.37e-07
062-01-01-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   1.37e-07
062-01-01-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   1.37e-07
062-01-01-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   1.37e-07
062-01-01-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   1.37e-07
062-01-01-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   1.37e-07
062-01-01-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   1.37e-07
062-01-01-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   1.37e-07
062-01-01-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   1.37e-07
062-01-01-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   1.37e-07
062-01-01-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   1.37e-07
062-01-01-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   1.37e-07
062-01-01-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\LM_EXBN\14.5DFX_Jet     0.00e+00      0.0   1.37e-07
021-01-01-L\LM_EXBN\14.5DFO_Jet     0.00e+00      0.0   1.37e-07
021-01-01-L\LM_EXBN\7.7DFX_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\LM_EXBN\7.7DFO_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\LM_EXBN\2.9FFX_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\LM_EXBN\2.9FFO_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   1.37e-07
021-01-01-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\LM_EOBN\2.9FFO_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   1.37e-07
021-01-01-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   1.37e-07
021-01-01-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   1.37e-07
021-01-01-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   1.37e-07
021-01-01-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   1.37e-07
