S05P04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
020-02-03-Lo\ME_EXBN\7.7DFO_Jet     2.95e-09    977.1   3.35e-06
020-02-03-Lo\ME_EXBN\2.9FFX_Jet     1.53e-09    977.1   3.35e-06
020-02-03-Lo\ME_EXBN\2.9FFO_Jet     3.05e-09    977.1   3.35e-06
020-01-01-G\ME_EXBO\2.9FFO_Jet      3.33e-08    952.3   3.38e-06
013-01-C1-G\LM_EXBX\2.9FFX_Jet      9.89e-09    918.8   3.39e-06
013-01-C1-G\LM_EXBX\2.9FFO_Jet      9.84e-11    918.8   3.39e-06
020-02-03-Lo\LM_EXBN\14.5DFX_Jet    8.47e-11    888.4   3.39e-06
020-02-03-Lo\LM_EXBN\14.5DFO_Jet    1.68e-10    888.4   3.39e-06
020-02-03-Lo\LM_EXBN\7.7DFX_Jet     9.06e-10    888.4   3.39e-06
020-02-03-Lo\LM_EXBN\7.7DFO_Jet     1.80e-09    888.4   3.40e-06
020-02-03-Lo\LM_EXBN\2.9FFX_Jet     9.35e-10    888.4   3.40e-06
020-02-03-Lo\LM_EXBN\2.9FFO_Jet     1.86e-09    888.4   3.40e-06
013-01-C1-G\LM_EXBO\2.9FFO_Jet      1.96e-08    880.5   3.42e-06
020-02-03-Lo\ME_EOBN\14.5DFO_Jet    2.73e-08    850.1   3.45e-06
020-02-03-Lo\ME_EOBN\7.7DFO_Jet     2.92e-07    850.1   3.74e-06
020-02-03-Lo\ME_EOBN\2.9FFO_Jet     3.02e-07    850.1   4.04e-06
020-01-01-G\LM_EXBX\14.5DFX_Jet     8.39e-10    849.6   4.04e-06
020-01-01-G\LM_EXBX\14.5DFO_Jet     8.34e-12    849.6   4.04e-06
020-01-01-G\ME_EOBO\7.7DFO_Jet      3.19e-06    843.5   7.23e-06
020-02-01-Li\LM_EXBN\14.5DFX_Jet    2.21e-09    837.2   7.24e-06
020-02-01-Li\LM_EXBN\14.5DFO_Jet    5.28e-08    837.2   7.29e-06
020-02-01-Li\LM_EXBN\7.7DFX_Jet     2.37e-08    837.2   7.31e-06
020-02-01-Li\LM_EXBN\7.7DFO_Jet     5.65e-07    837.2   7.88e-06
020-02-01-Li\LM_EXBN\2.9FFX_Jet     2.44e-08    837.2   7.90e-06
020-02-01-Li\LM_EXBN\2.9FFO_Jet     5.83e-07    837.2   8.49e-06
020-01-01-G\LM_EXBX\7.7DFX_Jet      8.98e-09    781.6   8.49e-06
020-01-01-G\LM_EXBX\7.7DFO_Jet      8.93e-11    781.6   8.49e-06
020-02-03-Lo\LM_EOBN\14.5DFO_Jet    1.67e-08    774.6   8.51e-06
020-02-03-Lo\LM_EOBN\7.7DFO_Jet     1.79e-07    774.6   8.69e-06
020-02-03-Lo\LM_EOBN\2.9FFO_Jet     1.84e-07    774.6   8.87e-06
020-05-02-L\ME_EXBN\14.5DFX_Jet     7.27e-10    758.8   8.87e-06
020-05-02-L\ME_EXBN\14.5DFO_Jet     1.45e-09    758.8   8.88e-06
020-05-02-L\ME_EXBN\7.7DFX_Jet      7.78e-09    758.8   8.88e-06
020-05-02-L\ME_EXBN\7.7DFO_Jet      1.55e-08    758.8   8.90e-06
020-05-02-L\ME_EXBN\2.9FFX_Jet      8.03e-09    758.8   8.91e-06
020-05-02-L\ME_EXBN\2.9FFO_Jet      1.60e-08    758.8   8.92e-06
020-01-01-G\LM_EXBO\14.5DFO_Jet     1.66e-09    755.3   8.92e-06
020-05-02-L\ME_EOBN\14.5DFO_Jet     1.43e-07    748.9   9.07e-06
020-05-02-L\ME_EOBN\7.7DFO_Jet      1.53e-06    748.9   1.06e-05
020-05-02-L\ME_EOBN\2.9FFO_Jet      1.58e-06    748.9   1.22e-05
020-01-01-G\LM_EXBX\2.9FFX_Jet      9.26e-09    736.6   1.22e-05
020-01-01-G\LM_EXBX\2.9FFO_Jet      9.22e-11    736.6   1.22e-05
020-01-01-G\ME_EOBO\2.9FFO_Jet      3.29e-06    696.7   1.55e-05
020-01-01-G\LM_EXBO\7.7DFO_Jet      1.78e-08    696.3   1.55e-05
020-01-02-L\LM_EXBN\14.5DFX_Jet     2.14e-10    682.3   1.55e-05
020-01-02-L\LM_EXBN\14.5DFO_Jet     4.25e-10    682.3   1.55e-05
020-01-02-L\LM_EXBN\7.7DFX_Jet      2.29e-09    682.3   1.55e-05
020-01-02-L\LM_EXBN\7.7DFO_Jet      4.55e-09    682.3   1.55e-05
020-01-02-L\LM_EXBN\2.9FFX_Jet      2.36e-09    682.3   1.55e-05
020-01-02-L\LM_EXBN\2.9FFO_Jet      4.70e-09    682.3   1.55e-05
020-05-02-L\LM_EXBN\14.5DFX_Jet     3.61e-10    680.8   1.55e-05
020-05-02-L\LM_EXBN\14.5DFO_Jet     7.19e-10    680.8   1.55e-05
020-05-02-L\LM_EXBN\7.7DFX_Jet      3.87e-09    680.8   1.55e-05
020-05-02-L\LM_EXBN\7.7DFO_Jet      7.69e-09    680.8   1.55e-05
020-05-02-L\LM_EXBN\2.9FFX_Jet      3.99e-09    680.8   1.55e-05
020-05-02-L\LM_EXBN\2.9FFO_Jet      7.94e-09    680.8   1.55e-05
020-05-02-L\LM_EOBN\14.5DFO_Jet     7.12e-08    669.9   1.56e-05
020-05-02-L\LM_EOBN\7.7DFO_Jet      7.62e-07    669.9   1.64e-05
020-05-02-L\LM_EOBN\2.9FFO_Jet      7.86e-07    669.9   1.72e-05
020-01-01-G\LM_EXBO\2.9FFO_Jet      1.83e-08    657.4   1.72e-05
020-01-01-G\LM_EOBX\14.5DFO_Jet     8.26e-10    623.6   1.72e-05
020-05-01-G\ME_EXBX\14.5DFX_Jet     6.04e-10    622.8   1.72e-05
020-05-01-G\ME_EXBX\14.5DFO_Jet     2.87e-12    622.8   1.72e-05
020-01-01-G\LM_EOBX\7.7DFO_Jet      8.84e-09    577.3   1.72e-05
020-01-01-G\LM_EOBO\14.5DFO_Jet     1.64e-07    560.0   1.74e-05
020-01-02-L\LM_EOBN\14.5DFO_Jet     4.21e-08    554.0   1.74e-05
020-01-02-L\LM_EOBN\7.7DFO_Jet      4.51e-07    554.0   1.78e-05
020-01-02-L\LM_EOBN\2.9FFO_Jet      4.65e-07    554.0   1.83e-05
020-01-01-G\LM_EOBX\2.9FFO_Jet      9.12e-09    546.5   1.83e-05
020-01-01-G\LM_EOBO\7.7DFO_Jet      1.76e-06    519.9   2.01e-05
020-05-01-G\ME_EXBX\7.7DFX_Jet      6.46e-09    519.0   2.01e-05
020-05-01-G\ME_EXBX\7.7DFO_Jet      3.07e-11    519.0   2.01e-05
020-01-01-G\LM_EOBO\2.9FFO_Jet      1.82e-06    493.3   2.19e-05
020-02-01-Li\ME_EOBN\14.5DFO_Jet    7.13e-07    452.5   2.26e-05
020-02-01-Li\ME_EOBN\7.7DFO_Jet     7.63e-06    452.5   3.02e-05
020-02-01-Li\ME_EOBN\2.9FFO_Jet     7.87e-06    452.5   3.81e-05
020-05-01-G\ME_EXBO\14.5DFO_Jet     5.70e-10    426.8   3.81e-05
020-05-01-G\ME_EOBX\14.5DFO_Jet     5.45e-11    387.1   3.81e-05
020-02-01-Li\LM_EOBN\14.5DFO_Jet    3.87e-07    386.7   3.85e-05
020-02-01-Li\LM_EOBN\7.7DFO_Jet     4.14e-06    386.7   4.27e-05
020-02-01-Li\LM_EOBN\2.9FFO_Jet     4.28e-06    386.7   4.69e-05
020-05-01-G\MA_EXBX\14.5DFX_Jet     1.59e-10    383.4   4.69e-05
020-05-01-G\MA_EXBX\14.5DFO_Jet     7.93e-12    383.4   4.69e-05
020-05-01-G\MA_EXBO\14.5DFO_Jet     1.58e-09    367.4   4.69e-05
020-05-01-G\ME_EXBO\7.7DFO_Jet      6.11e-09    366.4   4.69e-05
013-01-N1-G\ME_EOBX\14.5DFO_Jet     1.57e-09    354.4   4.69e-05
020-05-01-G\MA_EXBX\7.7DFX_Jet      1.71e-09    351.4   4.69e-05
020-05-01-G\MA_EXBX\7.7DFO_Jet      8.49e-11    351.4   4.69e-05
020-05-01-G\MA_EXBO\7.7DFO_Jet      1.69e-08    337.6   4.70e-05
013-01-N2-G\ME_EOBX\14.5DFO_Jet     1.40e-09    335.7   4.70e-05
013-01-C2-G\ME_EOBX\14.5DFO_Jet     1.53e-09    334.9   4.70e-05
020-05-01-G\ME_EOBX\7.7DFO_Jet      5.83e-10    333.6   4.70e-05
013-01-N1-G\ME_EOBO\14.5DFO_Jet     3.13e-07    330.8   4.73e-05
013-01-C1-G\ME_EOBX\14.5DFO_Jet     1.42e-09    328.6   4.73e-05
020-05-01-G\MA_EXBX\2.9FFX_Jet      1.76e-09    325.9   4.73e-05
020-05-01-G\MA_EXBX\2.9FFO_Jet      8.76e-11    325.9   4.73e-05
013-01-N2-G\ME_EOBO\14.5DFO_Jet     2.78e-07    314.3   4.76e-05
020-05-01-G\MA_EXBO\2.9FFO_Jet      1.74e-08    313.9   4.76e-05
013-01-C2-G\ME_EOBO\14.5DFO_Jet     3.05e-07    313.6   4.79e-05
013-01-N1-G\ME_EOBX\7.7DFO_Jet      1.69e-08    309.3   4.79e-05
013-01-C1-G\ME_EOBO\14.5DFO_Jet     2.83e-07    308.0   4.82e-05
013-01-C2-G\LM_EOBX\14.5DFO_Jet     9.73e-10    299.5   4.82e-05
013-01-N1-G\LM_EOBX\14.5DFO_Jet     9.68e-10    296.7   4.82e-05
013-01-N2-G\ME_EOBX\7.7DFO_Jet      1.50e-08    295.2   4.82e-05
013-01-C2-G\ME_EOBX\7.7DFO_Jet      1.64e-08    294.9   4.82e-05
013-01-N1-G\ME_EOBO\7.7DFO_Jet      3.36e-06    291.0   5.16e-05
013-01-C1-G\ME_EOBX\7.7DFO_Jet      1.52e-08    290.3   5.16e-05
020-05-01-G\ME_EOBO\14.5DFO_Jet     1.08e-08    289.7   5.16e-05
013-01-N2-G\LM_EOBX\14.5DFO_Jet     8.65e-10    289.5   5.16e-05
013-01-C2-G\LM_EOBO\14.5DFO_Jet     1.94e-07    287.4   5.18e-05
013-01-N1-G\LM_EOBO\14.5DFO_Jet     1.93e-07    286.5   5.20e-05
020-05-01-G\LA_EXBX\14.5DFX_Jet     2.26e-10    286.4   5.20e-05
020-05-01-G\LA_EXBX\14.5DFO_Jet     1.13e-11    286.4   5.20e-05
020-05-01-G\LA_EXBO\14.5DFO_Jet     2.24e-09    281.0   5.20e-05
013-01-N2-G\LM_EOBO\14.5DFO_Jet     1.72e-07    279.3   5.22e-05
013-01-N2-G\ME_EOBO\7.7DFO_Jet      2.98e-06    278.5   5.51e-05
013-01-C2-G\ME_EOBO\7.7DFO_Jet      3.26e-06    278.2   5.84e-05
020-05-01-G\LA_EXBX\7.7DFX_Jet      2.42e-09    274.9   5.84e-05
020-05-01-G\LA_EXBX\7.7DFO_Jet      1.20e-10    274.9   5.84e-05
013-01-C1-G\ME_EOBO\7.7DFO_Jet      3.03e-06    274.2   6.14e-05
013-01-N1-G\ME_EOBX\2.9FFO_Jet      1.74e-08    272.9   6.14e-05
020-05-01-G\LA_EXBO\7.7DFO_Jet      2.40e-08    270.1   6.15e-05
013-01-C2-G\LM_EOBX\7.7DFO_Jet      1.04e-08    266.1   6.15e-05
020-05-01-G\LA_EXBX\2.9FFX_Jet      2.50e-09    265.5   6.15e-05
020-05-01-G\LA_EXBX\2.9FFO_Jet      1.24e-10    265.5   6.15e-05
013-01-N1-G\LM_EOBX\7.7DFO_Jet      1.04e-08    264.3   6.15e-05
020-05-01-G\MA_EOBX\14.5DFO_Jet     1.51e-10    263.6   6.15e-05
013-01-N2-G\ME_EOBX\2.9FFO_Jet      1.55e-08    261.7   6.15e-05
013-01-C2-G\ME_EOBX\2.9FFO_Jet      1.69e-08    261.4   6.15e-05
020-05-01-G\LA_EXBO\2.9FFO_Jet      2.47e-08    261.1   6.16e-05
013-01-N1-G\ME_EOBO\2.9FFO_Jet      3.46e-06    258.8   6.50e-05
020-05-01-G\ME_EOBO\7.7DFO_Jet      1.16e-07    258.5   6.51e-05
013-01-C1-G\ME_EOBX\2.9FFO_Jet      1.57e-08    257.9   6.51e-05
013-01-N2-G\LM_EOBX\7.7DFO_Jet      9.26e-09    257.9   6.52e-05
013-01-C2-G\LM_EOBO\7.7DFO_Jet      2.07e-06    256.7   6.72e-05
013-01-N1-G\LM_EOBO\7.7DFO_Jet      2.06e-06    256.4   6.93e-05
020-05-01-G\MA_EOBO\14.5DFO_Jet     3.00e-08    256.0   6.93e-05
013-01-N2-G\LM_EOBO\7.7DFO_Jet      1.84e-06    250.1   7.12e-05
013-01-N2-G\ME_EOBO\2.9FFO_Jet      3.07e-06    248.9   7.42e-05
013-01-C2-G\ME_EOBO\2.9FFO_Jet      3.37e-06    248.7   7.76e-05
013-01-C1-G\LM_EOBX\14.5DFO_Jet     8.82e-10    247.2   7.76e-05
020-05-01-G\MA_EOBX\7.7DFO_Jet      1.61e-09    247.1   7.76e-05
013-01-C1-G\ME_EOBO\2.9FFO_Jet      3.13e-06    245.6   8.07e-05
013-01-N1-G\LM_EOBX\2.9FFO_Jet      1.07e-08    243.9   8.07e-05
013-01-C2-G\LM_EOBX\2.9FFO_Jet      1.07e-08    243.4   8.08e-05
013-01-C1-G\LM_EOBO\14.5DFO_Jet     1.76e-07    242.5   8.09e-05
020-05-01-G\MA_EOBO\7.7DFO_Jet      3.21e-07    240.6   8.13e-05
020-05-01-G\ME_EXBX\2.9FFX_Jet      6.67e-09    238.5   8.13e-05
020-05-01-G\ME_EXBX\2.9FFO_Jet      3.17e-11    238.5   8.13e-05
013-01-N2-G\LM_EOBX\2.9FFO_Jet      9.56e-09    237.8   8.13e-05
013-01-N1-G\LM_EOBO\2.9FFO_Jet      2.13e-06    237.4   8.34e-05
013-01-C2-G\LM_EOBO\2.9FFO_Jet      2.14e-06    235.9   8.55e-05
020-05-01-G\MA_EOBX\2.9FFO_Jet      1.66e-09    233.9   8.55e-05
013-01-N2-G\LM_EOBO\2.9FFO_Jet      1.90e-06    231.5   8.74e-05
020-05-01-G\MA_EOBO\2.9FFO_Jet      3.31e-07    228.4   8.78e-05
013-01-C1-G\LM_EOBX\7.7DFO_Jet      9.44e-09    227.1   8.78e-05
013-01-C1-G\LM_EOBO\7.7DFO_Jet      1.88e-06    223.4   8.97e-05
013-01-C1-G\LM_EOBX\2.9FFO_Jet      9.74e-09    214.8   8.97e-05
020-05-01-G\LA_EOBX\14.5DFO_Jet     2.14e-10    213.5   8.97e-05
013-01-C1-G\LM_EOBO\2.9FFO_Jet      1.94e-06    211.7   9.16e-05
020-05-01-G\LA_EOBO\14.5DFO_Jet     4.25e-08    211.2   9.17e-05
020-05-01-G\LA_EOBX\7.7DFO_Jet      2.29e-09    207.7   9.17e-05
020-05-01-G\LA_EOBO\7.7DFO_Jet      4.55e-07    205.5   9.21e-05
020-05-01-G\ME_EXBO\2.9FFO_Jet      6.30e-09    203.2   9.21e-05
020-05-01-G\LA_EOBX\2.9FFO_Jet      2.36e-09    202.8   9.21e-05
020-05-01-G\LA_EOBO\2.9FFO_Jet      4.70e-07    200.8   9.26e-05
020-05-01-G\ME_EOBX\2.9FFO_Jet      6.02e-10    188.9   9.26e-05
020-05-01-G\ME_EOBO\2.9FFO_Jet      1.20e-07    174.3   9.27e-05
020-05-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   9.27e-05
020-05-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-05-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   9.27e-05
020-05-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-05-02-L\SM_EXBN\2.9FFX_Jet      0.00e+00      0.0   9.27e-05
020-05-02-L\SM_EXBN\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-05-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-05-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-05-02-L\SM_EOBN\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EXBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EOBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EOBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EOBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-05-01-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-02-03-Lo\SM_EXBN\14.5DFX_Jet    0.00e+00      0.0   9.27e-05
020-02-03-Lo\SM_EXBN\14.5DFO_Jet    0.00e+00      0.0   9.27e-05
020-02-03-Lo\SM_EXBN\7.7DFX_Jet     0.00e+00      0.0   9.27e-05
020-02-03-Lo\SM_EXBN\7.7DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-03-Lo\SM_EXBN\2.9FFX_Jet     0.00e+00      0.0   9.27e-05
020-02-03-Lo\SM_EXBN\2.9FFO_Jet     0.00e+00      0.0   9.27e-05
020-02-03-Lo\SM_EOBN\14.5DFO_Jet    0.00e+00      0.0   9.27e-05
020-02-03-Lo\SM_EOBN\7.7DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-03-Lo\SM_EOBN\2.9FFO_Jet     0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EXBX\14.5DFX_Jet     0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EXBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EXBX\7.7DFX_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EXBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EXBX\2.9FFX_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EXBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EXBO\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EXBO\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EXBO\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EOBX\14.5DFO_Jet     0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EOBX\7.7DFO_Jet      0.00e+00      0.0   9.27e-05
020-02-02-G\LM_EOBX\2.9FFO_Jet      0.00e+00      0.0   9.27e-05
