S05P04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
020-01-01-G\ME_EXBX\14.5DFX_Jet     1.52e-09   2942.4   1.52e-09
020-01-01-G\ME_EXBX\14.5DFO_Jet     1.51e-11   2942.4   1.54e-09
020-01-01-G\ME_EXBX\7.7DFX_Jet      1.63e-08   2376.5   1.78e-08
020-01-01-G\ME_EXBX\7.7DFO_Jet      1.62e-10   2376.5   1.80e-08
020-01-01-G\ME_EOBX\14.5DFO_Jet     1.50e-09   2049.7   1.95e-08
013-01-C2-G\ME_EXBX\14.5DFX_Jet     1.56e-09   2003.6   2.10e-08
013-01-C2-G\ME_EXBX\14.5DFO_Jet     1.55e-11   2003.6   2.11e-08
013-01-N2-G\ME_EXBX\14.5DFX_Jet     1.42e-09   2002.9   2.25e-08
013-01-N2-G\ME_EXBX\14.5DFO_Jet     1.41e-11   2002.9   2.25e-08
013-01-C1-G\ME_EXBX\14.5DFX_Jet     1.45e-09   2000.1   2.39e-08
013-01-C1-G\ME_EXBX\14.5DFO_Jet     1.44e-11   2000.1   2.40e-08
013-01-N1-G\ME_EXBX\14.5DFX_Jet     1.60e-09   1999.2   2.55e-08
013-01-N1-G\ME_EXBX\14.5DFO_Jet     1.59e-11   1999.2   2.56e-08
020-01-01-G\ME_EXBX\2.9FFX_Jet      1.68e-08   1903.1   4.24e-08
020-01-01-G\ME_EXBX\2.9FFO_Jet      1.67e-10   1903.1   4.25e-08
013-01-C2-G\ME_EXBO\14.5DFO_Jet     3.08e-09   1786.6   4.56e-08
013-01-N2-G\ME_EXBO\14.5DFO_Jet     2.81e-09   1786.1   4.84e-08
013-01-C1-G\ME_EXBO\14.5DFO_Jet     2.86e-09   1783.6   5.13e-08
013-01-N1-G\ME_EXBO\14.5DFO_Jet     3.17e-09   1782.8   5.45e-08
013-01-C2-G\LM_EXBX\14.5DFX_Jet     9.87e-10   1677.4   5.54e-08
013-01-C2-G\LM_EXBX\14.5DFO_Jet     9.82e-12   1677.4   5.55e-08
020-01-01-G\ME_EOBX\7.7DFO_Jet      1.60e-08   1664.1   7.15e-08
013-01-C1-G\ME_EXBX\7.7DFX_Jet      1.55e-08   1636.7   8.70e-08
013-01-C1-G\ME_EXBX\7.7DFO_Jet      1.54e-10   1636.7   8.71e-08
013-01-C2-G\ME_EXBX\7.7DFX_Jet      1.66e-08   1633.7   1.04e-07
013-01-C2-G\ME_EXBX\7.7DFO_Jet      1.66e-10   1633.7   1.04e-07
013-01-N2-G\ME_EXBX\7.7DFX_Jet      1.52e-08   1631.2   1.19e-07
013-01-N2-G\ME_EXBX\7.7DFO_Jet      1.51e-10   1631.2   1.19e-07
013-01-N1-G\ME_EXBX\7.7DFX_Jet      1.71e-08   1620.5   1.36e-07
013-01-N1-G\ME_EXBX\7.7DFO_Jet      1.70e-10   1620.5   1.37e-07
013-01-N2-G\LM_EXBX\14.5DFX_Jet     8.79e-10   1577.8   1.37e-07
013-01-N2-G\LM_EXBX\14.5DFO_Jet     8.74e-12   1577.8   1.37e-07
013-01-C2-G\LM_EXBO\14.5DFO_Jet     1.96e-09   1550.9   1.39e-07
013-01-N1-G\LM_EXBX\14.5DFX_Jet     9.83e-10   1514.1   1.40e-07
013-01-N1-G\LM_EXBX\14.5DFO_Jet     9.78e-12   1514.1   1.40e-07
013-01-N2-G\LM_EXBO\14.5DFO_Jet     1.74e-09   1471.9   1.42e-07
013-01-C1-G\ME_EXBO\7.7DFO_Jet      3.06e-08   1462.5   1.73e-07
013-01-C2-G\ME_EXBO\7.7DFO_Jet      3.30e-08   1459.9   2.06e-07
013-01-N2-G\ME_EXBO\7.7DFO_Jet      3.01e-08   1457.7   2.36e-07
013-01-N1-G\ME_EXBO\7.7DFO_Jet      3.39e-08   1448.3   2.70e-07
020-01-01-G\ME_EXBO\14.5DFO_Jet     3.01e-09   1425.1   2.73e-07
013-01-N1-G\LM_EXBO\14.5DFO_Jet     1.95e-09   1417.9   2.75e-07
013-01-C2-G\LM_EXBX\7.7DFX_Jet      1.06e-08   1368.2   2.85e-07
013-01-C2-G\LM_EXBX\7.7DFO_Jet      1.05e-10   1368.2   2.85e-07
020-01-01-G\ME_EOBX\2.9FFO_Jet      1.66e-08   1341.6   3.02e-07
013-01-C1-G\ME_EXBX\2.9FFX_Jet      1.60e-08   1328.9   3.18e-07
013-01-C1-G\ME_EXBX\2.9FFO_Jet      1.59e-10   1328.9   3.18e-07
013-01-C2-G\ME_EXBX\2.9FFX_Jet      1.72e-08   1325.1   3.35e-07
013-01-C2-G\ME_EXBX\2.9FFO_Jet      1.71e-10   1325.1   3.35e-07
013-01-N2-G\ME_EXBX\2.9FFX_Jet      1.57e-08   1322.7   3.51e-07
013-01-N2-G\ME_EXBX\2.9FFO_Jet      1.56e-10   1322.7   3.51e-07
013-01-N1-G\ME_EXBX\2.9FFX_Jet      1.77e-08   1314.4   3.69e-07
013-01-N1-G\ME_EXBX\2.9FFO_Jet      1.76e-10   1314.4   3.69e-07
013-01-N2-G\LM_EXBX\7.7DFX_Jet      9.40e-09   1288.2   3.78e-07
013-01-N2-G\LM_EXBX\7.7DFO_Jet      9.36e-11   1288.2   3.79e-07
013-01-C2-G\LM_EXBO\7.7DFO_Jet      2.09e-08   1267.4   4.00e-07
013-01-N1-G\LM_EXBX\7.7DFX_Jet      1.05e-08   1242.5   4.10e-07
013-01-N1-G\LM_EXBX\7.7DFO_Jet      1.05e-10   1242.5   4.10e-07
013-01-C1-G\LM_EXBX\14.5DFX_Jet     8.96e-10   1227.2   4.11e-07
013-01-C1-G\LM_EXBX\14.5DFO_Jet     8.91e-12   1227.2   4.11e-07
013-01-N2-G\LM_EXBO\7.7DFO_Jet      1.86e-08   1203.8   4.30e-07
013-01-C1-G\ME_EXBO\2.9FFO_Jet      3.16e-08   1191.0   4.61e-07
013-01-C2-G\ME_EXBO\2.9FFO_Jet      3.40e-08   1187.7   4.95e-07
013-01-N2-G\ME_EXBO\2.9FFO_Jet      3.11e-08   1185.6   5.26e-07
013-01-N1-G\ME_EXBO\2.9FFO_Jet      3.50e-08   1178.1   5.61e-07
013-01-C1-G\LM_EXBO\14.5DFO_Jet     1.77e-09   1173.6   5.63e-07
020-01-01-G\ME_EXBO\7.7DFO_Jet      3.23e-08   1167.8   5.95e-07
013-01-N1-G\LM_EXBO\7.7DFO_Jet      2.08e-08   1165.2   6.16e-07
013-01-C2-G\LM_EXBX\2.9FFX_Jet      1.09e-08   1159.6   6.27e-07
013-01-C2-G\LM_EXBX\2.9FFO_Jet      1.09e-10   1159.6   6.27e-07
013-01-N2-G\LM_EXBX\2.9FFX_Jet      9.70e-09   1104.0   6.37e-07
013-01-N2-G\LM_EXBX\2.9FFO_Jet      9.65e-11   1104.0   6.37e-07
013-01-C2-G\LM_EXBO\2.9FFO_Jet      2.16e-08   1076.2   6.59e-07
013-01-N1-G\LM_EXBX\2.9FFX_Jet      1.09e-08   1071.3   6.69e-07
013-01-N1-G\LM_EXBX\2.9FFO_Jet      1.08e-10   1071.3   6.70e-07
013-01-C1-G\LM_EXBX\7.7DFX_Jet      9.59e-09   1036.1   6.79e-07
013-01-C1-G\LM_EXBX\7.7DFO_Jet      9.54e-11   1036.1   6.79e-07
013-01-N2-G\LM_EXBO\2.9FFO_Jet      1.92e-08   1033.3   6.98e-07
020-02-01-Li\ME_EXBN\14.5DFX_Jet    4.07e-09   1023.2   7.03e-07
020-02-01-Li\ME_EXBN\14.5DFO_Jet    9.72e-08   1023.2   8.00e-07
020-02-01-Li\ME_EXBN\7.7DFX_Jet     4.36e-08   1023.2   8.43e-07
020-02-01-Li\ME_EXBN\7.7DFO_Jet     1.04e-06   1023.2   1.88e-06
020-02-01-Li\ME_EXBN\2.9FFX_Jet     4.50e-08   1023.2   1.93e-06
020-02-01-Li\ME_EXBN\2.9FFO_Jet     1.07e-06   1023.2   3.00e-06
020-01-01-G\ME_EOBO\14.5DFO_Jet     2.98e-07   1018.9   3.30e-06
013-01-N1-G\LM_EXBO\2.9FFO_Jet      2.15e-08   1006.2   3.32e-06
013-01-C1-G\LM_EXBO\7.7DFO_Jet      1.90e-08    992.0   3.34e-06
020-02-03-Lo\ME_EXBN\14.5DFX_Jet    1.39e-10    977.1   3.34e-06
020-02-03-Lo\ME_EXBN\14.5DFO_Jet    2.76e-10    977.1   3.34e-06
020-02-03-Lo\ME_EXBN\7.7DFX_Jet     1.48e-09    977.1   3.34e-06
