P04S03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
025-01-01-G\ME_EXBO\2.9FFO_Jet      7.24e-08    728.3   2.69e-06
024-03-01-G\ME_EOBX\2.9FFO_Jet      9.59e-09    716.9   2.70e-06
024-02-G-DC\ME_EOBX\2.9FFO_Jet      7.43e-09    706.6   2.70e-06
024-02-G-DB\ME_EOBX\2.9FFO_Jet      7.43e-09    706.6   2.71e-06
024-02-G-DA\ME_EOBX\2.9FFO_Jet      2.23e-08    706.6   2.73e-06
024-03-01-G\ME_EXBO\7.7DFO_Jet      5.72e-08    686.6   2.79e-06
024-02-G-DC\LM_EXBX\14.5DFX_Jet     3.73e-10    670.9   2.79e-06
024-02-G-DC\LM_EXBX\14.5DFO_Jet     7.43e-12    670.9   2.79e-06
024-02-G-DC\LM_EXBO\14.5DFO_Jet     1.48e-09    670.9   2.79e-06
024-02-G-DB\LM_EXBX\14.5DFX_Jet     3.73e-10    670.9   2.79e-06
024-02-G-DB\LM_EXBX\14.5DFO_Jet     7.43e-12    670.9   2.79e-06
024-02-G-DB\LM_EXBO\14.5DFO_Jet     1.48e-09    670.9   2.80e-06
024-02-G-DA\LM_EXBX\14.5DFX_Jet     1.12e-09    670.9   2.80e-06
024-02-G-DA\LM_EXBX\14.5DFO_Jet     2.23e-11    670.9   2.80e-06
024-02-G-DA\LM_EXBO\14.5DFO_Jet     4.43e-09    670.9   2.80e-06
025-02-01-G\LM_EXBX\14.5DFX_Jet     1.88e-09    664.0   2.80e-06
025-02-01-G\LM_EXBX\14.5DFO_Jet     5.60e-11    664.0   2.80e-06
025-01-01-G\LM_EXBX\14.5DFX_Jet     9.85e-10    654.5   2.80e-06
025-01-01-G\LM_EXBX\14.5DFO_Jet     1.96e-11    654.5   2.80e-06
025-02-01-G\ME_EOBO\7.7DFO_Jet      6.57e-06    640.8   9.37e-06
025-01-01-G\ME_EOBX\7.7DFO_Jet      1.73e-08    630.4   9.39e-06
025-02-01-G\LM_EXBO\14.5DFO_Jet     1.12e-08    625.4   9.40e-06
024-03-01-G\ME_EOBO\7.7DFO_Jet      1.85e-06    619.3   1.12e-05
024-02-G-DC\ME_EOBO\7.7DFO_Jet      1.43e-06    617.4   1.27e-05
024-02-G-DB\ME_EOBO\7.7DFO_Jet      1.43e-06    617.4   1.41e-05
024-02-G-DA\ME_EOBO\7.7DFO_Jet      4.30e-06    617.4   1.84e-05
025-02-01-G\LM_EXBX\7.7DFX_Jet      2.01e-08    613.3   1.84e-05
025-02-01-G\LM_EXBX\7.7DFO_Jet      6.00e-10    613.3   1.84e-05
025-01-01-G\LM_EXBO\14.5DFO_Jet     3.90e-09    608.7   1.84e-05
024-02-G-DC\LM_EXBX\7.7DFX_Jet      3.99e-09    607.8   1.84e-05
024-02-G-DC\LM_EXBX\7.7DFO_Jet      7.95e-11    607.8   1.84e-05
024-02-G-DC\LM_EXBO\7.7DFO_Jet      1.58e-08    607.8   1.85e-05
024-02-G-DB\LM_EXBX\7.7DFX_Jet      3.99e-09    607.8   1.85e-05
024-02-G-DB\LM_EXBX\7.7DFO_Jet      7.95e-11    607.8   1.85e-05
024-02-G-DB\LM_EXBO\7.7DFO_Jet      1.58e-08    607.8   1.85e-05
024-02-G-DA\LM_EXBX\7.7DFX_Jet      1.20e-08    607.8   1.85e-05
024-02-G-DA\LM_EXBX\7.7DFO_Jet      2.38e-10    607.8   1.85e-05
024-02-G-DA\LM_EXBO\7.7DFO_Jet      4.75e-08    607.8   1.85e-05
025-01-01-G\LM_EXBX\7.7DFX_Jet      1.05e-08    593.7   1.85e-05
025-01-01-G\LM_EXBX\7.7DFO_Jet      2.10e-10    593.7   1.85e-05
025-02-01-G\LM_EXBO\7.7DFO_Jet      1.19e-07    578.8   1.87e-05
025-02-01-G\LM_EXBX\2.9FFX_Jet      2.07e-08    576.8   1.87e-05
025-02-01-G\LM_EXBX\2.9FFO_Jet      6.19e-10    576.8   1.87e-05
024-03-01-G\ME_EXBO\2.9FFO_Jet      5.90e-08    569.6   1.87e-05
024-02-G-DC\LM_EXBX\2.9FFX_Jet      4.12e-09    568.1   1.87e-05
024-02-G-DC\LM_EXBX\2.9FFO_Jet      8.20e-11    568.1   1.88e-05
024-02-G-DC\LM_EXBO\2.9FFO_Jet      1.63e-08    568.1   1.88e-05
024-02-G-DB\LM_EXBX\2.9FFX_Jet      4.12e-09    568.1   1.88e-05
024-02-G-DB\LM_EXBX\2.9FFO_Jet      8.20e-11    568.1   1.88e-05
024-02-G-DB\LM_EXBO\2.9FFO_Jet      1.63e-08    568.1   1.88e-05
024-02-G-DA\LM_EXBX\2.9FFX_Jet      1.24e-08    568.1   1.88e-05
024-02-G-DA\LM_EXBX\2.9FFO_Jet      2.46e-10    568.1   1.88e-05
