P03S02 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
023-01-01-G-DB\LM_EXBX\14.5DFX_Jet  1.01e-09   1700.9   1.01e-09
023-01-01-G-DB\LM_EXBX\14.5DFO_Jet  4.79e-12   1700.9   1.01e-09
023-01-01-G-DA\LM_EXBX\14.5DFX_Jet  1.01e-09   1700.9   2.02e-09
023-01-01-G-DA\LM_EXBX\14.5DFO_Jet  4.79e-12   1700.9   2.03e-09
045-02-01-G\LM_EXBX\14.5DFX_Jet     5.10e-09   1693.9   7.13e-09
045-02-01-G\LM_EXBX\14.5DFO_Jet     2.91e-11   1693.9   7.16e-09
023-01-01-G-DB\LM_EXBO\14.5DFO_Jet  9.53e-10   1589.6   8.11e-09
023-01-01-G-DA\LM_EXBO\14.5DFO_Jet  9.53e-10   1589.6   9.06e-09
023-01-01-G-DB\LM_EXBX\7.7DFX_Jet   1.08e-08   1428.5   1.99e-08
023-01-01-G-DB\LM_EXBX\7.7DFO_Jet   5.13e-11   1428.5   1.99e-08
023-01-01-G-DA\LM_EXBX\7.7DFX_Jet   1.08e-08   1428.5   3.07e-08
023-01-01-G-DA\LM_EXBX\7.7DFO_Jet   5.13e-11   1428.5   3.08e-08
045-02-01-G\LM_EXBX\7.7DFX_Jet      5.46e-08   1396.4   8.54e-08
045-02-01-G\LM_EXBX\7.7DFO_Jet      3.11e-10   1396.4   8.57e-08
023-01-01-G-DB\LM_EXBO\7.7DFO_Jet   1.02e-08   1336.8   9.59e-08
023-01-01-G-DA\LM_EXBO\7.7DFO_Jet   1.02e-08   1336.8   1.06e-07
023-01-01-G-DB\LM_EXBX\2.9FFX_Jet   1.11e-08    762.1   1.17e-07
023-01-01-G-DB\LM_EXBX\2.9FFO_Jet   5.29e-11    762.1   1.17e-07
023-01-01-G-DA\LM_EXBX\2.9FFX_Jet   1.11e-08    762.1   1.28e-07
023-01-01-G-DA\LM_EXBX\2.9FFO_Jet   5.29e-11    762.1   1.28e-07
023-01-01-G-DB\LM_EXBO\2.9FFO_Jet   1.05e-08    718.3   1.39e-07
023-01-01-G-DA\LM_EXBO\2.9FFO_Jet   1.05e-08    718.3   1.50e-07
045-02-01-G\LM_EXBO\14.5DFO_Jet     5.79e-09    611.4   1.55e-07
045-02-01-G\LM_EOBX\14.5DFO_Jet     4.56e-10    592.4   1.56e-07
045-02-01-G\LM_EXBO\7.7DFO_Jet      6.19e-08    523.3   2.18e-07
045-02-01-G\LM_EOBX\7.7DFO_Jet      4.88e-09    503.7   2.23e-07
045-02-01-G\LM_EXBX\2.9FFX_Jet      5.63e-08    474.9   2.79e-07
045-02-01-G\LM_EXBX\2.9FFO_Jet      3.21e-10    474.9   2.79e-07
023-02-01-G-DB\ME_EXBX\14.5DFX_Jet  1.15e-09    342.4   2.80e-07
023-02-01-G-DB\ME_EXBX\14.5DFO_Jet  3.29e-12    342.4   2.80e-07
023-02-01-G-DA\ME_EXBX\14.5DFX_Jet  1.15e-09    342.4   2.82e-07
023-02-01-G-DA\ME_EXBX\14.5DFO_Jet  3.29e-12    342.4   2.82e-07
023-02-01-G-DB\LM_EXBX\14.5DFX_Jet  6.42e-10    331.6   2.82e-07
023-02-01-G-DB\LM_EXBX\14.5DFO_Jet  1.92e-11    331.6   2.82e-07
023-02-01-G-DA\LM_EXBX\14.5DFX_Jet  6.42e-10    331.6   2.83e-07
023-02-01-G-DA\LM_EXBX\14.5DFO_Jet  1.92e-11    331.6   2.83e-07
