S03P02 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
023-03-01-G-DB\LM_EOBO\7.7DFO_Jet   4.55e-07    472.0   1.45e-05
023-03-01-G-DA\LM_EOBO\7.7DFO_Jet   1.36e-06    472.0   1.59e-05
023-04-G\LM_EXBX\14.5DFX_Jet        4.43e-10    472.0   1.59e-05
023-04-G\LM_EXBX\14.5DFO_Jet        1.76e-11    472.0   1.59e-05
023-04-G\LM_EXBO\14.5DFO_Jet        3.51e-09    453.6   1.59e-05
023-04-G\ME_EXBO\14.5DFO_Jet        5.77e-10    450.9   1.59e-05
024-01-01-G\LM_EOBX\14.5DFO_Jet     1.63e-09    440.0   1.59e-05
023-04-G\ME_EXBX\7.7DFX_Jet         8.16e-09    439.5   1.59e-05
023-04-G\ME_EXBX\7.7DFO_Jet         3.10e-11    439.5   1.59e-05
024-01-01-G\LM_EOBO\14.5DFO_Jet     3.25e-07    423.7   1.62e-05
023-04-G\LM_EXBX\7.7DFX_Jet         4.74e-09    418.5   1.62e-05
023-04-G\LM_EXBX\7.7DFO_Jet         1.89e-10    418.5   1.62e-05
024-01-01-G\LM_EOBX\7.7DFO_Jet      1.75e-08    406.3   1.62e-05
023-04-G\LM_EXBO\7.7DFO_Jet         3.75e-08    403.2   1.63e-05
023-04-G\ME_EXBO\7.7DFO_Jet         6.17e-09    398.4   1.63e-05
024-01-01-G\LM_EOBO\7.7DFO_Jet      3.48e-06    392.0   1.97e-05
024-01-01-G\LM_EOBX\2.9FFO_Jet      1.80e-08    384.9   1.98e-05
024-01-01-G\LM_EOBO\2.9FFO_Jet      3.59e-06    371.8   2.33e-05
023-03-01-G-DC\LM_EOBO\2.9FFO_Jet   4.69e-07    363.9   2.38e-05
023-03-01-G-DB\LM_EOBO\2.9FFO_Jet   4.69e-07    363.9   2.43e-05
023-03-01-G-DA\LM_EOBO\2.9FFO_Jet   1.41e-06    363.9   2.57e-05
023-04-G\LM_EXBX\2.9FFX_Jet         4.89e-09    351.2   2.57e-05
023-04-G\LM_EXBX\2.9FFO_Jet         1.95e-10    351.2   2.57e-05
023-04-G\LM_EXBO\2.9FFO_Jet         3.87e-08    339.8   2.57e-05
023-04-G\ME_EXBX\2.9FFX_Jet         8.42e-09    257.4   2.57e-05
023-04-G\ME_EXBX\2.9FFO_Jet         3.20e-11    257.4   2.57e-05
023-04-G\ME_EXBO\2.9FFO_Jet         6.37e-09    242.3   2.58e-05
023-04-G\ME_EOBX\14.5DFO_Jet        6.95e-11    193.7   2.58e-05
023-04-G\LM_EOBX\14.5DFO_Jet        4.23e-10    189.1   2.58e-05
023-04-G\ME_EOBO\14.5DFO_Jet        1.38e-08    187.7   2.58e-05
023-04-G\LM_EOBO\14.5DFO_Jet        8.42e-08    187.0   2.58e-05
023-04-G\ME_EOBX\7.7DFO_Jet         7.44e-10    184.0   2.58e-05
023-04-G\LM_EOBX\7.7DFO_Jet         4.53e-09    180.7   2.59e-05
023-04-G\ME_EOBO\7.7DFO_Jet         1.48e-07    179.4   2.60e-05
023-04-G\LM_EOBO\7.7DFO_Jet         9.01e-07    179.0   2.69e-05
023-04-G\LM_EOBX\2.9FFO_Jet         4.67e-09    170.0   2.69e-05
023-04-G\LM_EOBO\2.9FFO_Jet         9.30e-07    169.0   2.78e-05
023-04-G\ME_EOBX\2.9FFO_Jet         7.68e-10    155.2   2.78e-05
023-04-G\ME_EOBO\2.9FFO_Jet         1.53e-07    154.7   2.80e-05
024-01-01-G\SM_EXBX\14.5DFX_Jet     0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBX\14.5DFO_Jet     0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBX\7.7DFX_Jet      0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBX\7.7DFO_Jet      0.00e+00      0.0   2.80e-05
024-01-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   2.80e-05
