P05KOD No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
027-02-G\ME_EXBO\2.9FFO_Jet         1.72e-07    891.4   1.09e-06
027-01-G-DC\LM_EXBO\2.9FFO_Jet      4.97e-08    851.2   1.14e-06
027-01-G-DB\LM_EXBO\2.9FFO_Jet      2.98e-08    851.2   1.17e-06
027-01-G-DA\LM_EXBO\2.9FFO_Jet      1.99e-08    851.2   1.19e-06
027-01-G-DC\ME_EOBO\14.5DFO_Jet     3.82e-07    823.9   1.57e-06
027-01-G-DB\ME_EOBO\14.5DFO_Jet     2.29e-07    823.9   1.80e-06
027-01-G-DA\ME_EOBO\14.5DFO_Jet     1.53e-07    823.9   1.95e-06
027-01-G-DC\ME_EOBO\7.7DFO_Jet      4.09e-06    730.1   6.04e-06
027-01-G-DB\ME_EOBO\7.7DFO_Jet      2.45e-06    730.1   8.49e-06
027-01-G-DA\ME_EOBO\7.7DFO_Jet      1.63e-06    730.1   1.01e-05
027-03-G\ME_EXBX\14.5DFX_Jet        2.57e-10    692.6   1.01e-05
027-03-G\ME_EXBX\14.5DFO_Jet        1.02e-11    692.6   1.01e-05
027-01-G-DC\ME_EOBO\2.9FFO_Jet      4.22e-06    641.2   1.43e-05
027-01-G-DB\ME_EOBO\2.9FFO_Jet      2.53e-06    641.2   1.69e-05
027-01-G-DA\ME_EOBO\2.9FFO_Jet      1.69e-06    641.2   1.86e-05
027-01-G-DC\LM_EOBX\14.5DFO_Jet     1.11e-09    632.1   1.86e-05
027-01-G-DB\LM_EOBX\14.5DFO_Jet     6.65e-10    632.1   1.86e-05
027-01-G-DA\LM_EOBX\14.5DFO_Jet     4.43e-10    632.1   1.86e-05
027-03-G\ME_EXBX\7.7DFX_Jet         2.75e-09    602.6   1.86e-05
027-03-G\ME_EXBX\7.7DFO_Jet         1.10e-10    602.6   1.86e-05
027-03-G\ME_EXBO\14.5DFO_Jet        2.04e-09    589.7   1.86e-05
027-01-G-DC\LM_EOBX\7.7DFO_Jet      1.19e-08    573.6   1.86e-05
027-01-G-DB\LM_EOBX\7.7DFO_Jet      7.12e-09    573.6   1.86e-05
027-01-G-DA\LM_EOBX\7.7DFO_Jet      4.75e-09    573.6   1.86e-05
027-01-G-DC\LM_EOBO\14.5DFO_Jet     2.21e-07    561.9   1.88e-05
027-01-G-DB\LM_EOBO\14.5DFO_Jet     1.32e-07    561.9   1.89e-05
027-01-G-DA\LM_EOBO\14.5DFO_Jet     8.82e-08    561.9   1.90e-05
027-01-G-DC\LM_EOBX\2.9FFO_Jet      1.22e-08    531.9   1.90e-05
027-01-G-DB\LM_EOBX\2.9FFO_Jet      7.35e-09    531.9   1.90e-05
027-01-G-DA\LM_EOBX\2.9FFO_Jet      4.90e-09    531.9   1.91e-05
027-03-G\ME_EXBX\2.9FFX_Jet         2.84e-09    530.2   1.91e-05
027-03-G\ME_EXBX\2.9FFO_Jet         1.13e-10    530.2   1.91e-05
027-03-G\ME_EXBO\7.7DFO_Jet         2.18e-08    516.9   1.91e-05
027-02-G\LM_EXBX\14.5DFX_Jet        1.03e-09    515.5   1.91e-05
027-02-G\LM_EXBX\14.5DFO_Jet        4.08e-11    515.5   1.91e-05
027-01-G-DC\LM_EOBO\7.7DFO_Jet      2.36e-06    512.1   2.14e-05
027-01-G-DB\LM_EOBO\7.7DFO_Jet      1.42e-06    512.1   2.29e-05
027-01-G-DA\LM_EOBO\7.7DFO_Jet      9.45e-07    512.1   2.38e-05
027-02-G\LM_EXBO\14.5DFO_Jet        8.13e-09    503.1   2.38e-05
027-02-G\LM_EXBX\7.7DFX_Jet         1.10e-08    483.4   2.38e-05
027-02-G\LM_EXBX\7.7DFO_Jet         4.37e-10    483.4   2.38e-05
027-01-G-DC\LM_EOBO\2.9FFO_Jet      2.44e-06    476.5   2.63e-05
027-01-G-DB\LM_EOBO\2.9FFO_Jet      1.46e-06    476.5   2.77e-05
027-01-G-DA\LM_EOBO\2.9FFO_Jet      9.75e-07    476.5   2.87e-05
027-02-G\LM_EXBO\7.7DFO_Jet         8.70e-08    472.0   2.88e-05
027-03-G\ME_EOBX\14.5DFO_Jet        2.46e-10    463.2   2.88e-05
027-02-G\LM_EXBX\2.9FFX_Jet         1.13e-08    460.2   2.88e-05
027-02-G\LM_EXBX\2.9FFO_Jet         4.51e-10    460.2   2.88e-05
027-03-G\ME_EXBO\2.9FFO_Jet         2.25e-08    458.3   2.88e-05
027-02-G\LM_EXBO\2.9FFO_Jet         8.98e-08    449.6   2.89e-05
027-03-G\ME_EOBX\7.7DFO_Jet         2.63e-09    410.2   2.89e-05
027-03-G\ME_EOBO\14.5DFO_Jet        4.89e-08    404.0   2.90e-05
027-03-G\ME_EOBX\2.9FFO_Jet         2.71e-09    367.7   2.90e-05
027-03-G\ME_EOBO\7.7DFO_Jet         5.24e-07    361.3   2.95e-05
027-02-G\ME_EOBX\14.5DFO_Jet        1.88e-09    359.6   2.95e-05
027-03-G\ME_EOBO\2.9FFO_Jet         5.40e-07    326.8   3.00e-05
027-02-G\ME_EOBO\14.5DFO_Jet        3.74e-07    326.6   3.04e-05
027-02-G\ME_EOBX\7.7DFO_Jet         2.01e-08    323.1   3.04e-05
027-03-G\LM_EXBX\14.5DFX_Jet        1.81e-10    301.3   3.04e-05
027-03-G\LM_EXBX\14.5DFO_Jet        7.18e-12    301.3   3.04e-05
027-02-G\ME_EOBO\7.7DFO_Jet         4.01e-06    295.9   3.44e-05
027-03-G\LM_EXBO\14.5DFO_Jet        1.43e-09    295.1   3.44e-05
027-02-G\ME_EOBX\2.9FFO_Jet         2.08e-08    294.2   3.44e-05
027-03-G\LM_EXBX\7.7DFX_Jet         1.93e-09    287.4   3.44e-05
027-03-G\LM_EXBX\7.7DFO_Jet         7.69e-11    287.4   3.44e-05
027-03-G\LM_EXBO\7.7DFO_Jet         1.53e-08    281.8   3.45e-05
027-03-G\LM_EXBX\2.9FFX_Jet         1.99e-09    277.3   3.45e-05
027-03-G\LM_EXBX\2.9FFO_Jet         7.94e-11    277.3   3.45e-05
027-03-G\LM_EXBO\2.9FFO_Jet         1.58e-08    272.2   3.45e-05
027-02-G\ME_EOBO\2.9FFO_Jet         4.13e-06    271.6   3.86e-05
027-03-G\LM_EOBX\14.5DFO_Jet        1.72e-10    233.1   3.86e-05
027-03-G\LM_EOBO\14.5DFO_Jet        3.43e-08    229.8   3.86e-05
027-03-G\LM_EOBX\7.7DFO_Jet         1.85e-09    225.0   3.87e-05
027-03-G\LM_EOBO\7.7DFO_Jet         3.67e-07    222.0   3.90e-05
027-03-G\LM_EOBX\2.9FFO_Jet         1.90e-09    219.1   3.90e-05
027-03-G\LM_EOBO\2.9FFO_Jet         3.79e-07    216.3   3.94e-05
027-02-G\LM_EOBX\14.5DFO_Jet        9.80e-10    203.0   3.94e-05
027-02-G\LM_EOBO\14.5DFO_Jet        1.95e-07    201.3   3.96e-05
027-02-G\LM_EOBX\7.7DFO_Jet         1.05e-08    197.3   3.96e-05
027-02-G\LM_EOBO\7.7DFO_Jet         2.09e-06    195.8   4.17e-05
027-02-G\LM_EOBX\2.9FFO_Jet         1.08e-08    193.2   4.17e-05
027-02-G\LM_EOBO\2.9FFO_Jet         2.15e-06    191.9   4.39e-05
027-03-G\SM_EXBX\14.5DFX_Jet        0.00e+00      0.0   4.39e-05
027-03-G\SM_EXBX\14.5DFO_Jet        0.00e+00      0.0   4.39e-05
